# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.378
metadata : {}


# id : NWRW1800000036.378.1.1
지원관실, MB 고교동문들 뒤 봐줘

지원관실,	지원관실/NNG+,/SP
MB	MB/SL
고교동문들	고교/NNG+동문/NNG+들/XSN
뒤	뒤/NNG
봐줘	봐주/VV+어/EF


# id : NWRW1800000036.378.2.1
[한겨레] USB에 영포라인 형사사건 청탁 정황 문건

[한겨레]	[/SS+한겨레/NNP+]/SS
USB에	USB/SL+에/JKB
영포라인	영포/NNP+라인/NNG
형사사건	형사/NNG+사건/NNG
청탁	청탁/NNG
정황	정황/NNG
문건	문건/NNG


# id : NWRW1800000036.378.3.1
이력서 형식 파일도 2건…취업 알선 의혹

이력서	이력서/NNG
형식	형식/NNG
파일도	파일/NNG+도/JX
2건…취업	2/SN+건/NNB+…/SE+취업/NNG
알선	알선/NNG
의혹	의혹/NNG


# id : NWRW1800000036.378.4.1
국무총리실 공직윤리지원관실이 경북 영일·포항 출신 인사(영포라인)들의 형사사건을 청탁하거나 취업 알선에 나섰다는 정황이 2일 드러났다.

국무총리실	국무총리실/NNG
공직윤리지원관실이	공직/NNG+윤리/NNG+지원관실/NNG+이/JKS
경북	경북/NNP
영일·포항	영일/NNP+·/SP+포항/NNP
출신	출신/NNG
인사(영포라인)들의	인사/NNG+(/SS+영포/NNP+라인/NNG+)/SS+들/XSN+의/JKG
형사사건을	형사/NNG+사건/NNG+을/JKO
청탁하거나	청탁/NNG+하/XSV+거나/EC
취업	취업/NNG
알선에	알선/NNG+에/JKB
나섰다는	나서/VV+었/EP+다는/ETM
정황이	정황/NNG+이/JKS
2일	2/SN+일/NNB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.378.4.2
권력기관이 민간인 불법사찰과 증거인멸에 나선 것뿐 아니라, 특정 지역 인맥의 ‘해결사’ 노릇까지 담당한 셈이다.

권력기관이	권력/NNG+기관/NNG+이/JKS
민간인	민간인/NNG
불법사찰과	불법/NNG+사찰/NNG+과/JC
증거인멸에	증거/NNG+인멸/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
것뿐	것/NNB+뿐/JX
아니라,	아니/VCN+라/EC+,/SP
특정	특정/NNG
지역	지역/NNG
인맥의	인맥/NNG+의/JKG
‘해결사’	‘/SS+해결사/NNG+’/SS
노릇까지	노릇/NNG+까지/JX
담당한	담당/NNG+하/XSV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.378.5.1
공직윤리지원관실 김기현 경정의 외장메모리장치(USB)에 저장된 기록을 살펴보면, ‘방○○’라는 제목의 파일이 저장돼 있다.

공직윤리지원관실	공직/NNG+윤리/NNG+지원관실/NNG
김기현	김기현/NNP
경정의	경정/NNG+의/JKG
외장메모리장치(USB)에	외장/NNG+메모리/NNG+장치/NNG+(/SS+USB/SL+)/SS+에/JKB
저장된	저장/NNG+되/XSV+ㄴ/ETM
기록을	기록/NNG+을/JKO
살펴보면,	살펴보/VV+면/EC+,/SP
‘방○○’라는	‘/SS+방/NNP+○/SW+○/SW+’/SS+이/VCP+라는/ETM
제목의	제목/NNG+의/JKG
파일이	파일/NNG+이/JKS
저장돼	저장/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.378.5.2
파일은 폭행사건 피해자인 사업가 방아무개(50)씨가 경찰의 사건 처리 방식에 불만을 품고 낸 진정서 형식을 띠고 있다.

파일은	파일/NNG+은/JX
폭행사건	폭행/NNG+사건/NNG
피해자인	피해자/NNG+이/VCP+ㄴ/ETM
사업가	사업가/NNG
방아무개(50)씨가	방/NNP+아무개/NP+(/SS+50/SN+)/SS+씨/NNB+가/JKS
경찰의	경찰/NNG+의/JKG
사건	사건/NNG
처리	처리/NNG
방식에	방식/NNG+에/JKB
불만을	불만/NNG+을/JKO
품고	품/VV+고/EC
낸	내/VX+ㄴ/ETM
진정서	진정서/NNG
형식을	형식/NNG+을/JKO
띠고	띠/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.378.5.3
이 진정서에는 “(피해자가) 6주 진단서를 제출해 (가해자를) 구속 수사해야 함에도 불구하고 서면 조사만 했고, 원고의 진술을 받아들이지 않고 피해자에게 불리한 진술을 만들어 가고 있다”고 적혀 있다.

이	이/MMD
진정서에는	진정서/NNG+에/JKB+는/JX
“(피해자가)	“/SS+(/SS+피해자/NNG+가/JKS+)/SS
6주	6/SN+주/NNB
진단서를	진단서/NNG+를/JKO
제출해	제출/NNG+하/XSV+아/EC
(가해자를)	(/SS+가해자/NNG+를/JKO+)/SS
구속	구속/NNG
수사해야	수사/NNG+하/XSV+아야/EC
함에도	하/VX+ㅁ/ETN+에/JKB+도/JX
불구하고	불구하/VV+고/EC
서면	서면/NNG
조사만	조사/NNG+만/JX
했고,	하/VV+았/EP+고/EC+,/SP
원고의	원고/NNG+의/JKG
진술을	진술/NNG+을/JKO
받아들이지	받아들이/VV+지/EC
않고	않/VX+고/EC
피해자에게	피해자/NNG+에게/JKB
불리한	불리/NNG+하/XSA+ㄴ/ETM
만들어	만들/VV+어/EC
가고	가/VX+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
적혀	적히/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.378.5.4
또 “가해자 쪽 경찰관이 가해자에게 코치하여 사건에 개입하고 있다”며 “사건에 개입한 공무원을 파면해야 하고 공무원을 상대로 손해배상을 받아야 한다”고 주장했다.

또	또/MAG
“가해자	“/SS+가해자/NNG
쪽	쪽/NNB
경찰관이	경찰관/NNG+이/JKS
가해자에게	가해자/NNG+에게/JKB
코치하여	코치/NNG+하/XSV+아/EC
사건에	사건/NNG+에/JKB
개입하고	개입/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“사건에	“/SS+사건/NNG+에/JKB
개입한	개입/NNG+하/XSV+ㄴ/ETM
공무원을	공무원/NNG+을/JKO
파면해야	파면/NNG+하/XSV+아야/EC
하고	하/VX+고/EC
상대로	상대/NNG+로/JKB
손해배상을	손해/NNG+배상/NNG+을/JKO
받아야	받/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.378.6.1
이 진정서를 낸 방씨는 이른바 ‘영포라인’으로, 이명박 대통령 모교인 포항 동지상고 29회 졸업생이다.

이	이/MMD
진정서를	진정서/NNG+를/JKO
낸	내/VV+ㄴ/ETM
방씨는	방/NNP+씨/NNB+는/JX
이른바	이른바/MAG
‘영포라인’으로,	‘/SS+영포/NNP+라인/NNG+’/SS+으로/JKB+,/SP
이명박	이명박/NNP
대통령	대통령/NNG
모교인	모교/NNG+이/VCP+ㄴ/ETM
포항	포항/NNP
동지상고	동지상고/NNP
29회	29/SN+회/NNB
졸업생이다.	졸업/NNG+생/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000036.378.6.2
공직윤리지원관실이 ‘영포라인’을 관리하기 위해 만든 것으로 추정되는 연락처 파일(<한겨레> 4월2일치 1면)에도 그의 이름이 올라 있다.

공직윤리지원관실이	공직/NNG+윤리/NNG+지원관실/NNG+이/JKS
‘영포라인’을	‘/SS+영포/NNP+라인/NNG+’/SS+을/JKO
관리하기	관리/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
만든	만들/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
추정되는	추정/NNG+되/XSV+는/ETM
연락처	연락처/NNG
파일(<한겨레>	파일/NNG+(/SS+</SS+한겨레/NNP+>/SS
4월2일치	4/SN+월/NNB+2/SN+일/NNB+치/NNB
1면)에도	1/SN+면/NNG+)/SS+에/JKB+도/JX
그의	그/NP+의/JKG
이름이	이름/NNG+이/JKS
올라	오르/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.378.6.3
방씨는 또 여러 경로로 이 대통령과 연이 닿아 있는 인물로 보인다.

방씨는	방/NNP+씨/NNB+는/JX
또	또/MAG
여러	여러/MMN
경로로	경로/NNG+로/JKB
이	이/NNP
대통령과	대통령/NNG+과/JKB
연이	연/NNG+이/JKS
닿아	닿/VV+아/EC
있는	있/VX+는/ETM
인물로	인물/NNG+로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.378.7.1
그는 2008년에는 ‘이명박 대통령 감사장’, 2006년에는 ‘이명박 서울특별시장 공로패’ 등을 받았다.

그는	그/NP+는/JX
2008년에는	2008/SN+년/NNB+에/JKB+는/JX
‘이명박	‘/SS+이명박/NNP
대통령	대통령/NNG
감사장’,	감사장/NNG+’/SS+,/SP
2006년에는	2006/SN+년/NNB+에/JKB+는/JX
서울특별시장	서울특별시장/NNG
공로패’	공로패/NNG+’/SS
등을	등/NNB+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.378.7.2
결국 ‘출생지·학연’ 등 이 대통령과 연이 있는 인물에 대해 지원관실이 사건 청탁까지 들어준 것 아니냐는 추정이 가능한 대목이다.

결국	결국/MAG
‘출생지·학연’	‘/SS+출생지/NNG+·/SP+학연/NNG+’/SS
등	등/NNB
이	이/NNP
대통령과	대통령/NNG+과/JKB
연이	연/NNG+이/JKS
있는	있/VA+는/ETM
인물에	인물/NNG+에/JKB
대해	대하/VV+아/EC
지원관실이	지원관실/NNG+이/JKS
사건	사건/NNG
청탁까지	청탁/NNG+까지/JX
들어준	들어주/VV+ㄴ/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
추정이	추정/NNG+이/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
대목이다.	대목/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.378.8.1
김기현 경정의 외장메모리장치 안에는 지원관실이 ‘영포라인’의 인사 청탁까지 나선 것으로 볼 만한 문건도 들어 있다.

김기현	김기현/NNP
경정의	경정/NNG+의/JKG
외장메모리장치	외장/NNG+메모리/NNG+장치/NNG
안에는	안/NNG+에/JKB+는/JX
지원관실이	지원관실/NNG+이/JKS
‘영포라인’의	‘/SS+영포/NNP+라인/NNG+’/SS+의/JKG
인사	인사/NNG
청탁까지	청탁/NNG+까지/JX
나선	나서/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
볼	보/VV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
문건도	문건/NNG+도/JX
들어	들/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.378.8.2
저장된 파일 2800여개 가운데 인사 지원을 위한 ‘이력서’ 또는 ‘자기소개서’ 형식을 띤 파일은 ‘유○○ 이력서’, ‘박○○ 이력서’ 단 2개뿐인데, 두 사람 모두 동지상고 또는 영일 출신인 것으로 드러났다.

저장된	저장/NNG+되/XSV+ㄴ/ETM
파일	파일/NNG
2800여개	2800/SN+여/XSN+개/NNB
가운데	가운데/NNG
인사	인사/NNG
지원을	지원/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
‘이력서’	‘/SS+이력서/NNG+’/SS
또는	또는/MAG
‘자기소개서’	‘/SS+자기소개서/NNG+’/SS
형식을	형식/NNG+을/JKO
띤	띠/VV+ㄴ/ETM
파일은	파일/NNG+은/JX
‘유○○	‘/SS+유/NNP+○/SW+○/SW
이력서’,	이력서/NNG+’/SS+,/SP
‘박○○	‘/SS+박/NNP+○/SW+○/SW
이력서’	이력서/NNG+’/SS
단	단/MMA
2개뿐인데,	2/SN+개/NNB+뿐/JX+이/VCP+ㄴ데/EC+,/SP
두	두/MMN
사람	사람/NNG
모두	모두/MAG
동지상고	동지상고/NNP
영일	영일/NNP
출신인	출신/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.378.9.1
특히 유씨의 이력서에는 붉은색 글씨로 “금융감독원 입사지원서 접수번호는 ‘703○○20○○’입니다”라고 적혀 있었다.

특히	특히/MAG
유씨의	유/NNP+씨/NNB+의/JKG
이력서에는	이력서/NNG+에/JKB+는/JX
붉은색	붉은색/NNG
글씨로	글씨/NNG+로/JKB
“금융감독원	“/SS+금융/NNG+감독원/NNG
입사지원서	입사/NNG+지원서/NNG
접수번호는	접수/NNG+번호/NNG+는/JX
‘703○○20○○’입니다”라고	‘/SS+703/SN+○/SW+○/SW+20/SN+○/SW+○/SW+’/SS+이/VCP+ㅂ니다/EF+”/SS+라고/JKQ
적혀	적히/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000036.378.9.2
실제 유씨는 금융감독원 아이티(IT) 4급 경력직 채용에 응시했던 것으로 확인됐다.

실제	실제/MAG
유씨는	유/NNP+씨/NNB+는/JX
금융감독원	금융/NNG+감독원/NNG
아이티(IT)	아이티/NNG+(/SS+IT/SL+)/SS
4급	4/SN+급/NNG
경력직	경력직/NNG
채용에	채용/NNG+에/JKB
응시했던	응시/NNG+하/XSV+았/EP+던/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.378.9.3
그러나 유씨는 “오래된 일이라 기억이 나지 않는다”며 “당시 상황을 확인해봐야 알겠다”고 말했다.

그러나	그러나/MAJ
유씨는	유/NNP+씨/NNB+는/JX
“오래된	“/SS+오래/MAG+되/XSA+ㄴ/ETM
일이라	일/NNG+이/VCP+라/EC
기억이	기억/NNG+이/JKS
나지	나/VV+지/EC
않는다”며	않/VX+는다/EF+”/SS+며/EC
“당시	“/SS+당시/NNG
상황을	상황/NNG+을/JKO
확인해봐야	확인/NNG+하/XSV+아/EC+보/VX+아야/EC
알겠다”고	알/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


