# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.280
metadata : {}


# id : NWRW1800000049.280.1.1
[허문명의 프리킥]朴 대통령의 남 탓

[허문명의	[/SS+허문명/NNP+의/JKG
프리킥]朴	프리킥/NNG+]/SS+朴/SH
대통령의	대통령/NNG+의/JKG
남	남/NNG
탓	탓/NNG


# id : NWRW1800000049.280.2.1
박근혜 대통령이 광복절 경축사에서 “세계가 부러워하는 대한민국을 비하하는 신조어들이 확산되고 있다”며 소위 ‘헬 조선’ 같은 속어가 유행하는 풍조를 비판했다.

박근혜	박근혜/NNP
대통령이	대통령/NNG+이/JKS
광복절	광복절/NNG
경축사에서	경축사/NNG+에서/JKB
“세계가	“/SS+세계/NNG+가/JKS
부러워하는	부러워하/VV+는/ETM
대한민국을	대한민국/NNP+을/JKO
비하하는	비하/NNG+하/XSV+는/ETM
신조어들이	신조어/NNG+들/XSN+이/JKS
확산되고	확산/NNG+되/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
소위	소위/MAG
‘헬	‘/SS+헬/NNG
조선’	조선/NNP+’/SS
같은	같/VA+은/ETM
속어가	속어/NNG+가/JKS
유행하는	유행/NNG+하/XSV+는/ETM
풍조를	풍조/NNG+를/JKO
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.280.3.1
8·15 경축사에서 젊은이들을 훈계하는 것이 참으로 뜬금없다는 생각이 들었다.

8·15	8/SN+·/SP+15/SN
경축사에서	경축사/NNG+에서/JKB
젊은이들을	젊은이/NNG+들/XSN+을/JKO
훈계하는	훈계/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
참으로	참으로/MAG
뜬금없다는	뜬금없/VA+다는/ETM
생각이	생각/NNG+이/JKS
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.280.3.2
못난 스포츠 감독은 선수 탓하고 못난 선생은 학생 탓, 못난 어른은 애들을 탓한다.

못난	못나/VV+ㄴ/ETM
스포츠	스포츠/NNG
감독은	감독/NNG+은/JX
선수	선수/NNG
탓하고	탓/NNG+하/XSV+고/EC
선생은	선생/NNG+은/JX
학생	학생/NNG
탓,	탓/NNG+,/SP
어른은	어른/NNG+은/JX
애들을	애/NNG+들/XSN+을/JKO
탓한다.	탓/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.280.3.3
자고(自古)로 지혜로운 부모는 자식이 잘못하면 자신의 종아리를 때렸다.

자고(自古)로	자고/NNG+(/SS+自古/SH+)/SS+로/JKB
지혜로운	지혜/NNG+롭/XSA+ㄴ/ETM
부모는	부모/NNG+는/JX
자식이	자식/NNG+이/JKS
잘못하면	잘못/MAG+하/XSV+면/EC
자신의	자신/NNG+의/JKG
종아리를	종아리/NNG+를/JKO
때렸다.	때리/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.280.4.1
청소년이나 젊은 세대가 말하는 ‘헬 조선’류의 대한민국 비하는 나도 마뜩지 않다.

청소년이나	청소년/NNG+이나/JC
젊은	젊/VA+은/ETM
세대가	세대/NNG+가/JKS
말하는	말/NNG+하/XSV+는/ETM
‘헬	‘/SS+헬/NNG
조선’류의	조선/NNP+’/SS+류/XSN+의/JKG
대한민국	대한민국/NNP
비하는	비하/NNG+는/JX
나도	나/NP+도/JX
마뜩지	마뜩/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000049.280.4.2
하지만 이런 풍조가 나온 상당한 책임은 어른들에게 있다.

하지만	하지만/MAJ
이런	이런/MMD
풍조가	풍조/NNG+가/JKS
나온	나오/VV+ㄴ/ETM
상당한	상당/NNG+하/XSA+ㄴ/ETM
책임은	책임/NNG+은/JX
어른들에게	어른/NNG+들/XSN+에게/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.280.5.1
요즘 아이들은 과거보다 물질적으로는 풍요로워졌을지 몰라도 정신적으로는 더 각박해졌다.

요즘	요즘/NNG
아이들은	아이/NNG+들/XSN+은/JX
과거보다	과거/NNG+보다/JKB
물질적으로는	물질/NNG+적/XSN+으로/JKB+는/JX
풍요로워졌을지	풍요/NNG+롭/XSA+어/EC+지/VX+었/EP+을지/EC
몰라도	모르/VV+아도/EC
정신적으로는	정신/NNG+적/XSN+으로/JKB+는/JX
더	더/MAG
각박해졌다.	각박하/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000049.280.5.2
학교와 학원을 오가며 ‘공부, 공부’ 하는 것은 갈수록 심해지고 어렵게 들어간 대학을 졸업해도 취직이 안 된다.

학교와	학교/NNG+와/JC
학원을	학원/NNG+을/JKO
오가며	오가/VV+며/EC
‘공부,	‘/SS+공부/NNG+,/SP
공부’	공부/NNG+’/SS
하는	하/VV+는/ETM
것은	것/NNB+은/JX
갈수록	갈수록/MAG
심해지고	심하/VA+아/EC+지/VX+고/EC
어렵게	어렵/VA+게/EC
들어간	들어가/VV+ㄴ/ETM
대학을	대학/NNG+을/JKO
졸업해도	졸업/NNG+하/XSV+아도/EC
취직이	취직/NNG+이/JKC
안	안/MAG
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.280.5.3
결혼해도 집 장만은커녕 아이 낳아 기르기도 어렵다.

결혼해도	결혼/NNG+하/XSV+아도/EC
집	집/NNG
장만은커녕	장만/NNG+은커녕/JX
아이	아이/NNG
낳아	낳/VV+아/EC
기르기도	기르/VV+기/ETN+도/JX
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000049.280.5.4
미래를 생각하면 한숨이 먼저 나온다.

미래를	미래/NNG+를/JKO
생각하면	생각/NNG+하/XSV+면/EC
한숨이	한/XPN+숨/NNG+이/JKS
먼저	먼저/MAG
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.280.5.5
일부 젊은이들의 비하와 냉소가 이해 안 되는 것이 아니다.

일부	일부/NNG
젊은이들의	젊은이/NNG+들/XSN+의/JKG
비하와	비하/NNG+와/JC
냉소가	냉소/NNG+가/JKS
이해	이해/NNG
안	안/MAG
되는	되/VV+는/ETM
것이	것/NNB+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000049.280.6.1
정보화 사회로 세상엔 비밀이 거의 없어졌다.

정보화	정보/NNG+화/XSN
사회로	사회/NNG+로/JKB
세상엔	세상/NNG+에/JKB+ㄴ/JX
비밀이	비밀/NNG+이/JKS
거의	거의/MAG
없어졌다.	없어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.280.6.2
미디어에는 어른들의 못된 짓과 꼴불견들이 여과 없이 노출된다.

미디어에는	미디어/NNG+에/JKB+는/JX
어른들의	어른/NNG+들/XSN+의/JKG
못된	못/MAG+되/XSA+ㄴ/ETM
짓과	짓/NNG+과/JC
꼴불견들이	꼴불견/NNG+들/XSN+이/JKS
여과	여과/NNG
없이	없이/MAG
노출된다.	노출/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.280.6.3
가진 자들의 갑질과 권력 있는 자들의 부정부패, 대통령 측근들의 막말, 패거리 문화에서 성 추문까지, 눈뜨고 봐줄 수 없는 추악한 모습들을 바라보며 아이들과 젊은이들이 뭘 배울 것인가.

가진	가지/VV+ㄴ/ETM
자들의	자/NNB+들/XSN+의/JKG
갑질과	갑/NNG+질/XSN+과/JC
권력	권력/NNG
있는	있/VA+는/ETM
부정부패,	부정부패/NNG+,/SP
대통령	대통령/NNG
측근들의	측근/NNG+들/XSN+의/JKG
막말,	막말/NNG+,/SP
패거리	패거리/NNG
문화에서	문화/NNG+에서/JKB
성	성/NNG
추문까지,	추문/NNG+까지/JX+,/SP
눈뜨고	눈뜨/VV+고/EC
봐줄	봐주/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
추악한	추악하/VA+ㄴ/ETM
모습들을	모습/NNG+들/XSN+을/JKO
바라보며	바라보/VV+며/EC
아이들과	아이/NNG+들/XSN+과/JC
