# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.118
metadata : {}


# id : NWRW1800000052.118.1.1
서병수, 부산영화제 조직위원장 사퇴 뜻

서병수,	서병수/NNP+,/SP
부산영화제	부산/NNP+영화제/NNG
조직위원장	조직/NNG+위원장/NNG
사퇴	사퇴/NNG
뜻	뜻/NNG


# id : NWRW1800000052.118.2.1
부산시, 위원장직 민간 이양 제안

부산시,	부산시/NNP+,/SP
위원장직	위원장/NNG+직/NNG
민간	민간/NNG
이양	이양/NNG
제안	제안/NNG


# id : NWRW1800000052.118.3.1
이용관 집행위원장 동반사퇴 포석

이용관	이용관/NNP
집행위원장	집행/NNG+위원장/NNG
동반사퇴	동반/NNG+사퇴/NNG
포석	포석/NNG


# id : NWRW1800000052.118.4.1
서병수 부산시장이 부산국제영화제 조직위원장을 사퇴하고 민간에 이양하겠다는 뜻을 밝혔다.

서병수	서병수/NNP
부산시장이	부산시장/NNG+이/JKS
부산국제영화제	부산/NNP+국제/NNG+영화제/NNG
조직위원장을	조직/NNG+위원장/NNG+을/JKO
사퇴하고	사퇴/NNG+하/XSV+고/EC
민간에	민간/NNG+에/JKB
이양하겠다는	이양/NNG+하/XSV+겠/EP+다는/ETM
뜻을	뜻/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.118.4.2
그동안 이용관 부산국제영화제 집행위원장 인사를 놓고 영화제 집행위 쪽과 갈등을 빚어온 부산시가 서병수 조직위원장과 이용관 집행위원장 동반사퇴의 포석을 깐 것이라는 풀이가 나온다.

그동안	그동안/NNG
이용관	이용관/NNP
부산국제영화제	부산/NNP+국제/NNG+영화제/NNG
집행위원장	집행/NNG+위원장/NNG
인사를	인사/NNG+를/JKO
놓고	놓/VV+고/EC
영화제	영화제/NNG
집행위	집행위/NNG
쪽과	쪽/NNB+과/JKB
갈등을	갈등/NNG+을/JKO
빚어온	빚/VV+어/EC+오/VX+ㄴ/ETM
부산시가	부산시/NNP+가/JKS
서병수	서병수/NNP
조직위원장과	조직/NNG+위원장/NNG+과/JC
동반사퇴의	동반/NNG+사퇴/NNG+의/JKG
포석을	포석/NNG+을/JKO
깐	깔/VV+ㄴ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
풀이가	풀이/NNG+가/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.118.5.1
서 시장은 18일 오후 부산시청에서 긴급 기자회견을 열어 “영화제 독립성 원칙을 재천명하는 취지에서 조직위원장을 민간에 넘기기로 했다”고 말했다.

서	서/NNP
시장은	시장/NNG+은/JX
18일	18/SN+일/NNB
오후	오후/NNG
부산시청에서	부산시청/NNP+에서/JKB
긴급	긴급/NNG
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
“영화제	“/SS+영화제/NNG
독립성	독립/NNG+성/XSN
원칙을	원칙/NNG+을/JKO
재천명하는	재/XPN+천명/NNG+하/XSV+는/ETM
취지에서	취지/NNG+에서/JKB
조직위원장을	조직/NNG+위원장/NNG+을/JKO
민간에	민간/NNG+에/JKB
넘기기로	넘기/VV+기/ETN+로/JKB
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.118.5.2
또 “이용관 집행위원장을 재위촉하지 않겠다”고 거듭 밝히며 “현재 공동집행위원장 체제를 강수연 위원장 단독체제로 갈지, 아니면 이용관 위원장의 후임 집행위원장을 선임해 계속 공동집행위원장 체제로 갈지는 좀더 논의하겠다”고 덧붙였다.

또	또/MAG
“이용관	“/SS+이용관/NNP
집행위원장을	집행/NNG+위원장/NNG+을/JKO
재위촉하지	재/XPN+위촉/NNG+하/XSV+지/EC
않겠다”고	않/VX+겠/EP+다/EF+”/SS+고/JKQ
거듭	거듭/MAG
밝히며	밝히/VV+며/EC
“현재	“/SS+현재/MAG
공동집행위원장	공동/NNG+집행/NNG+위원장/NNG
체제를	체제/NNG+를/JKO
강수연	강수연/NNP
위원장	위원장/NNG
단독체제로	단독/NNG+체제/NNG+로/JKB
갈지,	가/VV+ㄹ지/EF+,/SP
아니면	아니/VCN+면/EC
이용관	이용관/NNP
위원장의	위원장/NNG+의/JKG
후임	후임/NNG
선임해	선임/NNG+하/XSV+아/EC
계속	계속/MAG
체제로	체제/NNG+로/JKB
갈지는	갈/VV+지/EC+는/JX
좀더	좀/MAG+더/MAG
논의하겠다”고	논의/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.118.5.3
정관 개정을 통해 부산시장이 조직위원장에서 물러나면 집행위원장 선임 과정에 부산시가 관여하지 않고 집행위원회와 영화계의 의사가 반영되는 구조로 바뀐다.

정관	정관/NNG
개정을	개정/NNG+을/JKO
통해	통하/VV+아/EC
부산시장이	부산시장/NNG+이/JKS
조직위원장에서	조직/NNG+위원장/NNG+에서/JKB
물러나면	물러나/VV+면/EC
집행위원장	집행/NNG+위원장/NNG
선임	선임/NNG
과정에	과정/NNG+에/JKB
부산시가	부산시/NNP+가/JKS
관여하지	관여/NNG+하/XSV+지/EC
않고	않/VX+고/EC
집행위원회와	집행/NNG+위원회/NNG+와/JC
영화계의	영화/NNG+계/XSN+의/JKG
의사가	의사/NNG+가/JKS
반영되는	반영/NNG+되/XSV+는/ETM
구조로	구조/NNG+로/JKB
바뀐다.	바뀌/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.118.6.1
서 시장의 이번 사퇴 발표를 두고는, 영화계는 물론 부산 시민사회가 한목소리로 반대해온 이용관 위원장의 사실상 ‘해촉’을 관철시키기 위한 일종의 ‘고육지책’이 아니냐는 분석이 영화계에서 나온다.

서	서/NNP
시장의	시장/NNG+의/JKG
이번	이번/NNG
사퇴	사퇴/NNG
발표를	발표/NNG+를/JKO
두고는,	두/VV+고/EC+는/JX+,/SP
영화계는	영화/NNG+계/XSN+는/JX
물론	물론/MAG
부산	부산/NNP
시민사회가	시민/NNG+사회/NNG+가/JKS
한목소리로	한목소리/NNG+로/JKB
반대해온	반대/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
이용관	이용관/NNP
위원장의	위원장/NNG+의/JKG
사실상	사실/NNG+상/XSN
‘해촉’을	‘/SS+해촉/NNG+’/SS+을/JKO
관철시키기	관철/NNG+시키/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
일종의	일종/NNG+의/JKG
‘고육지책’이	‘/SS+고육지책/NNG+’/SS+이/JKC
아니냐는	아니/VCN+냐는/ETM
분석이	분석/NNG+이/JKS
영화계에서	영화/NNG+계/XSN+에서/JKB
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.118.6.2
서 시장 본인도 조직위원장에서 물러나는 만큼, 이 위원장을 재위촉하지 않더라도 큰 반대 없이 양해해달라는 뜻을 담은 게 아니냐는 것이다.

서	서/NNP
시장	시장/NNG
본인도	본인/NNG+도/JX
조직위원장에서	조직/NNG+위원장/NNG+에서/JKB
물러나는	물러나/VV+는/ETM
만큼,	만큼/NNB+,/SP
이	이/NNP
위원장을	위원장/NNG+을/JKO
재위촉하지	재/XPN+위촉/NNG+하/XSV+지/EC
않더라도	않/VX+더라도/EC
큰	크/VA+ㄴ/ETM
반대	반대/NNG
없이	없이/MAG
양해해달라는	양해/NNG+하/XSV+아/EC+달/VX+라는/ETM
뜻을	뜻/NNG+을/JKO
담은	담/VV+은/ETM
게	거/NNB+이/JKC
아니냐는	아니/VCN+냐는/ETM
