# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.211
metadata : {}


# id : NWRW1800000046.211.1.1
장성우, 연장 역전 끝내기포

장성우,	장성우/NNP+,/SP
연장	연장/NNG
역전	역전/NNG
끝내기포	끝내기포/NNG


# id : NWRW1800000046.211.2.1
롯데, 11회 혈투끝 한화 울려… 삼성 박해민도 끝내기 안타

롯데,	롯데/NNP+,/SP
11회	11/SN+회/NNB
혈투끝	혈투/NNG+끝/NNG
한화	한화/NNP
울려…	울리/VV+어/EF+…/SE
삼성	삼성/NNP
박해민도	박해민/NNP+도/JX
끝내기	끝내기/NNG
안타	안타/NNG


# id : NWRW1800000046.211.3.1
극적인 역전 드라마였다.

극적인	극/NNG+적/XSN+이/VCP+ㄴ/ETM
역전	역전/NNG
드라마였다.	드라마/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.211.3.2
롯데는 10일 한화와 벌인 프로야구 사직 홈 경기에서 11회 연장 승부 끝에 10대9의 뒤집기 승리를 거뒀다.

롯데는	롯데/NNP+는/JX
10일	10/SN+일/NNB
한화와	한화/NNP+와/JKB
벌인	벌이/VV+ㄴ/ETM
프로야구	프로/NNG+야구/NNG
사직	사직/NNP
홈	홈/NNG
경기에서	경기/NNG+에서/JKB
11회	11/SN+회/NNB
연장	연장/NNG
승부	승부/NNG
끝에	끝/NNG+에/JKB
10대9의	10/SN+대/NNB+9/SN+의/JKG
뒤집기	뒤집기/NNG
승리를	승리/NNG+를/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.211.3.3
롯데는 8―3으로 앞선 채 9회초 수비를 맞았다.

롯데는	롯데/NNP+는/JX
8―3으로	8/SN+―/SS+3/SN+으로/JKB
앞선	앞서/VV+ㄴ/ETM
채	채/NNB
9회초	9/SN+회/NNB+초/NNB
수비를	수비/NNG+를/JKO
맞았다.	맞/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.211.3.4
승리가 눈앞에 보이는 상황이었지만 마운드가 무너지면서 5실점해 동점을 허용했다.

승리가	승리/NNG+가/JKS
눈앞에	눈앞/NNG+에/JKB
보이는	보이/VV+는/ETM
상황이었지만	상황/NNG+이/VCP+었/EP+지만/EC
마운드가	마운드/NNG+가/JKS
무너지면서	무너지/VV+면서/EC
