# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.174
metadata : {}


# id : NWRW1800000032.174.1.1
‘독설가’ 김어준이 뜨는 이유는…

‘독설가’	‘/SS+독설가/NNG+’/SS
김어준이	김어준/NNP+이/JKS
뜨는	뜨/VV+는/ETM
이유는…	이유/NNG+는/JX+…/SE


# id : NWRW1800000032.174.2.1
부조리 비판방송 ‘나꼼수’ 맡아

부조리	부/XPN+조리/NNG
비판방송	비판/NNG+방송/NNG
‘나꼼수’	‘/SS+나꼼수/NNG+’/SS
맡아	맡/VV+아/EF


# id : NWRW1800000032.174.3.1
직설·유머로 청취자 매료시켜

직설·유머로	직설/NNG+·/SP+유머/NNG+로/JKB
청취자	청취자/NNG
매료시켜	매료/NNG+시키/XSV+어/EC


# id : NWRW1800000032.174.4.1
일부선 “정신없는 방송” 비판도

일부선	일부/NNG+서/JKB+ㄴ/JX
“정신없는	“/SS+정신없/VA+는/ETM
방송”	방송/NNG+”/SS
비판도	비판/NNG+도/JX


# id : NWRW1800000032.174.5.1
다듬지도 않은 수염을 기른 후줄근한 외모에, 입만 열면 비속어 ‘씨바’를 외치며 정치권을 씹는 남자, 스스로를 ‘딴지일보 총수’로 일컬으며 좌충우돌 입담을 과시해온 김어준(43·사진)씨가 요즘 아이돌 스타 못잖은 인기 몰이를 하고 있다.

다듬지도	다듬/VV+지/EC+도/JX
않은	않/VX+은/ETM
수염을	수염/NNG+을/JKO
기른	기르/VV+ㄴ/ETM
후줄근한	후줄근하/VA+ㄴ/ETM
외모에,	외모/NNG+에/JKB+,/SP
입만	입/NNG+만/JX
열면	열/VV+면/EC
비속어	비속어/NNG
‘씨바’를	‘/SS+씨바/IC+’/SS+를/JKO
외치며	외치/VV+며/EC
정치권을	정치/NNG+권/XSN+을/JKO
씹는	씹/VV+는/ETM
남자,	남자/NNG+,/SP
스스로를	스스로/NNG+를/JKO
‘딴지일보	‘/SS+딴지일보/NNP
총수’로	총수/NNG+’/SS+로/JKB
일컬으며	일컫/VV+으며/EC
좌충우돌	좌충우돌/NNG
입담을	입담/NNG+을/JKO
과시해온	과시/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
김어준(43·사진)씨가	김어준/NNP+(/SS+43/SN+·/SP+사진/NNG+)/SS+씨/NNB+가/JKS
요즘	요즘/NNG
아이돌	아이돌/NNG
스타	스타/NNG
못잖은	못잖/VA+은/ETM
인기	인기/NNG
몰이를	몰이/NNG+를/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.174.6.1
1일 출간된 김씨의 새 책 <닥치고 정치>는 나온 지 나흘 만에 4만부 넘게 팔렸다.

1일	1/SN+일/NNB
출간된	출간/NNG+되/XSV+ㄴ/ETM
김씨의	김/NNP+씨/NNB+의/JKG
새	새/MMA
책	책/NNG
<닥치고	</SS+닥치/VV+고/EC
정치>는	정치/NNG+>/SS+는/JX
나온	나오/VV+ㄴ/ETM
지	지/NNB
나흘	나흘/NNG
만에	만/NNB+에/JKB
4만부	4/SN+만/NR+부/NNB
넘게	넘/VV+게/EC
팔렸다.	팔리/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.174.6.2
주요 서점 베스트셀러 순위에서도 단숨에 2~3위에 올랐다.

주요	주요/NNG
서점	서점/NNG
베스트셀러	베스트셀러/NNG
순위에서도	순위/NNG+에서/JKB+도/JX
단숨에	단숨에/MAG
2~3위에	2/SN+~/SO+3/SN+위/NNB+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.174.6.3
김씨가, 출연중인 모바일 라디오 시사풍자 프로그램 <나는 꼼수다>(나꼼수)의 다른 멤버들과 함께 이달 29~30일 열기로 한 유료 토크콘서트는 지난달 30일 인터넷 예약 판매 시작 단 5분만에 2600석이 매진됐다.

김씨가,	김/NNP+씨/NNB+가/JKS+,/SP
출연중인	출연/NNG+중/NNB+이/VCP+ㄴ/ETM
모바일	모바일/NNG
라디오	라디오/NNG
시사풍자	시사/NNG+풍자/NNG
프로그램	프로그램/NNG
<나는	</SS+나/NP+는/JX
꼼수다>(나꼼수)의	꼼수/NNG+이/VCP+다/EF+>/SS+(/SS+나꼼수/NNG+)/SS+의/JKG
다른	다른/MMD
멤버들과	멤버/NNG+들/XSN+과/JKB
함께	함께/MAG
이달	이달/NNG
29~30일	29/SN+~/SO+30/SN+일/NNB
열기로	열/VV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
유료	유료/NNG
토크콘서트는	토크콘서트/NNG+는/JX
지난달	지난달/NNG
30일	30/SN+일/NNB
인터넷	인터넷/NNG
예약	예약/NNG
판매	판매/NNG
시작	시작/NNG
단	단/MMA
5분만에	5/SN+분/NNB+만/NNB+에/JKB
2600석이	2600/SN+석/NNB+이/JKS
매진됐다.	매진/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.174.6.4
티켓 값이 최소 3만3000원에서 5만5000원에 이르는 것을 감안하면 놀라운 호응이다.

티켓	티켓/NNG
값이	값/NNG+이/JKS
최소	최소/NNG
3만3000원에서	3/SN+만/NR+3000/SN+원/NNB+에서/JKB
5만5000원에	5/SN+만/NR+5000/SN+원/NNB+에/JKB
이르는	이르/VV+는/ETM
것을	것/NNB+을/JKO
감안하면	감안/NNG+하/XSV+면/EC
놀라운	놀랍/VA+ㄴ/ETM
호응이다.	호응/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.174.6.5
인기 연예인도 아닌 중년 남성 네 명이 정치 경제 등 시사 문제에 대해 떠드는 것을 보려고 많은 이들이 지갑을 연 것이다.

인기	인기/NNG
연예인도	연예인/NNG+도/JX
아닌	아니/VCN+ㄴ/ETM
중년	중년/NNG
남성	남성/NNG
네	네/MMN
명이	명/NNB+이/JKS
정치	정치/NNG
경제	경제/NNG
등	등/NNB
시사	시사/NNG
문제에	문제/NNG+에/JKB
대해	대하/VV+아/EC
떠드는	떠들/VV+는/ETM
것을	것/NNB+을/JKO
보려고	보/VV+려고/EC
많은	많/VA+은/ETM
이들이	이/NNB+들/XSN+이/JKS
지갑을	지갑/NNG+을/JKO
연	열/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.174.7.1
그의 인기 진원지는 요즘 장안의 화제인 ‘나꼼수’다.

그의	그/NP+의/JKG
인기	인기/NNG
진원지는	진원지/NNG+는/JX
요즘	요즘/NNG
장안의	장안/NNG+의/JKG
화제인	화제/NNG+이/VCP+ㄴ/ETM
‘나꼼수’다.	‘/SS+나꼼수/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000032.174.7.2
김씨와 시사평론가 김용민씨, 정봉주 전 민주당 의원 등이 출연하는 ‘나꼼수’는 지상파 방송이 아닌데도 요즘 내려받기 1위를 차지할 정도로 인기를 누리고 있다.

김씨와	김/NNP+씨/NNB+와/JC
시사평론가	시사/NNG+평론가/NNG
김용민씨,	김용민/NNP+씨/NNB+,/SP
정봉주	정봉주/NNP
전	전/MMD
민주당	민주당/NNP
의원	의원/NNG
등이	등/NNB+이/JKS
출연하는	출연/NNG+하/XSV+는/ETM
‘나꼼수’는	‘/SS+나꼼수/NNG+’/SS+는/JX
지상파	지상파/NNG
방송이	방송/NNG+이/JKC
아닌데도	아니/VCN+ㄴ데/EC+도/JX
요즘	요즘/NNG
내려받기	내려받기/NNG
1위를	1/SN+위/NNB+를/JKO
차지할	차지/NNG+하/XSV+ㄹ/ETM
정도로	정도/NNG+로/JKB
인기를	인기/NNG+를/JKO
누리고	누리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.174.7.3
일반 방송과 달리 지지·비판 대상을 분명히 정해 대통령과 여권 정치인들을 신랄하게 조롱하고, 진보 진영에도 독설을 퍼붓는다.

일반	일반/NNG
방송과	방송/NNG+과/JKB
달리	달리/MAG
지지·비판	지지/NNG+·/SP+비판/NNG
대상을	대상/NNG+을/JKO
분명히	분명히/MAG
정해	정하/VV+아/EC
대통령과	대통령/NNG+과/JC
여권	여권/NNG
정치인들을	정치인/NNG+들/XSN+을/JKO
신랄하게	신랄하/VA+게/EC
조롱하고,	조롱/NNG+하/XSV+고/EC+,/SP
진보	진보/NNG
진영에도	진영/NNG+에/JKB+도/JX
독설을	독설/NNG+을/JKO
퍼붓는다.	퍼붓/VV+는다/EF+./SF


# id : NWRW1800000032.174.7.4
대화식의 구성이면서도 ‘이렇게까지 이야기해도 될까’ 싶을 정도로 자기 속내를 드러낸 <닥치고 정치>의 인기도 기존 책들과는 다른 접근법 덕분이라는 평가다.

대화식의	대화식/NNG+의/JKG
구성이면서도	구성/NNG+이/VCP+면서/EC+도/JX
‘이렇게까지	‘/SS+이렇/VA+게/EC+까지/JX
이야기해도	이야기/NNG+하/XSV+아도/EC
될까’	되/VV+ㄹ까/EF+’/SS
싶을	싶/VX+을/ETM
정도로	정도/NNG+로/JKB
자기	자기/NNG
속내를	속내/NNG+를/JKO
드러낸	드러내/VV+ㄴ/ETM
<닥치고	</SS+닥치/VV+고/EC
정치>의	정치/NNG+>/SS+의/JKG
인기도	인기/NNG+도/JX
기존	기존/NNG
책들과는	책/NNG+들/XSN+과/JKB+는/JX
다른	다른/MMD
접근법	접근법/NNG
덕분이라는	덕분/NNG+이/VCP+라는/ETM
평가다.	평가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.174.7.5
한 출판 전문가는 “정치란 딱딱한 주제를 두고 요즘 젊은 독자들이 평소 쓰는 입말과 유머 감각에 맞춰 분명하게 주장을 펼치는 것이 새롭게 다가간 것으로 보인다”고 분석했다.

한	한/MMN
출판	출판/NNG
전문가는	전문가/NNG+는/JX
“정치란	“/SS+정치/NNG+란/JX
딱딱한	딱딱하/VA+ㄴ/ETM
주제를	주제/NNG+를/JKO
두고	두/VV+고/EC
요즘	요즘/NNG
젊은	젊/VA+은/ETM
독자들이	독자/NNG+들/XSN+이/JKS
평소	평소/NNG
쓰는	쓰/VV+는/ETM
입말과	입말/NNG+과/JC
유머	유머/NNG
감각에	감각/NNG+에/JKB
맞춰	맞추/VV+어/EC
