# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.231
metadata : {}


# id : NWRW1800000038.231.1.1
[스페셜올림픽, 특별한 즐거움] (3) 통합 스포츠 체험, 야오밍·김동성 등 스포츠 스타 참가… 선수들과 함께 호흡

[스페셜올림픽,	[/SS+스페셜올림픽/NNG+,/SP
특별한	특별/NNG+하/XSA+ㄴ/ETM
즐거움]	즐거움/NNG+]/SS
(3)	(/SS+3/SN+)/SS
통합	통합/NNG
스포츠	스포츠/NNG
체험,	체험/NNG+,/SP
야오밍·김동성	야오밍/NNP+·/SP+김동성/NNP
등	등/NNB
스타	스타/NNG
참가…	참가/NNG+…/SE
선수들과	선수/NNG+들/XSN+과/JKB
함께	함께/MAG
호흡	호흡/NNG


# id : NWRW1800000038.231.2.1
피겨 제외한 전 종목서 펼쳐져… 지적장애선수들과 희망 나눔

피겨	피겨/NNG
제외한	제외/NNG+하/XSV+ㄴ/ETM
전	전/MMN
종목서	종목/NNG+서/JKB
펼쳐져…	펼쳐지/VV+어/EC+…/SE
지적장애선수들과	지/NNG+적/XSN+장애/NNG+선수/NNG+들/XSN+과/JKB
희망	희망/NNG
나눔	나누/VV+ㅁ/ETN


# id : NWRW1800000038.231.3.1
스포츠 스타들도 평창 동계 스페셜올림픽에 함께 뛴다.

스포츠	스포츠/NNG
스타들도	스타/NNG+들/XSN+도/JX
평창	평창/NNP
동계	동계/NNG
스페셜올림픽에	스페셜올림픽/NNG+에/JKB
함께	함께/MAG
뛴다.	뛰/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.231.4.1
대회 조직위는 세계적으로 유명한 스포츠 선수와 지적장애인 선수가 함께 경기를 하는 '통합 스포츠 체험(Unified Sports Experience)' 행사를 진행한다.

대회	대회/NNG
조직위는	조직위/NNG+는/JX
세계적으로	세계/NNG+적/XSN+으로/JKB
유명한	유명/NNG+하/XSA+ㄴ/ETM
스포츠	스포츠/NNG
선수와	선수/NNG+와/JKB
지적장애인	지/NNG+적/XSN+장애인/NNG
선수가	선수/NNG+가/JKS
함께	함께/MAG
경기를	경기/NNG+를/JKO
하는	하/VV+는/ETM
'통합	'/SS+통합/NNG
체험(Unified	체험/NNG+(/SS+Unified/SL
Sports	Sports/SL
Experience)'	Experience/SL+)/SS+'/SS
행사를	행사/NNG+를/JKO
진행한다.	진행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.231.4.2
스페셜올림픽의 정신을 구현하는 상징적인 이벤트다.

스페셜올림픽의	스페셜올림픽/NNG+의/JKG
정신을	정신/NNG+을/JKO
구현하는	구현/NNG+하/XSV+는/ETM
상징적인	상징/NNG+적/XSN+이/VCP+ㄴ/ETM
이벤트다.	이벤트/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.231.4.3
지적장애인 선수들은 월드 스타와 직접 호흡을 맞추면서 꿈과 희망을 키워나간다.

지적장애인	지/NNG+적/XSN+장애인/NNG
선수들은	선수/NNG+들/XSN+은/JX
월드	월드/NNG
스타와	스타/NNG+와/JKB
직접	직접/MAG
호흡을	호흡/NNG+을/JKO
맞추면서	맞추/VV+면서/EC
꿈과	꿈/NNG+과/JC
희망을	희망/NNG+을/JKO
키워나간다.	키우/VV+어/EC+나가/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.231.4.4
스포츠 스타들은 지적장애인 선수들을 더 잘 이해할 수 있게 되고, 포용과 화합이라는 스페셜올림픽 정신을 널리 알리는 역할을 한다.

스포츠	스포츠/NNG
스타들은	스타/NNG+들/XSN+은/JX
지적장애인	지/NNG+적/XSN+장애인/NNG
선수들을	선수/NNG+들/XSN+을/JKO
더	더/MAG
잘	잘/MAG
이해할	이해/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
되고,	되/VV+고/EC+,/SP
포용과	포용/NNG+과/JC
화합이라는	화합/NNG+이/VCP+라는/ETM
스페셜올림픽	스페셜올림픽/NNG
정신을	정신/NNG+을/JKO
널리	널리/MAG
알리는	알리/VV+는/ETM
역할을	역할/NNG+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.231.5.1
이번 통합 스포츠 체험에는 전 NBA(미 프로농구) 선수 야오밍(중국)과 쇼트트랙 선수 출신인 김동성·양양(중국), 마라토너 이봉주씨 등이 나설 예정이다.

이번	이번/NNG
통합	통합/NNG
스포츠	스포츠/NNG
체험에는	체험/NNG+에/JKB+는/JX
전	전/MMD
NBA(미	NBA/SL+(/SS+미/NNP
프로농구)	프로/NNG+농구/NNG+)/SS
선수	선수/NNG
야오밍(중국)과	야오밍/NNP+(/SS+중국/NNP+)/SS+과/JC
쇼트트랙	쇼트트랙/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
김동성·양양(중국),	김동성/NNP+·/SP+양양/NNP+(/SS+중국/NNP+)/SS+,/SP
마라토너	마라토너/NNG
이봉주씨	이봉주/NNP+씨/NNB
등이	등/NNB+이/JKS
나설	나서/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.231.5.2
현직 국회의원, 각 체육기관 단체장 등도 참가한다.

현직	현직/NNG
국회의원,	국회/NNG+의원/NNG+,/SP
각	각/MMD
체육기관	체육/NNG+기관/NNG
단체장	단체장/NNG
등도	등/NNB+도/JX
참가한다.	참가/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.231.6.1
7개 정식 종목 중 피겨 스케이팅을 뺀 스노슈잉·알파인스키·스노보드·크로스컨트리·쇼트트랙·플로어하키와 시범경기인 플로어볼의 특별 경기가 펼쳐진다.

7개	7/SN+개/NNB
정식	정식/NNG
종목	종목/NNG
중	중/NNB
피겨	피겨/NNG
스케이팅을	스케이팅/NNG+을/JKO
뺀	빼/VV+ㄴ/ETM
스노슈잉·알파인스키·스노보드·크로스컨트리·쇼트트랙·플로어하키와	스노슈잉/NNG+·/SP+알파인/NNG+스키/NNG+·/SP+스노보드/NNG+·/SP+크로스컨트리/NNG+·/SP+쇼트트랙/NNG+·/SP+플로어하키/NNG+와/JC
시범경기인	시범/NNG+경기/NNG+이/VCP+ㄴ/ETM
플로어볼의	플로어볼/NNG+의/JKG
특별	특별/NNG
경기가	경기/NNG+가/JKS
펼쳐진다.	펼쳐지/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.231.6.2
종목마다 지적장애인과 비장애인 32명 이상이 참가해 즐거움과 감동을 나눈다.

종목마다	종목/NNG+마다/JX
지적장애인과	지/NNG+적/XSN+장애인/NNG+과/JC
비장애인	비/XPN+장애인/NNG
32명	32/SN+명/NNB
이상이	이상/NNG+이/JKS
참가해	참가/NNG+하/XSV+아/EC
즐거움과	즐거움/NNG+과/JC
감동을	감동/NNG+을/JKO
나눈다.	나누/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.231.6.3
각 팀의 지적장애인 선수와 비장애인 참가자들의 비율은 일대일로 맞춘다.

각	각/MMD
팀의	팀/NNG+의/JKG
지적장애인	지/NNG+적/XSN+장애인/NNG
선수와	선수/NNG+와/JC
비장애인	비/XPN+장애인/NNG
참가자들의	참가자/NNG+들/XSN+의/JKG
비율은	비율/NNG+은/JX
일대일로	일대일/NNG+로/JKB
맞춘다.	맞추/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.231.6.4
