# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.341
metadata : {}


# id : NWRW1800000045.341.1.1
[프리미엄 리포트]대한민국은 녹음중

[프리미엄	[/SS+프리미엄/NNG
리포트]대한민국은	리포트/NNG+]/SS+대한민국/NNP+은/JX
녹음중	녹음/NNG+중/NNB


# id : NWRW1800000045.341.2.1
‘성완종 게이트’ 주요 국면 등장 녹취파일만 4건 계약관계나 부부갈등서도 녹음 일상화… 요즘 소송, 녹취 활용 ‘필수’로 스마트폰 확산 맞물려 불신사회 반영

‘성완종	‘/SS+성완종/NNP
게이트’	게이트/NNG+’/SS
주요	주요/NNG
국면	국면/NNG
등장	등장/NNG
녹취파일만	녹취/NNG+파일/NNG+만/JX
4건	4/SN+건/NNB
계약관계나	계약/NNG+관계/NNG+나/JC
부부갈등서도	부부/NNG+갈등/NNG+서/JKB+도/JX
녹음	녹음/NNG
일상화…	일상/NNG+화/XSN+…/SE
요즘	요즘/NNG
소송,	소송/NNG+,/SP
녹취	녹취/NNG
활용	활용/NNG
‘필수’로	‘/SS+필수/NNG+’/SS+로/JKB
스마트폰	스마트폰/NNG
확산	확산/NNG
맞물려	맞물리/VV+어/EC
불신사회	불신/NNG+사회/NNG
반영	반영/NNG


# id : NWRW1800000045.341.3.1
녹취파일이 대한민국을 뒤흔들고 있다.

녹취파일이	녹취/NNG+파일/NNG+이/JKS
대한민국을	대한민국/NNP+을/JKO
뒤흔들고	뒤흔들/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.341.3.2
성완종 경남기업 회장이 9일 스스로 목숨을 끊기 직전 남긴 48분짜리 통화 내용이 공개되면서 이완구 국무총리는 사의를 표했다.

성완종	성완종/NNP
경남기업	경남기업/NNP
회장이	회장/NNG+이/JKS
9일	9/SN+일/NNB
스스로	스스로/MAG
목숨을	목숨/NNG+을/JKO
끊기	끊/VV+기/ETN
직전	직전/NNG
남긴	남기/VV+ㄴ/ETM
48분짜리	48/SN+분/NNB+짜리/XSN
통화	통화/NNG
내용이	내용/NNG+이/JKS
공개되면서	공개/NNG+되/XSV+면서/EC
이완구	이완구/NNP
국무총리는	국무총리/NNG+는/JX
사의를	사의/NNG+를/JKO
표했다.	표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.341.4.1
이른바 ‘성완종 게이트’와 관련된 녹취 파일은 하나에 그치지 않았다.

이른바	이른바/MAG
‘성완종	‘/SS+성완종/NNP
게이트’와	게이트/NNG+’/SS+와/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
녹취	녹취/NNG
파일은	파일/NNG+은/JX
하나에	하나/NR+에/JKB
그치지	그치/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.341.4.2
성 회장이 홍준표 경남지사에게 건넨 1억 원의 전달자로 지목한 윤모 전 경남기업 부사장은 6일 자신의 병실로 찾아온 성 회장의 발언을 녹취했다.

성	성/NNP
회장이	회장/NNG+이/JKS
홍준표	홍준표/NNP
경남지사에게	경남/NNP+지사/NNG+에게/JKB
건넨	건네/VV+ㄴ/ETM
1억	1/SN+억/NR
원의	원/NNB+의/JKG
전달자로	전달자/NNG+로/JKB
지목한	지목/NNG+하/XSV+ㄴ/ETM
윤모	윤/NNP+모/NP
전	전/MMD
경남기업	경남기업/NNP
부사장은	부사장/NNG+은/JX
6일	6/SN+일/NNB
자신의	자신/NNG+의/JKG
병실로	병실/NNG+로/JKB
찾아온	찾아오/VV+ㄴ/ETM
회장의	회장/NNG+의/JKG
발언을	발언/NNG+을/JKO
녹취했다.	녹취/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.341.4.3
윤 전 부사장은 또 홍 지사 측에서 “(홍 지사가 아니라) 보좌관에게 준 걸로 하자”고 제안한 얘기도 녹취해 검찰에 제출한 것으로 알려졌다.

윤	윤/NNP
전	전/MMD
부사장은	부사장/NNG+은/JX
또	또/MAG
홍	홍/NNP
지사	지사/NNG
측에서	측/NNB+에서/JKB
“(홍	“/SS+(/SS+홍/NNP
지사가	지사/NNG+가/JKC
아니라)	아니/VCN+라/EC+)/SS
보좌관에게	보좌관/NNG+에게/JKB
준	주/VV+ㄴ/ETM
걸로	거/NNB+ㄹ로/JKB
하자”고	하/VV+자/EF+”/SS+고/JKQ
제안한	제안/NNG+하/XSV+ㄴ/ETM
얘기도	얘기/NNG+도/JX
녹취해	녹취/NNG+하/XSV+아/EC
검찰에	검찰/NNG+에/JKB
제출한	제출/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.341.5.1
이 총리 측도 ‘녹취 공방’의 당사자로 나섰다.

이	이/NNP
총리	총리/NNG
측도	측/NNB+도/JX
‘녹취	‘/SS+녹취/NNG
공방’의	공방/NNG+’/SS+의/JKG
당사자로	당사자/NNG+로/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.341.5.2
이 총리 측 관계자는 성 회장이 3000만 원을 건넸다고 주장한 2013년 4월 4일 당시 운전기사와의 통화 내용을 녹취해 공개했다가 오히려 “증인을 회유했다”는 역풍을 맞았다.

이	이/NNP
총리	총리/NNG
측	측/NNB
관계자는	관계자/NNG+는/JX
성	성/NNP
회장이	회장/NNG+이/JKS
3000만	3000/SN+만/NR
원을	원/NNB+을/JKO
건넸다고	건네/VV+었/EP+다고/EC
주장한	주장/NNG+하/XSV+ㄴ/ETM
