# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.163
metadata : {}


# id : NWRW1800000046.163.1.1
공무원·교수 8명, 7년간 조직적 예산횡령

공무원·교수	공무원/NNG+·/SP+교수/NNG
8명,	8/SN+명/NNB+,/SP
7년간	7/SN+년/NNB+간/XSN
조직적	조직/NNG+적/XSN
예산횡령	예산/NNG+횡령/NNG


# id : NWRW1800000046.163.2.1
항공관제시스템 국산화 관련

항공관제시스템	항공관제/NNG+시스템/NNG
국산화	국산/NNG+화/XSN
관련	관련/NNG


# id : NWRW1800000046.163.3.1
국산 항공관제시스템 연구·개발에 참여한 전·현직 국토교통부 공무원과 대학교수 등 8명이 7년간 예산 횡령 등 조직적 비리를 저지른 혐의로 수사를 받게 됐다.

국산	국산/NNG
항공관제시스템	항공관제/NNG+시스템/NNG
연구·개발에	연구/NNG+·/SP+개발/NNG+에/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
전·현직	전·현직/NNG
국토교통부	국토/NNG+교통부/NNG
공무원과	공무원/NNG+과/JC
대학교수	대학교수/NNG
등	등/NNB
8명이	8/SN+명/NNB+이/JKS
7년간	7/SN+년/NNB+간/XSN
예산	예산/NNG
횡령	횡령/NNG
조직적	조직/NNG+적/XSN
비리를	비리/NNG+를/JKO
저지른	저지르/VV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
수사를	수사/NNG+를/JKO
받게	받/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.163.3.2
감사원은 1일 항공관제시스템 국산화 사업에서 허위 보고와 예산 횡령, 금품 수수 혐의가 드러난 이들에 대해 지난달 검찰에 수사 요청했다고 밝혔다.

감사원은	감사원/NNG+은/JX
1일	1/SN+일/NNB
항공관제시스템	항공관제/NNG+시스템/NNG
국산화	국산/NNG+화/XSN
사업에서	사업/NNG+에서/JKB
허위	허위/NNG
보고와	보고/NNG+와/JC
예산	예산/NNG
횡령,	횡령/NNG+,/SP
금품	금품/NNG
수수	수수/NNG
혐의가	혐의/NNG+가/JKS
드러난	드러나/VV+ㄴ/ETM
이들에	이/NP+들/XSN+에/JKB
대해	대하/VV+아/EC
지난달	지난달/NNG
검찰에	검찰/NNG+에/JKB
수사	수사/NNG
요청했다고	요청/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.163.4.1
작년 국토부가 "국산화에 성공했다"고 홍보한 이 항공관제시스템은 상용화하기 힘든 것으로 드러났다.

작년	작년/NNG
국토부가	국토부/NNG+가/JKS
"국산화에	"/SS+국산/NNG+화/XSN+에/JKB
성공했다"고	성공/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
홍보한	홍보/NNG+하/XSV+ㄴ/ETM
이	이/MMD
항공관제시스템은	항공관제/NNG+시스템/NNG+은/JX
상용화하기	상용/NNG+화/XSN+하/XSV+기/ETN
힘든	힘들/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.163.5.1
국토부는 항공관제시스템 국산화를 위해 2007년부터 345억원을 들여 6개 기관이 참여하는 연구·개발 사업을 진행했다.

국토부는	국토부/NNG+는/JX
항공관제시스템	항공관제/NNG+시스템/NNG
국산화를	국산/NNG+화/XSN+를/JKO
위해	위하/VV+아/EC
2007년부터	2007/SN+년/NNB+부터/JX
345억원을	345/SN+억/NR+원/NNB+을/JKO
들여	들이/VV+어/EC
6개	6/SN+개/NNB
기관이	기관/NNG+이/JKS
참여하는	참여/NNG+하/XSV+는/ETM
연구·개발	연구/NNG+·/SP+개발/NNG
사업을	사업/NNG+을/JKO
진행했다.	진행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.163.5.2
감사원에 따르면, 연구를 주관한 수도권 모 대학교수 A(63)씨는 국제 기술 기준을 적용하지 않은 시스템을 개발한 뒤 국제 기준을 만족했다는 허위 보고서를 작년 정부에 제출했다.

감사원에	감사원/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
연구를	연구/NNG+를/JKO
주관한	주관/NNG+하/XSV+ㄴ/ETM
수도권	수도/NNG+권/XSN
모	모/MMD
대학교수	대학교수/NNG
A(63)씨는	A/SL+(/SS+63/SN+)/SS+씨/NNB+는/JX
국제	국제/NNG
기술	기술/NNG
기준을	기준/NNG+을/JKO
적용하지	적용/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
시스템을	시스템/NNG+을/JKO
개발한	개발/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
만족했다는	만족/NNG+하/XSA+았/EP+다는/ETM
허위	허위/NNG
보고서를	보고서/NNG+를/JKO
작년	작년/NNG
정부에	정부/NNG+에/JKB
제출했다.	제출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.163.5.3
감사원은 "해당 시스템은 안전성에 문제가 있어 항공 사고의 원인이 될 수 있는 것으로 나타났다"고 했다.

감사원은	감사원/NNG+은/JX
"해당	"/SS+해당/NNG
시스템은	시스템/NNG+은/JX
안전성에	안전/NNG+성/XSN+에/JKB
문제가	문제/NNG+가/JKS
있어	있/VA+어/EC
항공	항공/NNG
사고의	사고/NNG+의/JKG
원인이	원인/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
것으로	것/NNB+으로/JKB
나타났다"고	나타나/VV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.163.6.1
현직 국토부 사무관 B(47)씨는 2012년 성능적합증명 검사 기관으로 모 전문대 교수 C씨가 선정될 수 있도록 심사 결과를 수차례 조작했다.

현직	현직/NNG
국토부	국토부/NNG
사무관	사무관/NNG
B(47)씨는	B/SL+(/SS+47/SN+)/SS+씨/NNB+는/JX
2012년	2012/SN+년/NNB
성능적합증명	성능/NNG+적합/NNG+증명/NNG
검사	검사/NNG
기관으로	기관/NNG+으로/JKB
모	모/MMD
전문대	전문대/NNG
교수	교수/NNG
C씨가	C/SL+씨/NNB+가/JKS
선정될	선정/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
심사	심사/NNG
결과를	결과/NNG+를/JKO
수차례	수차례/NNG
조작했다.	조작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.163.6.2
C씨는 A씨의 제자다.

C씨는	C/SL+씨/NNB+는/JX
A씨의	A/SL+씨/NNB+의/JKG
제자다.	제자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.163.6.3
정보통신 업체를 운영하는 D씨는 A씨와 짜고 인건비 5000여만원, 연구·개발비 3억여원을 횡령했다.

정보통신	정보/NNG+통신/NNG
