# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.370
metadata : {}


# id : NWRW1800000038.370.1.1
北, 300㎜ 신형 방사포 시험했을수도… 기존 사정권 넘어 계룡대까지(충남 계룡시,육·해·공 3군본부 소재) 위협

北,	北/SH+,/SP
300㎜	300/SN+㎜/SW
신형	신형/NNG
방사포	방사포/NNG
시험했을수도…	시험/NNG+하/XSV+았/EP+을/ETM+수/NNB+도/JX+…/SE
기존	기존/NNG
사정권	사정/NNG+권/XSN
넘어	넘/VV+어/EC
계룡대까지(충남	계룡대/NNP+까지/JX+(/SS+충남/NNP
계룡시,육·해·공	계룡시/NNP+,/SP+육·해·공/NNG
3군본부	3/SN+군/NNG+본부/NNG
소재)	소재/NNG+)/SS
위협	위협/NNG


# id : NWRW1800000038.370.2.1
北 연이틀 단거리 유도탄 발사… 미사일인지 로켓인지는 미확인

北	北/SH
연이틀	연이틀/NNG
단거리	단거리/NNG
유도탄	유도탄/NNG
발사…	발사/NNG+…/SE
미사일인지	미사일/NNG+이/VCP+ㄴ지/EC
로켓인지는	로켓/NNG+이/VCP+ㄴ지/EF+는/JX
미확인	미/XPN+확인/NNG


# id : NWRW1800000038.370.3.1
북한이 18~19일 연이틀 발사한 단거리 유도탄의 정체가 신형 지대지(地對地)미사일인지 장거리 유도 로켓인지 아직 확인되지 않았지만 두 가지 모두 우리에겐 상당한 위협이 된다.

북한이	북한/NNP+이/JKS
18~19일	18/SN+~/SO+19/SN+일/NNB
연이틀	연이틀/NNG
발사한	발사/NNG+하/XSV+ㄴ/ETM
단거리	단거리/NNG
유도탄의	유도탄/NNG+의/JKG
정체가	정체/NNG+가/JKS
신형	신형/NNG
지대지(地對地)미사일인지	지대지/NNG+(/SS+地對地/SH+)/SS+미사일/NNG+이/VCP+ㄴ지/EF
장거리	장거리/NNG
유도	유도/NNG
로켓인지	로켓/NNG+이/VCP+ㄴ지/EF
아직	아직/MAG
확인되지	확인/NNG+되/XSV+지/EC
않았지만	않/VX+았/EP+지만/EC
두	두/MMN
가지	가지/NNB
모두	모두/MAG
우리에겐	우리/NP+에게/JKB+ㄴ/JX
상당한	상당/NNG+하/XSA+ㄴ/ETM
위협이	위협/NNG+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.370.4.1
북한이 지금까지 보유한 다연장 로켓(방사포)은 107㎜, 122㎜, 240㎜등 세 종류였다.

북한이	북한/NNP+이/JKS
지금까지	지금/NNG+까지/JX
보유한	보유/NNG+하/XSV+ㄴ/ETM
다연장	다연장/NNG
로켓(방사포)은	로켓/NNG+(/SS+방사포/NNG+)/SS+은/JX
107㎜,	107/SN+㎜/SW+,/SP
122㎜,	122/SN+㎜/SW+,/SP
240㎜등	240/SN+㎜/SW+등/NNB
세	세/MMN
종류였다.	종류/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.370.4.2
이 중 사거리가 가장 긴 것이 240㎜로켓이었다.

이	이/NP
중	중/NNB
사거리가	사거리/NNG+가/JKS
가장	가장/MAG
긴	길/VA+ㄴ/ETM
것이	것/NNB+이/JKS
240㎜로켓이었다.	240/SN+㎜/SW+로켓/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.370.4.3
최대 사거리가 65㎞로 DMZ(비무장지대) 인근에서 수도권을 사정권에 넣는 북 장사정포 중 대표적인 무기다.

최대	최대/NNG
사거리가	사거리/NNG+가/JKS
65㎞로	65/SN+㎞/SW+로/JKB
DMZ(비무장지대)	DMZ/SL+(/SS+비/XPN+무장/NNG+지대/NNG+)/SS
인근에서	인근/NNG+에서/JKB
수도권을	수도/NNG+권/XSN+을/JKO
사정권에	사정/NNG+권/XSN+에/JKB
넣는	넣/VV+는/ETM
북	북/NNP
장사정포	장사정포/NNG
중	중/NNB
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
무기다.	무기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.370.4.4
하지만 이들엔 유도 장치가 없어 미사일보다 훨씬 정확도가 떨어진다.

하지만	하지만/MAJ
이들엔	이/NP+들/XSN+에/JKB+ㄴ/JX
유도	유도/NNG
장치가	장치/NNG+가/JKS
없어	없/VA+어/EC
미사일보다	미사일/NNG+보다/JKB
훨씬	훨씬/MAG
정확도가	정확도/NNG+가/JKS
떨어진다.	떨어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.370.5.1
반면 직경 300㎜ 이상의 유도 로켓은 최대 사거리가 180~200㎞로 기존 방사포보다 훨씬 길고 유도 장치가 있어 미사일에 버금갈 정도로 정확도가 높다.

반면	반면/NNG
직경	직경/NNG
300㎜	300/SN+㎜/SW
이상의	이상/NNG+의/JKG
유도	유도/NNG
로켓은	로켓/NNG+은/JX
최대	최대/NNG
사거리가	사거리/NNG+가/JKS
180~200㎞로	180/SN+~/SO+200/SN+㎞/SW+로/JKB
기존	기존/NNG
방사포보다	방사포/NNG+보다/JKB
훨씬	훨씬/MAG
길고	길/VA+고/EC
장치가	장치/NNG+가/JKS
있어	있/VA+어/EC
미사일에	미사일/NNG+에/JKB
버금갈	버금가/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
정확도가	정확도/NNG+가/JKS
