# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.344
metadata : {}


# id : NWRW1800000038.344.1.1
"안철수 노원丙 출마 반대" 46%… "찬성한다" 보다 12%p 더 많아

"안철수	"/SS+안철수/NNP
노원丙	노원/NNP+丙/SH
출마	출마/NNG
반대"	반대/NNG+"/SS
46%…	46/SN+%/SW+…/SE
"찬성한다"	"/SS+찬성/NNG+하/XSV+ㄴ다/EF+"/SS
보다	보다/JKB
12%p	12/SN+%p/SW
더	더/MAG
많아	많/VA+아/EF


# id : NWRW1800000038.344.2.1
안철수측, 野반발 거세자 당혹… 이례적으로 출마 배경자료 뿌려

안철수측,	안철수/NNP+측/NNB+,/SP
野반발	野/SH+반발/NNG
거세자	거세/VA+자/EC
당혹…	당혹/NNG+…/SE
이례적으로	이례/NNG+적/XSN+으로/JKB
출마	출마/NNG
배경자료	배경/NNG+자료/NNG
뿌려	뿌리/VV+어/EF


# id : NWRW1800000038.344.3.1
서울 노원병 지역 국회의원 보궐선거(4월 24일) 출마를 선언한 안철수 전 서울대 교수에 대한 야권의 반발이 커지고 있다.

서울	서울/NNP
노원병	노원병/NNP
지역	지역/NNG
국회의원	국회/NNG+의원/NNG
보궐선거(4월	보궐/NNG+선거/NNG+(/SS+4/SN+월/NNB
24일)	24/SN+일/NNB+)/SS
출마를	출마/NNG+를/JKO
선언한	선언/NNG+하/XSV+ㄴ/ETM
안철수	안철수/NNP
전	전/MMD
서울대	서울대/NNP
교수에	교수/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
야권의	야권/NNG+의/JKG
반발이	반발/NNG+이/JKS
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.344.3.2
야권 전체의 양보까지 기대했던 안 전 교수 측은 진보정의당뿐만 아니라 민주통합당에서도 서울 출마를 비판하는 목소리가 나오자 당혹하고 있다.

야권	야권/NNG
전체의	전체/NNG+의/JKG
양보까지	양보/NNG+까지/JX
기대했던	기대/NNG+하/XSV+았/EP+던/ETM
안	안/NNP
전	전/MMD
교수	교수/NNG
측은	측/NNB+은/JX
진보정의당뿐만	진보정의당/NNP+뿐/JX+만/JX
아니라	아니/VCN+라/EC
