# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.277
metadata : {}


# id : NWRW1800000021.277.1.1
[책의 향기]“국모의 원수를 갚기 위해” 조선인을 살해한 조선인

[책의	[/SS+책/NNG+의/JKG
향기]“국모의	향기/NNG+]/SS+“/SS+국모/NNG+의/JKG
원수를	원수/NNG+를/JKO
갚기	갚/VV+기/ETN
위해”	위하/VV+아/EC+”/SS
조선인을	조선인/NNG+을/JKO
살해한	살해/NNG+하/XSV+ㄴ/ETM
조선인	조선인/NNG


# id : NWRW1800000021.277.2.1
◇ 자객 고영근의 명성황후 복수기·이종각 지음·424쪽·1만5000원·동아일보사

◇	◇/SW
자객	자객/NNG
고영근의	고영근/NNP+의/JKG
명성황후	명성/NNP+황후/NNG
복수기·이종각	복수기/NNG+·/SP+이종각/NNP
지음·424쪽·1만5000원·동아일보사	짓/VV+음/ETN+·/SP+424/SN+쪽/NNG+·/SP+1/SN+만/NR+5000/SN+원/NNB+·/SP+동아일보사/NNP


# id : NWRW1800000021.277.3.1
1903년 11월 24일 오후 7시경 일본 히로시마 현 구레 시의 한 가옥에서 살인사건이 발생한다.

1903년	1903/SN+년/NNB
11월	11/SN+월/NNB
24일	24/SN+일/NNB
오후	오후/NNG
7시경	7/SN+시/NNB+경/XSN
일본	일본/NNP
히로시마	히로시마/NNP
현	현/NNG
구레	구레/NNP
시의	시/NNG+의/JKG
한	한/MMN
가옥에서	가옥/NNG+에서/JKB
살인사건이	살인/NNG+사건/NNG+이/JKS
발생한다.	발생/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.277.3.2
피해자는 목과 턱 주위를 수차례 칼에 찔렸고 머리는 쇠망치에 난타 당했다.

피해자는	피해자/NNG+는/JX
목과	목/NNG+과/JC
턱	턱/NNG
주위를	주위/NNG+를/JKO
수차례	수차례/NNG
칼에	칼/NNG+에/JKB
찔렸고	찔리/VV+었/EP+고/EC
머리는	머리/NNG+는/JX
쇠망치에	쇠망치/NNG+에/JKB
난타	난타/NNG
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.277.3.3
