# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.418
metadata : {}


# id : NWRW1800000030.418.1.1
[서울] 굽이굽이 세월의 흔적을 걷자… 22일 '서울 역사길 걷기대회'

[서울]	[/SS+서울/NNP+]/SS
굽이굽이	굽이굽이/MAG
세월의	세월/NNG+의/JKG
흔적을	흔적/NNG+을/JKO
걷자…	걷/VV+자/EF+…/SE
22일	22/SN+일/NNB
'서울	'/SS+서울/NNP
역사길	역사/NNG+길/NNG
걷기대회'	걷기/NNG+대회/NNG+'/SS


# id : NWRW1800000030.418.2.1
서울 도심에서 자연과 역사유적을 함께 둘러볼 수 있는 '2011 서울 역사길 걷기대회(이하 걷기대회)'가 오는 22일과 다음달 12일 열린다.

서울	서울/NNP
도심에서	도심/NNG+에서/JKB
자연과	자연/NNG+과/JC
역사유적을	역사/NNG+유적/NNG+을/JKO
함께	함께/MAG
둘러볼	둘러보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
'2011	'/SS+2011/SN
역사길	역사/NNG+길/NNG
걷기대회(이하	걷기/NNG+대회/NNG+(/SS+이하/NNG
걷기대회)'가	걷기/NNG+대회/NNG+)/SS+'/SS+가/JKS
오는	오/VV+는/ETM
22일과	22/SN+일/NNB+과/JC
다음달	다음/NNG+달/NNG
12일	12/SN+일/NNB
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.418.3.1
이번달 걷기대회는 22일 오전 10시 독립문 앞 독립광장(지하철 3호선 독립문역 4번 출구)에서 출발한다.

이번달	이번/NNG+달/NNG
걷기대회는	걷기/NNG+대회/NNG+는/JX
22일	22/SN+일/NNB
오전	오전/NNG
10시	10/SN+시/NNB
독립문	독립문/NNP
앞	앞/NNG
독립광장(지하철	독립광장/NNP+(/SS+지하철/NNG
3호선	3/SN+호선/NNB
독립문역	독립문역/NNP
4번	4/SN+번/NNB
출구)에서	출구/NNG+)/SS+에서/JKB
출발한다.	출발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.418.3.2
서대문형무소역사관, 이진아도서관 옆길, 안산 봉수대를 거쳐 다시 독립광장으로 돌아오는 코스다.

서대문형무소역사관,	서대문형무소역사관/NNP+,/SP
이진아도서관	이진아도서관/NNP
옆길,	옆길/NNG+,/SP
안산	안산/NNP
봉수대를	봉수대/NNG+를/JKO
거쳐	거치/VV+어/EC
다시	다시/MAG
독립광장으로	독립광장/NNP+으로/JKB
돌아오는	돌아오/VV+는/ETM
코스다.	코스/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.418.3.3
코스 길이는 약 5㎞며 편한 걸음으로 1시간 30분 정도 걸린다고 서울시는 밝혔다.

코스	코스/NNG
길이는	길이/NNG+는/JX
약	약/MMA
5㎞며	5/SN+㎞/SW+이/VCP+며/EC
편한	편하/VA+ㄴ/ETM
걸음으로	걸음/NNG+으로/JKB
1시간	1/SN+시간/NNB
30분	30/SN+분/NNB
정도	정도/NNG
걸린다고	걸리/VV+ㄴ다고/EC
서울시는	서울시/NNP+는/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.418.3.4
고즈넉한 숲길과 서울 서북부를 봉수대에서 한눈에 내려다볼 수 있다.

고즈넉한	고즈넉하/VA+ㄴ/ETM
숲길과	숲길/NNG+과/JC
서울	서울/NNP
서북부를	서북부/NNG+를/JKO
봉수대에서	봉수대/NNG+에서/JKB
한눈에	한눈/NNG+에/JKB
내려다볼	내려다보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.418.3.5
코스 중간에는 약수터 3곳이 있어 목도 축이며 쉬어갈 수 있다.

코스	코스/NNG
중간에는	중간/NNG+에/JKB+는/JX
약수터	약수터/NNG
3곳이	3/SN+곳/NNG+이/JKS
있어	있/VA+어/EC
목도	목/NNG+도/JX
축이며	축이/VV+며/EC
쉬어갈	쉬/VV+어/EC+가/VX+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.418.3.6
출발지에는 코스를 완주한 시민을 위한 축하공연과 경품 추첨행사가 마련돼 있다.

출발지에는	출발지/NNG+에/JKB+는/JX
코스를	코스/NNG+를/JKO
완주한	완주/NNG+하/XSV+ㄴ/ETM
시민을	시민/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
축하공연과	축하/NNG+공연/NNG+과/JC
경품	경품/NNG
추첨행사가	추첨/NNG+행사/NNG+가/JKS
마련돼	마련/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.418.4.1
다음달 걷기대회 코스는 12일 오전 10시 광화문 세종문화회관 옆 세종로공원(지하철 5호선 광화문역 광화문광장 출구)에서 시작된다.

다음달	다음/NNG+달/NNG
걷기대회	걷기/NNG+대회/NNG
코스는	코스/NNG+는/JX
12일	12/SN+일/NNB
오전	오전/NNG
10시	10/SN+시/NNB
광화문	광화문/NNP
세종문화회관	세종문화회관/NNP
옆	옆/NNG
세종로공원(지하철	세종로공원/NNP+(/SS+지하철/NNG
5호선	5/SN+호선/NNB
광화문역	광화문역/NNP
광화문광장	광화문광장/NNP
출구)에서	출구/NNG+)/SS+에서/JKB
시작된다.	시작/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.418.4.2
세종로공원은 지난 6개월간의 리모델링을 거쳐 다음달 초 문을 연다.

세종로공원은	세종로공원/NNP+은/JX
지난	지나/VV+ㄴ/ETM
6개월간의	6/SN+개월/NNB+간/XSN+의/JKG
리모델링을	리모델링/NNG+을/JKO
거쳐	거치/VV+어/EC
다음달	다음/NNG+달/NNG
초	초/NNB
문을	문/NNG+을/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.418.4.3
광화문을 지나 감고당길, 북촌 한옥마을과 삼청공원, 와룡공원을 거쳐 출발지로 돌아오는 7㎞ 코스는 2시간 정도 걸린다.

광화문을	광화문/NNP+을/JKO
지나	지나/VV+아/EC
감고당길,	감고당길/NNP+,/SP
북촌	북촌/NNP
한옥마을과	한옥/NNG+마을/NNG+과/JC
삼청공원,	삼청공원/NNP+,/SP
와룡공원을	와룡공원/NNP+을/JKO
거쳐	거치/VV+어/EC
출발지로	출발지/NNG+로/JKB
돌아오는	돌아오/VV+는/ETM
7㎞	7/SN+㎞/SW
코스는	코스/NNG+는/JX
2시간	2/SN+시간/NNB
정도	정도/NNG
걸린다.	걸리/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.418.4.4
걷는 동안 대로변 빌딩과 북촌 한옥·골목길을 동시에 감상할 수 있다.

걷는	걷/VV+는/ETM
동안	동안/NNG
대로변	대로변/NNG
빌딩과	빌딩/NNG+과/JC
북촌	북촌/NNP
한옥·골목길을	한옥/NNG+·/SP+골목길/NNG+을/JKO
동시에	동시/NNG+에/JKB
감상할	감상/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.418.5.1
걷기대회 참가신청과 더불어 자원봉사활동 신청도 받는다.

걷기대회	걷기/NNG+대회/NNG
참가신청과	참가/NNG+신청/NNG+과/JKB
더불어	더불/VV+어/EC
자원봉사활동	자원봉사/NNG+활동/NNG
신청도	신청/NNG+도/JX
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000030.418.5.2
만 19세 이상 성인이면 누구나 참여할 수 있으며 대회 당일 오전 8시까지 행사장에 모여 1시간 교육을 받아야 한다.

만	만/MMA
19세	19/SN+세/NNB
이상	이상/NNG
성인이면	성인/NNG+이/VCP+면/EC
누구나	누구/NP+나/JX
참여할	참여/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있으며	있/VA+으며/EC
대회	대회/NNG
당일	당일/NNG
오전	오전/NNG
8시까지	8/SN+시/NNB+까지/JX
행사장에	행사장/NNG+에/JKB
모여	모이/VV+어/EC
1시간	1/SN+시간/NNB
