# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.107
metadata : {}


# id : NWRW1800000038.107.1.1
"재외공관장은 정무·경제·통상까지 능통해야"

"재외공관장은	"/SS+재외/NNG+공관장/NNG+은/JX
정무·경제·통상까지	정무/NNG+·/SP+경제/NNG+·/SP+통상/NNG+까지/JX
능통해야"	능통하/VA+아야/EC+"/SS


# id : NWRW1800000038.107.2.1
안호영 신임 駐美 대사

안호영	안호영/NNP
신임	신임/NNG
駐美	駐美/SH
대사	대사/NNG


# id : NWRW1800000038.107.3.1
"미국 경제가 2008년 이후 의미 있는 회복세를 보이고 있다.

"미국	"/SS+미국/NNP
경제가	경제/NNG+가/JKS
2008년	2008/SN+년/NNB
이후	이후/NNG
의미	의미/NNG
있는	있/VA+는/ETM
회복세를	회복세/NNG+를/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.107.3.2
이는 정보기술(IT), 바이오, 에너지, 서비스 분야에서 경쟁력이 뒷받침됐기 때문이다.

이는	이/NP+는/JX
정보기술(IT),	정보/NNG+기술/NNG+(/SS+IT/SL+)/SS+,/SP
바이오,	바이오/NNG+,/SP
에너지,	에너지/NNG+,/SP
서비스	서비스/NNG
분야에서	분야/NNG+에서/JKB
경쟁력이	경쟁력/NNG+이/JKS
뒷받침됐기	뒷받침/NNG+되/XSV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.107.3.3
관련 분야에서 한미관계를 발전시켜 나가는 것이 중요하다."

관련	관련/NNG
분야에서	분야/NNG+에서/JKB
한미관계를	한미/NNP+관계/NNG+를/JKO
발전시켜	발전/NNG+시키/XSV+어/EC
나가는	나가/VX+는/ETM
것이	것/NNB+이/JKS
중요하다."	중요/NNG+하/XSA+다/EF+./SF+"/SS


# id : NWRW1800000038.107.4.1
안호영(57) 신임 주미 한국 대사는 5일(현지 시각) 워싱턴DC에서 첫 특파원단 간담회를 열고 "엄중한 책임감과 부담감을 느낀다"면서 이렇게 말했다.

안호영(57)	안호영/NNP+(/SS+57/SN+)/SS
신임	신임/NNG
주미	주미/NNG
한국	한국/NNP
대사는	대사/NNG+는/JX
5일(현지	5/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
워싱턴DC에서	워싱턴/NNP+DC/SL+에서/JKB
첫	첫/MMN
특파원단	특파원단/NNG
간담회를	간담회/NNG+를/JKO
열고	열/VV+고/EC
"엄중한	"/SS+엄중/NNG+하/XSA+ㄴ/ETM
책임감과	책임감/NNG+과/JC
부담감을	부담감/NNG+을/JKO
느낀다"면서	느끼/VV+ㄴ다/EF+"/SS+면서/EC
이렇게	이렇/VA+게/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.107.4.2
안 대사는 자신을 '통상 전문가'로 보는 시각에 대해 '쌍칼잡이론'을 펴온 것으로 알려졌다.

안	안/NNP
대사는	대사/NNG+는/JX
자신을	자신/NNG+을/JKO
'통상	'/SS+통상/NNG
전문가'로	전문가/NNG+'/SS+로/JKB
보는	보/VV+는/ETM
시각에	시각/NNG+에/JKB
대해	대하/VV+아/EC
'쌍칼잡이론'을	'/SS+쌍칼잡이/NNG+론/XSN+'/SS+을/JKO
펴온	펴/VV+어/EC+오/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.107.4.3
재외공관장은 정무 분야뿐 아니라 경제·통상 분야에서도 전문성을 갖춰야 한다는 것이다.

재외공관장은	재외/NNG+공관장/NNG+은/JX
정무	정무/NNG
분야뿐	분야/NNG+뿐/JX
아니라	아니/VCN+라/EC
경제·통상	경제/NNG+·/SP+통상/NNG
