# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.49
metadata : {}


# id : NWRW1800000025.49.1.1
[인문사회]예측 불가능한 세상에서 살아남는 비결은 ‘탄력성’

[인문사회]예측	[/SS+인문/NNG+사회/NNG+]/SS+예측/NNG
불가능한	불/XPN+가능/NNG+하/XSA+ㄴ/ETM
세상에서	세상/NNG+에서/JKB
살아남는	살아남/VV+는/ETM
비결은	비결/NNG+은/JX
‘탄력성’	‘/SS+탄력/NNG+성/XSN+’/SS


# id : NWRW1800000025.49.2.1
◇ 언싱커블 에이지·조슈아 쿠퍼 라모 지음·조성숙 옮김·352쪽·1만9800원·알마

◇	◇/SW
언싱커블	언싱커블/NNP
에이지·조슈아	에이지/NNP+·/SP+조슈아/NNP
쿠퍼	쿠퍼/NNP
라모	라모/NNP
지음·조성숙	짓/VV+음/ETN+·/SP+조성숙/NNP
옮김·352쪽·1만9800원·알마	옮기/VV+ㅁ/ETN+·/SP+352/SN+쪽/NNG+·/SP+1/SN+만/NR+9800/SN+원/NNB+·/SP+알마/NNP


# id : NWRW1800000025.49.3.1
예측 불가능한 일들이 벌어지는 세상에서 안전하게 살아남는 방법은 무엇일까.

예측	예측/NNG
불가능한	불/XPN+가능/NNG+하/XSA+ㄴ/ETM
일들이	일/NNG+들/XSN+이/JKS
벌어지는	벌어지/VV+는/ETM
세상에서	세상/NNG+에서/JKB
안전하게	안전/NNG+하/XSA+게/EC
살아남는	살아남/VV+는/ETM
방법은	방법/NNG+은/JX
무엇일까.	무엇/NP+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000025.49.3.2
전(前) 타임지 부편집장이자 전략자문기구인 키신저협회의 매니징 디렉터인 저자는 오늘날과 같이 불확실성이 가득한 시대를 덴마크 과학자 페르 바크의 ‘모래탑 이론’에 빗대 표현한다.

전(前)	전/MMD+(/SS+前/SH+)/SS
타임지	타임지/NNP
부편집장이자	부편집장/NNG+이/VCP+자/EC
전략자문기구인	전략/NNG+자문/NNG+기구/NNG+이/VCP+ㄴ/ETM
키신저협회의	키신저협회/NNP+의/JKG
매니징	매니징/NNG
디렉터인	디렉터/NNG+이/VCP+ㄴ/ETM
저자는	저자/NNG+는/JX
오늘날과	오늘날/NNG+과/JKB
같이	같이/MAG
불확실성이	불확실/NNG+성/XSN+이/JKS
가득한	가득/MAG+하/XSA+ㄴ/ETM
시대를	시대/NNG+를/JKO
덴마크	덴마크/NNP
과학자	과학자/NNG
페르	페르/NNP
바크의	바크/NNP+의/JKG
‘모래탑	‘/SS+모래/NNG+탑/NNG
이론’에	이론/NNG+’/SS+에/JKB
빗대	빗대/VV+어/EC
표현한다.	표현/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.49.3.3
