# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.94
metadata : {}


# id : NWRW1800000028.94.1.1
“퇴임뒤 연관직업 바람직하지 않아” /전 EU집행위원장, 중국 강단행

“퇴임뒤	“/SS+퇴임/NNG+뒤/NNG
연관직업	연관/NNG+직업/NNG
바람직하지	바람직하/VA+지/EC
않아”	않/VX+아/EF+”/SS
/전	//SP+전/MMD
EU집행위원장,	EU/SL+집행/NNG+위원장/NNG+,/SP
중국	중국/NNP
강단행	강단행/NNG


# id : NWRW1800000028.94.2.1
이탈리아 총리와 유럽연합(EU) 집행위원장을 지낸 유럽 정계의 거물 로마노 프로디(70)가 중국 상하이의 경영대학원 교수로 변신했다.

이탈리아	이탈리아/NNP
총리와	총리/NNG+와/JC
유럽연합(EU)	유럽연합/NNP+(/SS+EU/SL+)/SS
집행위원장을	집행/NNG+위원장/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
유럽	유럽/NNP
정계의	정계/NNG+의/JKG
거물	거물/NNG
로마노	로마노/NNP
프로디(70)가	프로디/NNP+(/SS+70/SN+)/SS+가/JKS
중국	중국/NNP
상하이의	상하이/NNP+의/JKG
경영대학원	경영/NNG+대학원/NNG
교수로	교수/NNG+로/JKB
변신했다.	변신/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.94.3.1
그는 유럽 대기업들의 회장, 고문 자리 제안을 뿌리치고 이달 초부터 상하이의 중국유럽국제공상학원(CEIBS)에서 학생들을 가르치고 있다.

그는	그/NP+는/JX
유럽	유럽/NNP
대기업들의	대/XPN+기업/NNG+들/XSN+의/JKG
회장,	회장/NNG+,/SP
고문	고문/NNG
자리	자리/NNG
제안을	제안/NNG+을/JKO
뿌리치고	뿌리치/VV+고/EC
이달	이달/NNG
초부터	초/NNB+부터/JX
상하이의	상하이/NNP+의/JKG
중국유럽국제공상학원(CEIBS)에서	중국유럽국제공상학원/NNP+(/SS+CEIBS/SL+)/SS+에서/JKB
학생들을	학생/NNG+들/XSN+을/JKO
가르치고	가르치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.94.3.2
