# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.314
metadata : {}


# id : NWRW1800000030.314.1.1
'KBS 수신료 인상' 반대 여론에 무산

'KBS	'/SS+KBS/SL
수신료	수신료/NNG
인상'	인상/NNG+'/SS
반대	반대/NNG
여론에	여론/NNG+에/JKB
무산	무산/NNG


# id : NWRW1800000030.314.2.1
•민주·선진당 반대 표결 밝혀… 한나라 6월국회로 결정 미뤄

•민주·선진당	•/SW+민주/NNP+·/SP+선진당/NNP
반대	반대/NNG
표결	표결/NNG
밝혀…	밝히/VV+어/EF+…/SE
한나라	한나라/NNP
6월국회로	6/SN+월/NNB+국회/NNG+로/JKB
결정	결정/NNG
미뤄	미루/VV+어/EF


# id : NWRW1800000030.314.3.1
한나라당이 추진해 온 KBS 수신료 인상안이 민주당과 자유선진당의 반대로 21일 국회 처리가 무산됐다.

한나라당이	한나라당/NNP+이/JKS
추진해	추진/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
KBS	KBS/SL
수신료	수신료/NNG
인상안이	인상안/NNG+이/JKS
민주당과	민주당/NNP+과/JC
자유선진당의	자유선진당/NNP+의/JKG
반대로	반대/NNG+로/JKB
21일	21/SN+일/NNB
국회	국회/NNG
처리가	처리/NNG+가/JKS
무산됐다.	무산/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.314.4.1
한나라당은 이날 국회 문화체육관광방송통신위 법안심사소위와 전체회의를 잇달아 열어 수신료 인상안을 처리할 방침이었다.

한나라당은	한나라당/NNP+은/JX
이날	이날/NNG
국회	국회/NNG
문화체육관광방송통신위	문화/NNG+체육/NNG+관광/NNG+방송/NNG+통신위/NNG
법안심사소위와	법안/NNG+심사/NNG+소위/NNG+와/JKB
전체회의를	전체/NNG+회의/NNG+를/JKO
잇달아	잇달/VV+아/EC
열어	열/VV+어/EC
수신료	수신료/NNG
인상안을	인상안/NNG+을/JKO
처리할	처리/NNG+하/XSV+ㄹ/ETM
방침이었다.	방침/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.314.4.2
소위는 한나라당 4명, 민주당 3명, 자유선진당 1명으로 구성돼 있다.

소위는	소위/NNG+는/JX
한나라당	한나라당/NNP
4명,	4/SN+명/NNB+,/SP
민주당	민주당/NNP
3명,	3/SN+명/NNB+,/SP
자유선진당	자유선진당/NNP
1명으로	1/SN+명/NNB+으로/JKB
구성돼	구성/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.314.4.3
민주당 의원들이 계속 소위에 불참해온 상황에서 자유선진당이 들어오면 인상안을 통과시킬 수 있다는 계산이었다.

민주당	민주당/NNP
의원들이	의원/NNG+들/XSN+이/JKS
계속	계속/MAG
소위에	소위/NNG+에/JKB
불참해온	불참/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
자유선진당이	자유선진당/NNP+이/JKS
들어오면	들어오/VV+면/EC
인상안을	인상안/NNG+을/JKO
통과시킬	통과/NNG+시키/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
계산이었다.	계산/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.314.4.4
캐스팅보트를 쥔 선진당 김창수 의원이 전날 "인상에 반대하지만 소위에는 참여하겠다"고 했기 때문에 한나라당은 처리를 낙관했다.

캐스팅보트를	캐스팅/NNG+보트/NNG+를/JKO
쥔	쥐/VV+ㄴ/ETM
선진당	선진당/NNP
김창수	김창수/NNP
의원이	의원/NNG+이/JKS
전날	전날/NNG
"인상에	"/SS+인상/NNG+에/JKB
반대하지만	반대/NNG+하/XSV+지만/EC
소위에는	소위/NNG+에/JKB+는/JX
