# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.34
metadata : {}


# id : NWRW1800000041.34.1.1
“2020년 친환경車 세계 2위 달성”… 현대·기아車, 차종 22개로 확대

“2020년	“/SS+2020/SN+년/NNB
친환경車	친/XPN+환경/NNG+車/SH
세계	세계/NNG
2위	2/SN+위/NNB
달성”…	달성/NNG+”/SS+…/SE
현대·기아車,	현대/NNP+·/SP+기아/NNP+車/SH+,/SP
차종	차종/NNG
22개로	22/SN+개/NNB+로/JKB
확대	확대/NNG


# id : NWRW1800000041.34.2.1
소형부터 SUV까지 풀 라인업 구축

소형부터	소형/NNG+부터/JX
SUV까지	SUV/SL+까지/JX
풀	풀/NNG
라인업	라인업/NNG
구축	구축/NNG


# id : NWRW1800000041.34.3.1
현대·기아자동차가 최근 연료소비효율(연비) 개선안을 내놓은 데 이어 2020년까지 글로벌 친환경차 시장의 2위로 도약하겠다는 청사진을 공개했다.

현대·기아자동차가	현대/NNP+·/SP+기아자동차/NNP+가/JKS
최근	최근/MAG
연료소비효율(연비)	연료/NNG+소비/NNG+효율/NNG+(/SS+연비/NNG+)/SS
개선안을	개선안/NNG+을/JKO
내놓은	내놓/VV+은/ETM
데	데/NNB
이어	잇/VV+어/EC
2020년까지	2020/SN+년/NNB+까지/JX
글로벌	글로벌/NNG
친환경차	친/XPN+환경/NNG+차/NNG
시장의	시장/NNG+의/JKG
2위로	2/SN+위/NNB+로/JKB
도약하겠다는	도약/NNG+하/XSV+겠/EP+다는/ETM
청사진을	청사진/NNG+을/JKO
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.34.3.2
한국전력공사 땅의 고가 매입 논란과 실적 부진 등으로 주가가 하락하자 향후 비전을 제시해 주주들을 설득하겠다는 것이다.

한국전력공사	한국전력공사/NNP
땅의	땅/NNG+의/JKG
고가	고가/NNG
매입	매입/NNG
논란과	논란/NNG+과/JC
실적	실적/NNG
부진	부진/NNG
등으로	등/NNB+으로/JKB
주가가	주가/NNG+가/JKS
하락하자	하락/NNG+하/XSV+자/EC
향후	향후/NNG
비전을	비전/NNG+을/JKO
제시해	제시/NNG+하/XSV+아/EC
주주들을	주주/NNG+들/XSN+을/JKO
설득하겠다는	설득/NNG+하/XSV+겠/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.34.4.1
현대·기아차는 2020년까지 친환경차를 22개 차종으로 확대하고 소형부터 스포츠유틸리티차량(SUV)에 이르는 친환경차의 풀 라인업을 구축하겠다고 12일 밝혔다.

현대·기아차는	현대/NNP+·/SP+기아차/NNP+는/JX
2020년까지	2020/SN+년/NNB+까지/JX
친환경차를	친/XPN+환경/NNG+차/NNG+를/JKO
22개	22/SN+개/NNB
차종으로	차종/NNG+으로/JKB
확대하고	확대/NNG+하/XSV+고/EC
소형부터	소형/NNG+부터/JX
스포츠유틸리티차량(SUV)에	스포츠/NNG+유틸리티/NNG+차량/NNG+(/SS+SUV/SL+)/SS+에/JKB
이르는	이르/VV+는/ETM
친환경차의	친/XPN+환경/NNG+차/NNG+의/JKG
풀	풀/NNG
라인업을	라인업/NNG+을/JKO
구축하겠다고	구축/NNG+하/XSV+겠/EP+다고/EC
12일	12/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.34.5.1
이 회사는 현재 하이브리드 4개 차종, 전기차 2개 차종, 수소연료전지차 1개 차종 등 모두 7종의 친환경차를 판매 중이다.

이	이/MMD
회사는	회사/NNG+는/JX
현재	현재/MAG
하이브리드	하이브리드/NNG
4개	4/SN+개/NNB
차종,	차종/NNG+,/SP
전기차	전기/NNG+차/NNG
2개	2/SN+개/NNB
수소연료전지차	수소/NNG+연료/NNG+전지/NNG+차/NNG
1개	1/SN+개/NNB
차종	차종/NNG
등	등/NNB
모두	모두/MAG
7종의	7/SN+종/NNG+의/JKG
친환경차를	친/XPN+환경/NNG+차/NNG+를/JKO
판매	판매/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.34.6.1
올해 12월에는 연비가 향상된 신형 쏘나타의 하이브리드 모델을 내놓고 내년 상반기(1∼6월)에는 처음으로 플러그인 하이브리드 모델도 내놓을 계획이다.

올해	올해/NNG
12월에는	12/SN+월/NNB+에/JKB+는/JX
연비가	연비/NNG+가/JKS
향상된	향상/NNG+되/XSV+ㄴ/ETM
신형	신형/NNG
쏘나타의	쏘나타/NNP+의/JKG
하이브리드	하이브리드/NNG
모델을	모델/NNG+을/JKO
내놓고	내놓/VV+고/EC
내년	내년/NNG
상반기(1∼6월)에는	상반기/NNG+(/SS+1/SN+∼/SO+6/SN+월/NNB+)/SS+에/JKB+는/JX
처음으로	처음/NNG+으로/JKB
플러그인	플러그인/NNG
모델도	모델/NNG+도/JX
내놓을	내놓/VV+을/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.34.6.2
플러그인 하이브리드 차량은 기존 하이브리드 차량과 달리 외부 전원을 통해 배터리를 충전한다.

플러그인	플러그인/NNG
하이브리드	하이브리드/NNG
차량은	차량/NNG+은/JX
기존	기존/NNG
차량과	차량/NNG+과/JKB
달리	달리/MAG
외부	외부/NNG
전원을	전원/NNG+을/JKO
통해	통하/VV+아/EC
배터리를	배터리/NNG+를/JKO
충전한다.	충전/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.34.7.1
현대·기아차 측은 “플러그인 하이브리드는 유럽, 중국 정부가 보조금을 지급하고 평균 연비를 계산할 때 인센티브도 제공해 시장이 급성장할 것”이라고 전망했다.

현대·기아차	현대/NNP+·/SP+기아차/NNP
측은	측/NNB+은/JX
“플러그인	“/SS+플러그인/NNG
하이브리드는	하이브리드/NNG+는/JX
유럽,	유럽/NNP+,/SP
중국	중국/NNP
정부가	정부/NNG+가/JKS
보조금을	보조금/NNG+을/JKO
지급하고	지급/NNG+하/XSV+고/EC
평균	평균/NNG
연비를	연비/NNG+를/JKO
계산할	계산/NNG+하/XSV+ㄹ/ETM
때	때/NNG
인센티브도	인센티브/NNG+도/JX
제공해	제공/NNG+하/XSV+아/EC
시장이	시장/NNG+이/JKS
급성장할	급성장/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.34.8.1
이 회사는 설계 단계부터 하이브리드 시스템에 최적화된 하이브리드 전용차도 내놓을 계획이다.

이	이/MMD
회사는	회사/NNG+는/JX
설계	설계/NNG
단계부터	단계/NNG+부터/JX
하이브리드	하이브리드/NNG
시스템에	시스템/NNG+에/JKB
최적화된	최적/NNG+화/XSN+되/XSV+ㄴ/ETM
전용차도	전용차/NNG+도/JX
내놓을	내놓/VV+을/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.34.9.1
하이브리드 전용차는 현재 전 세계 글로벌 업체 중에 도요타와 혼다만 보유하고 있다.

하이브리드	하이브리드/NNG
전용차는	전용차/NNG+는/JX
현재	현재/MAG
전	전/MMN
세계	세계/NNG
글로벌	글로벌/NNG
업체	업체/NNG
중에	중/NNB+에/JKB
도요타와	도요타/NNP+와/JC
혼다만	혼다/NNP+만/JX
보유하고	보유/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.34.9.2
현대·기아차는 다양한 종류의 친환경차를 개발해 2020년까지 하이브리드 12개 차종, 플러그인 하이브리드 6개 차종, 전기차 2개 차종, 수소연료전지차 2개 차종 등 모두 22개 차종을 내놓겠다는 것이다.

현대·기아차는	현대/NNP+·/SP+기아차/NNP+는/JX
다양한	다양/NNG+하/XSA+ㄴ/ETM
종류의	종류/NNG+의/JKG
친환경차를	친/XPN+환경/NNG+차/NNG+를/JKO
개발해	개발/NNG+하/XSV+아/EC
2020년까지	2020/SN+년/NNB+까지/JX
하이브리드	하이브리드/NNG
12개	12/SN+개/NNB
차종,	차종/NNG+,/SP
플러그인	플러그인/NNG
6개	6/SN+개/NNB
전기차	전기/NNG+차/NNG
2개	2/SN+개/NNB
수소연료전지차	수소/NNG+연료/NNG+전지/NNG+차/NNG
차종	차종/NNG
등	등/NNB
모두	모두/MAG
22개	22/SN+개/NNB
차종을	차종/NNG+을/JKO
내놓겠다는	내놓/VV+겠/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.34.10.1
현대·기아차 측은 “궁극의 친환경차로 꼽히는 수소연료전지차 분야에서 현대·기아차는 국내 기업들과 주요 부품의 95% 이상을 국산화에 성공해 글로벌 업체 중 가장 앞서 있다는 평가를 받고 있다”고 밝혔다.

현대·기아차	현대/NNP+·/SP+기아차/NNP
측은	측/NNB+은/JX
“궁극의	“/SS+궁극/NNG+의/JKG
친환경차로	친/XPN+환경/NNG+차/NNG+로/JKB
꼽히는	꼽히/VV+는/ETM
수소연료전지차	수소/NNG+연료/NNG+전지/NNG+차/NNG
분야에서	분야/NNG+에서/JKB
현대·기아차는	현대/NNP+·/SP+기아차/NNP+는/JX
국내	국내/NNG
기업들과	기업/NNG+들/XSN+과/JKB
주요	주요/NNG
부품의	부품/NNG+의/JKG
95%	95/SN+%/SW
이상을	이상/NNG+을/JKO
국산화에	국산/NNG+화/XSN+에/JKB
성공해	성공/NNG+하/XSV+아/EC
글로벌	글로벌/NNG
업체	업체/NNG
중	중/NNB
가장	가장/MAG
앞서	앞서/VV+어/EC
있다는	있/VX+다는/ETM
평가를	평가/NNG+를/JKO
받고	받/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


