# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.366
metadata : {}


# id : NWRW1800000036.366.1.1
“해군기지 수녀들 연행, 독재때도 없던 행태”

“해군기지	“/SS+해군/NNG+기지/NNG
수녀들	수녀/NNG+들/XSN
연행,	연행/NNG+,/SP
독재때도	독재/NNG+때/NNG+도/JX
없던	없/VA+던/ETM
행태”	행태/NNG+”/SS


# id : NWRW1800000036.366.2.1
[한겨레] 천주교단체 “경찰 사과하라”

[한겨레]	[/SS+한겨레/NNP+]/SS
천주교단체	천주교/NNG+단체/NNG
“경찰	“/SS+경찰/NNG
사과하라”	사과/NNG+하/XSV+라/EF+”/SS


# id : NWRW1800000036.366.3.1
31일 서울서 시국기도회 예정

31일	31/SN+일/NNB
서울서	서울/NNP+서/JKB
시국기도회	시국/NNG+기도회/NNG
예정	예정/NNG


# id : NWRW1800000036.366.4.1
천주교 수녀들의 대표 단체와 성직자들의 단체가 제주 서귀포시 강정마을 제주해군기지 공사현장 정문 앞에서 기도중이던 수녀들을 경찰이 무더기 연행한 데 대해 ‘군사독재정권 시절에도 없었던 행태’라며 강력히 반발하고 나섰다.

천주교	천주교/NNG
수녀들의	수녀/NNG+들/XSN+의/JKG
대표	대표/NNG
단체와	단체/NNG+와/JC
성직자들의	성직자/NNG+들/XSN+의/JKG
단체가	단체/NNG+가/JKS
제주	제주/NNP
서귀포시	서귀포시/NNP
강정마을	강정마을/NNP
제주해군기지	제주해군기지/NNP
공사현장	공사/NNG+현장/NNG
정문	정문/NNG
앞에서	앞/NNG+에서/JKB
기도중이던	기도/NNG+중/NNB+이/VCP+던/ETM
수녀들을	수녀/NNG+들/XSN+을/JKO
경찰이	경찰/NNG+이/JKS
무더기	무더기/NNG
연행한	연행/NNG+하/XSV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
‘군사독재정권	‘/SS+군사/NNG+독재/NNG+정권/NNG
시절에도	시절/NNG+에/JKB+도/JX
없었던	없/VA+었/EP+던/ETM
행태’라며	행태/NNG+’/SS+이/VCP+라며/EC
강력히	강력히/MAG
반발하고	반발/NNG+하/XSV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.366.5.1
한국 천주교 여자수도회 장상연합회(회장 윤정옥 수녀)와 ‘제주 평화의 섬 실현을 위한 천주교연대’는 16일 오후 제주도의회 도민의방에서 기자회견을 열어 수녀와 수사 등 수도자 19명의 강제연행에 대해 경찰을 강력하게 비난했다.

한국	한국/NNP
천주교	천주교/NNG
여자수도회	여자/NNG+수도회/NNG
장상연합회(회장	장상연합회/NNP+(/SS+회장/NNG
윤정옥	윤정옥/NNP
수녀)와	수녀/NNG+)/SS+와/JC
‘제주	‘/SS+제주/NNP
평화의	평화/NNG+의/JKG
섬	섬/NNG
실현을	실현/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
천주교연대’는	천주교/NNG+연대/NNG+’/SS+는/JX
16일	16/SN+일/NNB
오후	오후/NNG
제주도의회	제주도의회/NNP
도민의방에서	도민/NNG+의/JKG+방/NNG+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
수녀와	수녀/NNG+와/JC
수사	수사/NNG
등	등/NNB
수도자	수도자/NNG
19명의	19/SN+명/NNB+의/JKG
강제연행에	강제/NNG+연행/NNG+에/JKB
대해	대하/VV+아/EC
경찰을	경찰/NNG+을/JKO
강력하게	강력/NNG+하/XSA+게/EC
비난했다.	비난/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.366.5.2
