# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.250
metadata : {}


# id : NWRW1800000045.250.1.1
인비 불끈… “끝까지 간다”

인비	인비/NNP
불끈…	불끈/MAG+…/SE
“끝까지	“/SS+끝/NNG+까지/JX
간다”	가/VV+ㄴ다/EF+”/SS


# id : NWRW1800000045.250.2.1
오초아 인비테이셔널 18언더 우승 4R 시즌 개인 최고 8언더 몰아쳐… 2015년의 선수-상금-최저타수 등 리디아 고와 LPGA 타이틀 경쟁… 19일 최종전 투어챔피언십서 결판

오초아	오초아/NNP
인비테이셔널	인비테이셔널/NNG
18언더	18/SN+언더/NNG
우승	우승/NNG
4R	4/SN+R/SL
시즌	시즌/NNG
개인	개인/NNG
최고	최고/NNG
8언더	8/SN+언더/NNG
몰아쳐…	몰아치/VV+어/EC+…/SE
2015년의	2015/SN+년/NNB+의/JKG
선수-상금-최저타수	선수/NNG+-/SO+상금/NNG+-/SO+최저/NNG+타수/NNG
등	등/NNB
리디아	리디아/NNP
고와	고/NNP+와/JKB
LPGA	LPGA/SL
타이틀	타이틀/NNG
경쟁…	경쟁/NNG+…/SE
19일	19/SN+일/NNB
최종전	최종전/NNG
투어챔피언십서	투어챔피언십/NNG+서/JKB
결판	결판/NNG


# id : NWRW1800000045.250.3.1
박인비(27·KB금융그룹)는 지난해 미국여자프로골프(LPGA)투어에서 상금 랭킹과 올해의 선수 부문에서 모두 2위에 머물렀다.

박인비(27·KB금융그룹)는	박인비/NNP+(/SS+27/SN+·/SP+KB금융그룹/NNP+)/SS+는/JX
지난해	지난해/NNG
미국여자프로골프(LPGA)투어에서	미국/NNP+여자/NNG+프로/NNG+골프/NNG+(/SS+LPGA/SL+)/SS+투어/NNG+에서/JKB
상금	상금/NNG
랭킹과	랭킹/NNG+과/JC
올해의	올해/NNG+의/JKG
선수	선수/NNG
부문에서	부문/NNG+에서/JKB
모두	모두/MAG
2위에	2/SN+위/NNB+에/JKB
머물렀다.	머무르/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.250.3.2
당시 두 부문의 1위는 스테이시 루이스(미국)였다.

당시	당시/NNG
두	두/MMN
부문의	부문/NNG+의/JKG
1위는	1/SN+위/NNB+는/JX
스테이시	스테이시/NNP
루이스(미국)였다.	루이스/NNP+(/SS+미국/NNP+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000045.250.3.3
올해의 선수상에서 점수 차는 불과 5점이었다.

올해의	올해/NNG+의/JKG
선수상에서	선수상/NNG+에서/JKB
점수	점수/NNG
차는	차/NNG+는/JX
불과	불과/MAG
5점이었다.	5/SN+점/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000045.250.3.4
