# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.226
metadata : {}


# id : NWRW1800000048.226.1.1
노사정위, 비정규직 줄다리기 돌입

노사정위,	노사정위/NNG+,/SP
비정규직	비/XPN+정규직/NNG
줄다리기	줄다리기/NNG
돌입	돌입/NNG


# id : NWRW1800000048.226.2.1
정부 대책 발표 뒤 첫 모임

정부	정부/NNG
대책	대책/NNG
발표	발표/NNG
뒤	뒤/NNG
첫	첫/MMN
모임	모임/NNG


# id : NWRW1800000048.226.3.1
정부안과 경총·노총 요구안 공유

정부안과	정부안/NNG+과/JC
경총·노총	경총/NNP+·/SP+노총/NNP
요구안	요구안/NNG
공유	공유/NNG


# id : NWRW1800000048.226.4.1
전문가 13명에게 검토 요청키로

전문가	전문가/NNG
13명에게	13/SN+명/NNB+에게/JKB
검토	검토/NNG
요청키로	요청/NNG+하/XSV+기/ETN+로/JKB


# id : NWRW1800000048.226.5.1
정부의 비정규직 종합대책 발표 뒤 처음으로 노사정이 각자 자기 안을 들고 한자리에 모였다.

정부의	정부/NNG+의/JKG
비정규직	비/XPN+정규직/NNG
종합대책	종합/NNG+대책/NNG
발표	발표/NNG
뒤	뒤/NNG
처음으로	처음/NNG+으로/JKB
노사정이	노사정/NNG+이/JKS
각자	각자/MAG
자기	자기/NNG
안을	안/NNG+을/JKO
들고	들/VV+고/EC
한자리에	한자리/NNG+에/JKB
모였다.	모이/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.226.5.2
예상대로 비정규직 대책, 해고 요건, 통상임금·근로시간·정년연장 등 현안을 둘러싼 노사정의 견해차가 커 합의점을 찾기 어려워 보인다.

예상대로	예상/NNG+대로/JX
비정규직	비/XPN+정규직/NNG
대책,	대책/NNG+,/SP
해고	해고/NNG
요건,	요건/NNG+,/SP
통상임금·근로시간·정년연장	통상/NNG+임금/NNG+·/SP+근로/NNG+시간/NNG+·/SP+정년/NNG+연장/NNG
등	등/NNB
현안을	현안/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
노사정의	노사정/NNG+의/JKG
견해차가	견해차/NNG+가/JKS
커	크/VA+어/EC
합의점을	합의점/NNG+을/JKO
찾기	찾/VV+기/ETN
어려워	어렵/VA+어/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.226.6.1
대통령 소속 경제사회발전노사정위원회(노사정위)는 9일 서울 종로구 정부서울청사에서 7차 ‘노동시장 구조개선 특별위원회’(특위)를 열어 비정규직 대책이 포함된 노사정의 제안을 공유했다.

대통령	대통령/NNG
소속	소속/NNG
경제사회발전노사정위원회(노사정위)는	경제/NNG+사회/NNG+발전/NNG+노사정/NNG+위원회/NNG+(/SS+노사정위/NNG+)/SS+는/JX
9일	9/SN+일/NNB
서울	서울/NNP
종로구	종로구/NNP
정부서울청사에서	정부서울청사/NNP+에서/JKB
7차	7/SN+차/NNB
‘노동시장	‘/SS+노동/NNG+시장/NNG
구조개선	구조/NNG+개선/NNG
특별위원회’(특위)를	특별/NNG+위원회/NNG+’/SS+(/SS+특위/NNG+)/SS+를/JKO
열어	열/VV+어/EC
비정규직	비/XPN+정규직/NNG
대책이	대책/NNG+이/JKS
포함된	포함/NNG+되/XSV+ㄴ/ETM
노사정의	노사정/NNG+의/JKG
제안을	제안/NNG+을/JKO
공유했다.	공유/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.226.6.2
지난해 12월29일 정부와 한국경영자총협회(경총)가 대책을 노사정위에 제출한 데 이어 한국노총도 이날 노동계 요구안을 제출했다.

지난해	지난해/NNG
12월29일	12/SN+월/NNB+29/SN+일/NNB
정부와	정부/NNG+와/JC
한국경영자총협회(경총)가	한국경영자총협회/NNP+(/SS+경총/NNP+)/SS+가/JKS
대책을	대책/NNG+을/JKO
노사정위에	노사정위/NNG+에/JKB
제출한	제출/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
한국노총도	한국노총/NNP+도/JX
이날	이날/NNG
노동계	노동/NNG+계/XSN
요구안을	요구안/NNG+을/JKO
제출했다.	제출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.226.6.3
특위는 노사정 합의를 도울 ‘전문가그룹’을 현재 8명에서 13명으로 늘려 이날 공유된 노사정 안을 검토해 보고하기로 결정했다.

특위는	특위/NNG+는/JX
노사정	노사정/NNG
합의를	합의/NNG+를/JKO
도울	돕/VV+ㄹ/ETM
‘전문가그룹’을	‘/SS+전문가/NNG+그룹/NNG+’/SS+을/JKO
현재	현재/MAG
8명에서	8/SN+명/NNB+에서/JKB
13명으로	13/SN+명/NNB+으로/JKB
늘려	늘리/VV+어/EC
이날	이날/NNG
공유된	공유/NNG+되/XSV+ㄴ/ETM
안을	안/NNG+을/JKO
검토해	검토/NNG+하/XSV+아/EC
보고하기로	보고/NNG+하/XSV+기/ETN+로/JKB
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.226.7.1
공개된 노사정의 안을 보면 노사정의 태도가 팽팽히 맞서는 모양새다.

공개된	공개/NNG+되/XSV+ㄴ/ETM
노사정의	노사정/NNG+의/JKG
안을	안/NNG+을/JKO
보면	보/VV+면/EC
태도가	태도/NNG+가/JKS
팽팽히	팽팽히/MAG
맞서는	맞서/VV+는/ETM
모양새다.	모양새/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.226.7.2
정부의 비정규직 고용 제한·해고 요건 완화 방안에 노동계가 강력 반발하며 규제 강화를 요구하는 반면 경총은 더 완화해야 한다고 주장한다.

정부의	정부/NNG+의/JKG
비정규직	비/XPN+정규직/NNG
고용	고용/NNG
