# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.349
metadata : {}


# id : NWRW1800000028.349.1.1
달러당 1118원…절상률, 엔 웃돌아 /자동차·가전 ‘울상’ 항공·정유 ‘담담’

달러당	달러/NNG+당/XSN
1118원…절상률,	1118/SN+원/NNB+…/SE+절상/NNG+률/XSN+,/SP
엔	엔/NNG
웃돌아	웃돌/VV+아/EC
/자동차·가전	//SP+자동차/NNG+·/SP+가전/NNG
‘울상’	‘/SS+울상/NNG+’/SS
항공·정유	항공/NNG+·/SP+정유/NNG
‘담담’	‘/SS+담담/XR+’/SS


# id : NWRW1800000028.349.2.1
달러 약세 기조가 뚜렷해지면서 원-달러 환율 하락세에도 갈수록 탄력이 붙고 있다.

달러	달러/NNG
약세	약세/NNG
기조가	기조/NNG+가/JKS
뚜렷해지면서	뚜렷하/VA+아/EC+지/VX+면서/EC
원-달러	원/NNG+-/SO+달러/NNG
환율	환율/NNG
하락세에도	하락세/NNG+에/JKB+도/JX
갈수록	갈수록/MAG
탄력이	탄력/NNG+이/JKS
붙고	붙/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.349.2.2
6일 서울 외환시장에서 원-달러 환율은 전날보다 12.70원이나 급락한 1118.00원으로 거래를 마쳤다.

6일	6/SN+일/NNB
서울	서울/NNP
외환시장에서	외환/NNG+시장/NNG+에서/JKB
원-달러	원/NNG+-/SO+달러/NNG
환율은	환율/NNG+은/JX
전날보다	전날/NNG+보다/JKB
12.70원이나	12/SN+./SP+70/SN+원/NNB+이나/JX
급락한	급락/NNG+하/XSV+ㄴ/ETM
1118.00원으로	1118/SN+./SP+00/SN+원/NNB+으로/JKB
거래를	거래/NNG+를/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.349.2.3
최근 한달 새 원화 절상률은 4.12%로, 엔화(0.97%), 위안화(1.76%), 대만 달러(2.1%)를 크게 웃돌고 있다.

최근	최근/MAG
한달	한/MMN+달/NNB
새	새/MMA
원화	원화/NNG
절상률은	절상/NNG+률/XSN+은/JX
4.12%로,	4/SN+./SP+12/SN+%/SW+로/JKB+,/SP
엔화(0.97%),	엔화/NNG+(/SS+0/SN+./SP+97/SN+%/SW+)/SS+,/SP
위안화(1.76%),	위안화/NNG+(/SS+1/SN+./SP+76/SN+%/SW+)/SS+,/SP
대만	대만/NNP
달러(2.1%)를	달러/NNB+(/SS+2/SN+./SP+1/SN+%/SW+)/SS+를/JKO
크게	크/VA+게/EC
웃돌고	웃돌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.349.3.1
원-달러 환율이 가파르게 떨어지면서 국내 기업들도 바짝 긴장하는 분위기다.

원-달러	원/NNG+-/SO+달러/NNG
환율이	환율/NNG+이/JKS
가파르게	가파르/VA+게/EC
떨어지면서	떨어지/VV+면서/EC
국내	국내/NNG
기업들도	기업/NNG+들/XSN+도/JX
바짝	바짝/MAG
긴장하는	긴장/NNG+하/XSV+는/ETM
분위기다.	분위기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.349.3.2
올해 하반기 평균 환율을 1100원으로 예상했던 현대기아자동차그룹의 경우, 수출이 전체 매출에서 차지하는 비중이 75~80%에 이르고 있어 환율이 10원 떨어질 때마다 대략 2000억원의 매출 감소를 입을 것으로 판단하고 있다.

올해	올해/NNG
하반기	하반기/NNG
평균	평균/NNG
환율을	환율/NNG+을/JKO
1100원으로	1100/SN+원/NNB+으로/JKB
예상했던	예상/NNG+하/XSV+았/EP+던/ETM
현대기아자동차그룹의	현대기아자동차그룹/NNP+의/JKG
경우,	경우/NNG+,/SP
수출이	수출/NNG+이/JKS
전체	전체/NNG
매출에서	매출/NNG+에서/JKB
차지하는	차지/NNG+하/XSV+는/ETM
비중이	비중/NNG+이/JKS
75~80%에	75/SN+~/SO+80/SN+%/SW+에/JKB
이르고	이르/VV+고/EC
있어	있/VX+어/EC
환율이	환율/NNG+이/JKS
10원	10/SN+원/NNB
떨어질	떨어지/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
대략	대략/MAG
2000억원의	2000/SN+억/NR+원/NNB+의/JKG
매출	매출/NNG
감소를	감소/NNG+를/JKO
입을	입/VV+을/ETM
것으로	것/NNB+으로/JKB
판단하고	판단/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.349.3.3
지난 상반기 중 원-달러 환율 상승에 따라 얻은 환차익을 공격적인 마케팅 재원으로 사용했던 효과도 더는 누리기 힘들게 됐다.

지난	지나/VV+ㄴ/ETM
상반기	상반기/NNG
중	중/NNB
원-달러	원/NNG+-/SO+달러/NNG
환율	환율/NNG
상승에	상승/NNG+에/JKB
따라	따르/VV+아/EC
얻은	얻/VV+은/ETM
환차익을	환차익/NNG+을/JKO
공격적인	공격/NNG+적/XSN+이/VCP+ㄴ/ETM
마케팅	마케팅/NNG
재원으로	재원/NNG+으로/JKB
사용했던	사용/NNG+하/XSV+았/EP+던/ETM
효과도	효과/NNG+도/JX
더는	더/MAG+는/JX
누리기	누리/VV+기/ETN
힘들게	힘들/VA+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.349.3.4
가슴을 졸이기는 전자업계도 마찬가지다.

가슴을	가슴/NNG+을/JKO
졸이기는	졸이/VV+기/ETN+는/JX
전자업계도	전자업/NNG+계/XSN+도/JX
마찬가지다.	마찬가지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.349.3.5
원화 강세는 주요 수출시장인 미국, 유럽, 일본 시장에서 우리 제품의 가격 경쟁력 약화로 이어질 수밖에 없다.

원화	원화/NNG
강세는	강세/NNG+는/JX
주요	주요/NNG
