# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.111
metadata : {}


# id : NWRW1800000038.111.1.1
"6·25 국군포로들 구할 시간, 얼마 남지 않았습니다"

"6·25	"/SS+6/SN+·/SP+25/SN
국군포로들	국군/NNG+포로/NNG+들/XSN
구할	구하/VV+ㄹ/ETM
시간,	시간/NNG+,/SP
얼마	얼마/NNG
남지	남/VV+지/EC
않았습니다"	않/VX+았/EP+습니다/EF+"/SS


# id : NWRW1800000038.111.2.1
10년째 美서 국군포로 송환 운동하는 정용봉 회장

10년째	10/SN+년/NNB+째/XSN
美서	美/SH+서/JKB
국군포로	국군/NNG+포로/NNG
송환	송환/NNG
운동하는	운동/NNG+하/XSV+는/ETM
정용봉	정용봉/NNP
회장	회장/NNG


# id : NWRW1800000038.111.3.1
"함께 전장을 누볐던 중대원들이 아직 북한에 살아 있을지도 모르지요.

"함께	"/SS+함께/MAG
전장을	전장/NNG+을/JKO
누볐던	누비/VV+었/EP+던/ETM
중대원들이	중대원/NNG+들/XSN+이/JKS
아직	아직/MAG
북한에	북한/NNP+에/JKB
살아	살/VV+아/EC
있을지도	있/VX+을지/EF+도/JX
모르지요.	모르/VV+지요/EF+./SF


# id : NWRW1800000038.111.3.2
그래서 포기할 수가 없습니다.

그래서	그래서/MAJ
포기할	포기/NNG+하/XSV+ㄹ/ETM
수가	수/NNB+가/JKS
없습니다.	없/VA+습니다/EF+./SF


# id : NWRW1800000038.111.3.3
한국 정부와 유엔이 나서서 국군포로 문제를 해결해야 합니다."

한국	한국/NNP
정부와	정부/NNG+와/JC
유엔이	유엔/NNP+이/JKS
나서서	나서/VV+어서/EC
국군포로	국군/NNG+포로/NNG
문제를	문제/NNG+를/JKO
해결해야	해결/NNG+하/XSV+아야/EC
합니다."	하/VX+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000038.111.4.1
로스앤젤레스(LA)에 거주하고 있는 정용봉(86)씨는 2004년부터 10년째 국군포로 송환(送還) 운동을 벌이고 있다.

로스앤젤레스(LA)에	로스앤젤레스/NNP+(/SS+LA/SL+)/SS+에/JKB
거주하고	거주/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
정용봉(86)씨는	정용봉/NNP+(/SS+86/SN+)/SS+씨/NNB+는/JX
2004년부터	2004/SN+년/NNB+부터/JX
10년째	10/SN+년/NNB+째/XSN
국군포로	국군/NNG+포로/NNG
송환(送還)	송환/NNG+(/SS+送還/SH+)/SS
운동을	운동/NNG+을/JKO
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.111.4.2
그는 'LA 국군포로송환위원회'를 세워 북한에서 돌아오지 못한 국군포로 문제를 미국 정계(政界)에 알려왔다.

그는	그/NP+는/JX
'LA	'/SS+LA/SL
국군포로송환위원회'를	국군/NNG+포로/NNG+송환/NNG+위원회/NNG+'/SS+를/JKO
세워	세우/VV+어/EC
북한에서	북한/NNP+에서/JKB
돌아오지	돌아오/VV+지/EC
못한	못하/VX+ㄴ/ETM
국군포로	국군/NNG+포로/NNG
문제를	문제/NNG+를/JKO
미국	미국/NNP
정계(政界)에	정계/NNG+(/SS+政界/SH+)/SS+에/JKB
알려왔다.	알리/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.111.4.3
올해에도 6·25 정전(停戰) 60주년을 맞아 LA에서 6·25 사진전을 열고, 국군포로 문제에 대한 강연회를 개최했다.

올해에도	올해/NNG+에/JKB+도/JX
6·25	6/SN+·/SP+25/SN
정전(停戰)	정전/NNG+(/SS+停戰/SH+)/SS
60주년을	60/SN+주년/NNB+을/JKO
맞아	맞/VV+아/EC
LA에서	LA/SL+에서/JKB
사진전을	사진전/NNG+을/JKO
열고,	열/VV+고/EC+,/SP
국군포로	국군/NNG+포로/NNG
문제에	문제/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
강연회를	강연회/NNG+를/JKO
개최했다.	개최/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.111.4.4
인권단체 '물망초'와 일부 변호사 등이 주축이 돼 한국에 문을 연 '국군포로신고센터'의 LA 지부장도 맡기로 했다.

인권단체	인권/NNG+단체/NNG
'물망초'와	'/SS+물망초/NNP+'/SS+와/JC
일부	일부/NNG
변호사	변호사/NNG
등이	등/NNB+이/JKS
주축이	주축/NNG+이/JKC
돼	되/VV+어/EC
한국에	한국/NNP+에/JKB
문을	문/NNG+을/JKO
연	열/VV+ㄴ/ETM
'국군포로신고센터'의	'/SS+국군포로신고센터/NNP+'/SS+의/JKG
LA	LA/SL
지부장도	지부장/NNG+도/JX
맡기로	맡/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.111.5.1
1958년 미국에 유학해 경제학 박사학위를 받고 사업을 했던 정 회장이 처음 국군포로 문제를 알게 된 것은 1994년.

1958년	1958/SN+년/NNB
미국에	미국/NNP+에/JKB
유학해	유학/NNG+하/XSV+아/EC
경제학	경제학/NNG
박사학위를	박사/NNG+학위/NNG+를/JKO
받고	받/VV+고/EC
사업을	사업/NNG+을/JKO
했던	하/VV+았/EP+던/ETM
정	정/NNP
회장이	회장/NNG+이/JKS
처음	처음/NNG
국군포로	국군/NNG+포로/NNG
문제를	문제/NNG+를/JKO
