# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.140
metadata : {}


# id : NWRW1800000029.140.1.1
노키아, 애플과 특허 분쟁서 승리

노키아,	노키아/NNP+,/SP
애플과	애플/NNP+과/JKB
특허	특허/NNG
분쟁서	분쟁/NNG+서/JKB
승리	승리/NNG


# id : NWRW1800000029.140.2.1
‘애플 로열티지불’ 訴취하 합의… 삼성전자 등에 유사소송 할듯

‘애플	‘/SS+애플/NNP
로열티지불’	로열티/NNG+지불/NNG+’/SS
訴취하	訴/SH+취하/NNG
합의…	합의/NNG+…/SE
삼성전자	삼성전자/NNP
등에	등/NNB+에/JKB
유사소송	유사/NNG+소송/NNG
할듯	하/VV+ㄹ/ETM+듯/NNB


# id : NWRW1800000029.140.3.1
스마트폰 관련 무선기술의 특허권을 둘러싼 노키아와 애플 간 오랜 법정 분쟁이 노키아의 승리로 끝났다.

스마트폰	스마트폰/NNG
관련	관련/NNG
무선기술의	무선/NNG+기술/NNG+의/JKG
특허권을	특허/NNG+권/XSN+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
노키아와	노키아/NNP+와/JC
애플	애플/NNP
간	간/NNB
오랜	오랜/MMA
법정	법정/NNG
분쟁이	분쟁/NNG+이/JKS
노키아의	노키아/NNP+의/JKG
승리로	승리/NNG+로/JKB
끝났다.	끝나/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.140.4.1
월스트리트저널 등 미국 언론은 14일 세계 최대 휴대전화 제조업체인 노키아와 애플 간 특허분쟁 46건이 양사 간 합의로 취하됐다고 보도했다.

월스트리트저널	월스트리트저널/NNP
등	등/NNB
미국	미국/NNP
언론은	언론/NNG+은/JX
14일	14/SN+일/NNB
세계	세계/NNG
최대	최대/NNG
휴대전화	휴대/NNG+전화/NNG
제조업체인	제조업체/NNG+이/VCP+ㄴ/ETM
노키아와	노키아/NNP+와/JC
애플	애플/NNP
간	간/NNB
특허분쟁	특허/NNG+분쟁/NNG
46건이	46/SN+건/NNB+이/JKS
양사	양/MMN+사/NNG
합의로	합의/NNG+로/JKB
취하됐다고	취하/NNG+되/XSV+었/EP+다고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.140.4.2
애플은 노키아 측에 그간의 특허 사용료를 일시불로 지불하고 합의된 기간에 로열티를 계속 내기로 했다고 노키아 측은 밝혔다.

애플은	애플/NNP+은/JX
노키아	노키아/NNP
측에	측/NNB+에/JKB
그간의	그/NP+간/XSN+의/JKG
특허	특허/NNG
사용료를	사용료/NNG+를/JKO
일시불로	일시불/NNG+로/JKB
지불하고	지불/NNG+하/XSV+고/EC
합의된	합의/NNG+되/XSV+ㄴ/ETM
기간에	기간/NNG+에/JKB
로열티를	로열티/NNG+를/JKO
계속	계속/MAG
내기로	내/VV+기/ETN+로/JKB
했다고	하/VV+았/EP+다고/EC
측은	측/NNB+은/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.140.4.3
세부 합의 사항은 공개되지 않았다.

세부	세부/NNG
합의	합의/NNG
사항은	사항/NNG+은/JX
공개되지	공개/NNG+되/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.140.5.1
노키아는 성명에서 “미 국제무역위원회(ITC)에 낸 소송건을 포함해 양사 간 모든 특허권 소송을 취하한다”며 “이번 합의로 노키아의 2분기 실적이 호전될 것”이라고 밝혔다.

노키아는	노키아/NNP+는/JX
성명에서	성명/NNG+에서/JKB
“미	“/SS+미/NNP
국제무역위원회(ITC)에	국제무역위원회/NNP+(/SS+ITC/SL+)/SS+에/JKB
낸	내/VV+ㄴ/ETM
소송건을	소송건/NNG+을/JKO
포함해	포함/NNG+하/XSV+아/EC
양사	양/MMN+사/NNG
간	간/NNB
모든	모든/MMN
특허권	특허/NNG+권/XSN
소송을	소송/NNG+을/JKO
취하한다”며	취하/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“이번	“/SS+이번/NNG
합의로	합의/NNG+로/JKB
노키아의	노키아/NNP+의/JKG
2분기	2/SN+분기/NNG
실적이	실적/NNG+이/JKS
호전될	호전/NNG+되/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.140.5.2
노키아는 2009년 10월 애플이 자사의 무선기술 관련 특허를 침해했다며 2007년부터 판매된 아이폰에 대해 특허 사용료를 요구했다.

노키아는	노키아/NNP+는/JX
2009년	2009/SN+년/NNB
10월	10/SN+월/NNB
애플이	애플/NNP+이/JKS
자사의	자사/NNG+의/JKG
무선기술	무선/NNG+기술/NNG
관련	관련/NNG
특허를	특허/NNG+를/JKO
침해했다며	침해/NNG+하/XSV+았/EP+다며/EC
2007년부터	2007/SN+년/NNB+부터/JX
판매된	판매/NNG+되/XSV+ㄴ/ETM
아이폰에	아이폰/NNP+에/JKB
대해	대하/VV+아/EC
특허	특허/NNG
사용료를	사용료/NNG+를/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.140.5.3
노키아는 지난 20년간 430억 유로를 연구개발에 투자해 왔으며 총 1만 개의 특허권을 보유하고 있다.

노키아는	노키아/NNP+는/JX
지난	지나/VV+ㄴ/ETM
20년간	20/SN+년/NNB+간/XSN
430억	430/SN+억/NR
유로를	유로/NNB+를/JKO
연구개발에	연구/NNG+개발/NNG+에/JKB
투자해	투자/NNG+하/XSV+아/EC
왔으며	오/VX+았/EP+으며/EC
총	총/MMA
1만	1/SN+만/NR
개의	개/NNB+의/JKG
특허권을	특허/NNG+권/XSN+을/JKO
보유하고	보유/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.140.6.1
특허소송 관련 전문가들은 이번 법정 다툼에서 승리한 노키아가 머지않아 삼성전자 등 안드로이드 진영을 상대로 유사한 소송을 제기할 것으로 예상하고 있다.

특허소송	특허/NNG+소송/NNG
관련	관련/NNG
전문가들은	전문가/NNG+들/XSN+은/JX
이번	이번/NNG
법정	법정/NNG
다툼에서	다툼/NNG+에서/JKB
승리한	승리/NNG+하/XSV+ㄴ/ETM
노키아가	노키아/NNP+가/JKS
머지않아	머지않/VA+아/EC
삼성전자	삼성전자/NNP
등	등/NNB
안드로이드	안드로이드/NNG
진영을	진영/NNG+을/JKO
상대로	상대/NNG+로/JKB
유사한	유사/NNG+하/XSA+ㄴ/ETM
소송을	소송/NNG+을/JKO
제기할	제기/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상하고	예상/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.140.7.1
노키아의 소송 가능성에 대해 삼성전자는 “아직 소송이 들어온 게 아니기 때문에 코멘트할 사안은 아니다”라며 말을 아꼈다.

노키아의	노키아/NNP+의/JKG
소송	소송/NNG
가능성에	가능/NNG+성/XSN+에/JKB
대해	대하/VV+아/EC
삼성전자는	삼성전자/NNP+는/JX
“아직	“/SS+아직/MAG
소송이	소송/NNG+이/JKS
들어온	들어오/VV+ㄴ/ETM
게	거/NNB+이/JKC
아니기	아니/VCN+기/ETN
때문에	때문/NNB+에/JKB
코멘트할	코멘트/NNG+하/XSV+ㄹ/ETM
사안은	사안/NNG+은/JX
아니다”라며	아니/VCN+다/EF+”/SS+이/VCP+라며/EC
말을	말/NNG+을/JKO
아꼈다.	아끼/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.140.8.1
국내 특허전문가는 “스마트폰 판매 실적이 저조한 노키아가 한국 기업에도 특허소송을 제기해 실적을 만회할 가능성이 있다”고 내다봤다.

국내	국내/NNG
특허전문가는	특허/NNG+전문가/NNG+는/JX
“스마트폰	“/SS+스마트폰/NNG
판매	판매/NNG
실적이	실적/NNG+이/JKS
저조한	저조/NNG+하/XSA+ㄴ/ETM
노키아가	노키아/NNP+가/JKS
한국	한국/NNP
기업에도	기업/NNG+에/JKB+도/JX
특허소송을	특허/NNG+소송/NNG+을/JKO
제기해	제기/NNG+하/XSV+아/EC
실적을	실적/NNG+을/JKO
만회할	만회/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.140.8.2
그러나 그는 “삼성전자 LG전자 등이 보유하고 있는 휴대전화 및 통신기술 특허가 많고, 특허 포트폴리오를 잘 구축하고 있기 때문에 노키아가 소송한다고 해도 당하고만 있지 않을 것”이라고 전망했다.

그러나	그러나/MAJ
그는	그/NP+는/JX
“삼성전자	“/SS+삼성전자/NNP
LG전자	LG전자/NNP
등이	등/NNB+이/JKS
보유하고	보유/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
휴대전화	휴대/NNG+전화/NNG
및	및/MAG
통신기술	통신/NNG+기술/NNG
특허가	특허/NNG+가/JKS
많고,	많/VA+고/EC+,/SP
특허	특허/NNG
포트폴리오를	포트폴리오/NNG+를/JKO
잘	잘/MAG
구축하고	구축/NNG+하/XSV+고/EC
있기	있/VX+기/ETN
때문에	때문/NNB+에/JKB
노키아가	노키아/NNP+가/JKS
소송한다고	소송/NNG+하/XSV+ㄴ다고/EC
해도	하/VV+아도/EC
당하고만	당하/VV+고/EC+만/JX
있지	있/VX+지/EC
않을	않/VX+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


