# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.138
metadata : {}


# id : NWRW1800000033.138.1.1
[신나는 공부/School Diary]영화·공연·찾아가는 서비스… 지방대, 수험생 마음 잡아라!

[신나는	[/SS+신나/VV+는/ETM
공부/School	공부/NNG+//SP+School/SL
Diary]영화·공연·찾아가는	Diary/SL+]/SS+영화/NNG+·/SP+공연/NNG+·/SP+찾아가/VV+는/ETM
서비스…	서비스/NNG+…/SE
지방대,	지방대/NNG+,/SP
수험생	수험/NNG+생/XSN
마음	마음/NNG
잡아라!	잡/VV+아라/EF+!/SF


# id : NWRW1800000033.138.2.1
요즘 부산시내 고교 3학년들의 ‘등굣길’은 학교가 아닌 시내 영화관이나 대학 캠퍼스를 향한다.

요즘	요즘/NNG
부산시내	부산/NNP+시내/NNG
고교	고교/NNG
3학년들의	3/SN+학년/NNG+들/XSN+의/JKG
‘등굣길’은	‘/SS+등굣길/NNG+’/SS+은/JX
학교가	학교/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
시내	시내/NNG
영화관이나	영화관/NNG+이나/JC
대학	대학/NNG
캠퍼스를	캠퍼스/NNG+를/JKO
향한다.	향하/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.138.2.2
대학수학능력시험이 끝난 뒤 부산지역 대학들이 잇따라 개최하는 입시설명회에 참석하기 위해서다.

대학수학능력시험이	대학/NNG+수학/NNG+능력/NNG+시험/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
부산지역	부산지역/NNP
대학들이	대학/NNG+들/XSN+이/JKS
잇따라	잇따르/VV+아/EC
개최하는	개최/NNG+하/XSV+는/ETM
입시설명회에	입시/NNG+설명회/NNG+에/JKB
참석하기	참석/NNG+하/XSV+기/ETN
위해서다.	위하/VV+아서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000033.138.3.1
12일 부산외국어대가 부산의 한 영화관에서 개최한 입시설명회장을 찾은 부산 내성고 3학년 330명은 이 대학 홍보영상을 본 뒤 영화 ‘용의자X’를 무료로 관람했다.

12일	12/SN+일/NNB
부산외국어대가	부산외국어대/NNP+가/JKS
부산의	부산/NNP+의/JKG
한	한/MMN
영화관에서	영화관/NNG+에서/JKB
개최한	개최/NNG+하/XSV+ㄴ/ETM
입시설명회장을	입시/NNG+설명회장/NNG+을/JKO
찾은	찾/VV+은/ETM
부산	부산/NNP
내성고	내성고/NNP
3학년	3/SN+학년/NNG
330명은	330/SN+명/NNB+은/JX
이	이/MMD
대학	대학/NNG
홍보영상을	홍보/NNG+영상/NNG+을/JKO
본	보/VV+ㄴ/ETM
뒤	뒤/NNG
영화	영화/NNG
‘용의자X’를	‘/SS+용의자X/NNP+’/SS+를/JKO
무료로	무료/NNG+로/JKB
관람했다.	관람/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.138.4.1
며칠 뒤 동명대를 방문한 이들은 대학 측이 마련한 레크리에이션을 함께 즐겼다.

며칠	며칠/NNG
뒤	뒤/NNG
동명대를	동명대/NNP+를/JKO
방문한	방문/NNG+하/XSV+ㄴ/ETM
이들은	이/NNB+들/XSN+은/JX
대학	대학/NNG
측이	측/NNB+이/JKS
마련한	마련/NNG+하/XSV+ㄴ/ETM
레크리에이션을	레크리에이션/NNG+을/JKO
함께	함께/MAG
즐겼다.	즐기/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.138.4.2
설동근 동명대 총장도 이 자리에 참석해 학생들과 함께 노래 ‘강남스타일’에 맞춰 ‘말춤’을 추기도 했다.

설동근	설동근/NNP
동명대	동명대/NNP
총장도	총장/NNG+도/JX
이	이/MMD
자리에	자리/NNG+에/JKB
참석해	참석/NNG+하/XSV+아/EC
학생들과	학생/NNG+들/XSN+과/JKB
함께	함께/MAG
노래	노래/NNG
‘강남스타일’에	‘/SS+강남스타일/NNP+’/SS+에/JKB
맞춰	맞추/VV+어/EC
‘말춤’을	‘/SS+말춤/NNG+’/SS+을/JKO
추기도	추/VV+기/ETN+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.138.5.1
본격적인 대입 원서 접수 시즌을 앞두고 전국 대학들의 수험생 유치 경쟁이 뜨겁다.

본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
대입	대입/NNG
원서	원서/NNG
접수	접수/NNG
시즌을	시즌/NNG+을/JKO
앞두고	앞두/VV+고/EC
전국	전국/NNG
대학들의	대학/NNG+들/XSN+의/JKG
수험생	수험/NNG+생/XSN
유치	유치/NNG
경쟁이	경쟁/NNG+이/JKS
뜨겁다.	뜨겁/VA+다/EF+./SF


# id : NWRW1800000033.138.5.2
특히 비수도권 대학들은 이전과는 다른 전략으로 수험생 공략에 나섰다.

특히	특히/MAG
비수도권	비/XPN+수도/NNG+권/XSN
대학들은	대학/NNG+들/XSN+은/JX
이전과는	이전/NNG+과/JKB+는/JX
다른	다른/MMD
전략으로	전략/NNG+으로/JKB
수험생	수험/NNG+생/XSN
