# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.268
metadata : {}


# id : NWRW1800000040.268.1.1
‘TV수신료’ 올해도 배달부가 ‘왕서방’

‘TV수신료’	‘/SS+TV/SL+수신료/NNG+’/SS
올해도	올해/NNG+도/JX
배달부가	배달부/NNG+가/JKS
‘왕서방’	‘/SS+왕/NNP+서방/NNG+’/SS


# id : NWRW1800000040.268.2.1
징수대행 한국전력엔 402억

징수대행	징수/NNG+대행/NNG
한국전력엔	한국전력/NNP+에/JKB+ㄴ/JX
402억	402/SN+억/NR


# id : NWRW1800000040.268.3.1
교육방송엔 166억 배정 예상

교육방송엔	교육방송/NNP+에/JKB+ㄴ/JX
166억	166/SN+억/NR
배정	배정/NNG
예상	예상/NNG


# id : NWRW1800000040.268.4.1
한국전력공사(한전)가 텔레비전 수신료를 대신 징수해주는 대가로 <한국방송>(KBS)에서 받는 수수료가 한해 400억원에 달하는 것으로 나타났다.

한국전력공사(한전)가	한국전력공사/NNP+(/SS+한전/NNP+)/SS+가/JKS
텔레비전	텔레비전/NNG
수신료를	수신료/NNG+를/JKO
대신	대신/NNG
징수해주는	징수/NNG+하/XSV+아/EC+주/VX+는/ETM
대가로	대가/NNG+로/JKB
<한국방송>(KBS)에서	</SS+한국방송/NNP+>/SS+(/SS+KBS/SL+)/SS+에서/JKB
받는	받/VV+는/ETM
수수료가	수수료/NNG+가/JKS
한해	한/MMN+해/NNB
400억원에	400/SN+억/NR+원/NNB+에/JKB
달하는	달하/VV+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.268.4.2
반면 <교육방송>(EBS)의 수신료 수입은 한해 166억원에 불과한 것으로 나타났다.

반면	반면/NNG
<교육방송>(EBS)의	</SS+교육방송/NNP+>/SS+(/SS+EBS/SL+)/SS+의/JKG
수신료	수신료/NNG
수입은	수입/NNG+은/JX
한해	한/MMN+해/NNB
166억원에	166/SN+억/NR+원/NNB+에/JKB
불과한	불과/MAG+하/XSA+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.268.5.1
국회 미래창조과학방송통신위원회 소속 유승희 민주당 의원은 21일 “한국방송으로부터 제출받은 ‘수신료 위탁 수수료 현황’을 보면, 한국방송은 지난 5년간 한전에 위탁 수수료로 1772억원을 지급한 것으로 나타났다”고 밝혔다.

국회	국회/NNG
미래창조과학방송통신위원회	미래/NNG+창조/NNG+과학/NNG+방송/NNG+통신/NNG+위원회/NNG
소속	소속/NNG
유승희	유승희/NNP
민주당	민주당/NNP
의원은	의원/NNG+은/JX
21일	21/SN+일/NNB
“한국방송으로부터	“/SS+한국방송/NNP+으로부터/JKB
제출받은	제출/NNG+받/XSV+은/ETM
‘수신료	‘/SS+수신료/NNG
위탁	위탁/NNG
수수료	수수료/NNG
현황’을	현황/NNG+’/SS+을/JKO
보면,	보/VV+면/EC+,/SP
한국방송은	한국방송/NNP+은/JX
지난	지나/VV+ㄴ/ETM
5년간	5/SN+년/NNB+간/XSN
한전에	한전/NNP+에/JKB
수수료로	수수료/NNG+로/JKB
1772억원을	1772/SN+억/NR+원/NNB+을/JKO
지급한	지급/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다”고	나타나/VV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.268.5.2
한전은 2009년에 368억원(수수료율 5.98%)을 수수료로 받았는데, 현재 추세대로라면 올해는 모두 402억원(6.8%)을 지급받을 것으로 예상됐다.

한전은	한전/NNP+은/JX
2009년에	2009/SN+년/NNB+에/JKB
368억원(수수료율	368/SN+억/NR+원/NNB+(/SS+수수료/NNG+율/XSN
5.98%)을	5/SN+./SP+98/SN+%/SW+)/SS+을/JKO
수수료로	수수료/NNG+로/JKB
받았는데,	받/VV+았/EP+는데/EC+,/SP
현재	현재/NNG
추세대로라면	추세/NNG+대로/JX+이/VCP+라면/EC
올해는	올해/NNG+는/JX
모두	모두/MAG
402억원(6.8%)을	402/SN+억/NR+원/NNB+(/SS+6/SN+./SP+8/SN+%/SW+)/SS+을/JKO
지급받을	지급/NNG+받/XSV+을/ETM
것으로	것/NNB+으로/JKB
예상됐다.	예상/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.268.5.3
한전은 1994년부터 전기료와 함께 월 2500원의 수신료를 텔레비전 보유 가구를 상대로 ‘통합 징수’하고 있다.

한전은	한전/NNP+은/JX
1994년부터	1994/SN+년/NNB+부터/JX
전기료와	전기료/NNG+와/JKB
함께	함께/MAG
월	월/NNG
2500원의	2500/SN+원/NNB+의/JKG
수신료를	수신료/NNG+를/JKO
텔레비전	텔레비전/NNG
보유	보유/NNG
가구를	가구/NNG+를/JKO
상대로	상대/NNG+로/JKB
‘통합	‘/SS+통합/NNG
징수’하고	징수/NNG+’/SS+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.268.6.1
수신료를 일부 분배받는 교육방송은 한전에 한참 못 미치는 배분율을 보이는 것으로 나타났다.

수신료를	수신료/NNG+를/JKO
일부	일부/NNG
분배받는	분배/NNG+받/XSV+는/ETM
교육방송은	교육방송/NNP+은/JX
한전에	한전/NNP+에/JKB
한참	한참/MAG
못	못/MAG
미치는	미치/VV+는/ETM
배분율을	배분/NNG+율/XSN+을/JKO
보이는	보이/VV+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.268.6.2
한국방송은 2013년 전체 5929억원의 수신료 수입 가운데 한국방송이 5361억원, 한전이 402억원, 교육방송이 166억원을 받을 것으로 추정했다.

한국방송은	한국방송/NNP+은/JX
2013년	2013/SN+년/NNB
전체	전체/NNG
5929억원의	5929/SN+억/NR+원/NNB+의/JKG
수신료	수신료/NNG
수입	수입/NNG
가운데	가운데/NNG
한국방송이	한국방송/NNP+이/JKS
5361억원,	5361/SN+억/NR+원/NNB+,/SP
한전이	한전/NNP+이/JKS
402억원,	402/SN+억/NR+원/NNB+,/SP
교육방송이	교육방송/NNP+이/JKS
166억원을	166/SN+억/NR+원/NNB+을/JKO
받을	받/VV+을/ETM
것으로	것/NNB+으로/JKB
추정했다.	추정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.268.6.3
유 의원은 “수신료가 한전의 배를 불려주는 데 쓰이고 있다.

유	유/NNP
의원은	의원/NNG+은/JX
“수신료가	“/SS+수신료/NNG+가/JKS
한전의	한전/NNP+의/JKG
배를	배/NNG+를/JKO
불려주는	불리/VV+어/EC+주/VX+는/ETM
데	데/NNB
쓰이고	쓰이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.268.6.4
교육방송 배분율이 3%에 못 미치는 것도 법 위반”이라고 지적했다.

교육방송	교육방송/NNP
배분율이	배분/NNG+율/XSN+이/JKS
3%에	3/SN+%/SW+에/JKB
못	못/MAG
