# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.284
metadata : {}


# id : NWRW1800000054.284.1.1
[조용헌 살롱] (1075) 自己執筆能力

[조용헌	[/SS+조용헌/NNP
살롱]	살롱/NNG+]/SS
(1075)	(/SS+1075/SN+)/SS
自己執筆能力	自己執筆能力/SH


# id : NWRW1800000054.284.2.1
"앞으로 대통령이 될 사람이 갖추어야 할 자질 한 가지를 꼽는다면 무엇입니까?" "자기집필능력이라고 생각합니다.

"앞으로	"/SS+앞/NNG+으로/JKB
대통령이	대통령/NNG+이/JKC
될	되/VV+ㄹ/ETM
사람이	사람/NNG+이/JKS
갖추어야	갖추/VV+어야/EC
할	하/VX+ㄹ/ETM
자질	자질/NNG
한	한/MMN
가지를	가지/NNB+를/JKO
꼽는다면	꼽/VV+는다면/EC
무엇입니까?"	무엇/NP+이/VCP+ㅂ니까/EF+?/SF+"/SS
"자기집필능력이라고	"/SS+자기/NNG+집필/NNG+능력/NNG+이/VCP+라고/EC
생각합니다.	생각/NNG+하/XSV+ㅂ니다/EF+./SF


# id : NWRW1800000054.284.2.2
연설문의 대강은 자기가 쓸 수 있어야 대통령 자격이 있다고 봅니다."

연설문의	연설문/NNG+의/JKG
대강은	대강/NNG+은/JX
자기가	자기/NP+가/JKS
쓸	쓰/VV+ㄹ/ETM
수	수/NNB
있어야	있/VA+어야/EC
대통령	대통령/NNG
자격이	자격/NNG+이/JKS
있다고	있/VA+다고/EC
봅니다."	보/VV+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000054.284.2.3
총리를 지낸 분과 점심 식사를 하다가 나눈 이야기인데, 굉장히 공감이 되는 지적이었다.

총리를	총리/NNG+를/JKO
지낸	지내/VV+ㄴ/ETM
분과	분/NNB+과/JKB
점심	점심/NNG
식사를	식사/NNG+를/JKO
하다가	하/VV+다가/EC
나눈	나누/VV+ㄴ/ETM
이야기인데,	이야기/NNG+이/VCP+ㄴ데/EC+,/SP
굉장히	굉장히/MAG
공감이	공감/NNG+이/JKS
되는	되/VV+는/ETM
지적이었다.	지적/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.284.2.4
자기가 할 말의 연설문 정도는 자신이 집필할 수 있어야 한다.

