# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.158
metadata : {}


# id : NWRW1800000030.158.1.1
부모따라 조기 유학갔다가 한국으로 U턴… '大入 연어족' 늘었다

부모따라	부모/NNG+따라/JX
조기	조기/NNG
유학갔다가	유학/NNG+가/VV+았/EP+다가/EC
한국으로	한국/NNP+으로/JKB
U턴…	U/SL+턴/NNG+…/SE
'大入	'/SS+大入/SH
연어족'	연어족/NNG+'/SS
늘었다	늘/VV+었/EP+다/EF


# id : NWRW1800000030.158.2.1
•"논술·수능 안봐 大入 수월"재외국민 전형 27대1까지… 1년새 2배 이상 크게 늘어

•"논술·수능	•/SW+"/SS+논술/NNG+·/SP+수능/NNG
안봐	안/MAG+보/VV+아/EC
大入	大入/SH
수월"재외국민	수월/XR+"/SS+재외/NNG+국민/NNG
전형	전형/NNG
27대1까지…	27/SN+대/NNB+1/SN+까지/JX+…/SE
1년새	1/SN+년/NNB+새/NNG
2배	2/SN+배/NNG
이상	이상/NNG
크게	크/VA+게/EC
늘어	늘/VV+어/EF


# id : NWRW1800000030.158.3.1
서울의 한 여대 2학년에 재학 중인 문모(22)씨는 중국 지사로 발령난 아버지를 따라 중국으로 건너가 초·중·고등학교를 마쳤다.

서울의	서울/NNP+의/JKG
한	한/MMN
여대	여대/NNG
2학년에	2/SN+학년/NNG+에/JKB
재학	재학/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
문모(22)씨는	문/NNP+모/NP+(/SS+22/SN+)/SS+씨/NNB+는/JX
중국	중국/NNP
지사로	지사/NNG+로/JKB
발령난	발령/NNG+나/VV+ㄴ/ETM
아버지를	아버지/NNG+를/JKO
따라	따르/VV+아/EC
중국으로	중국/NNP+으로/JKB
건너가	건너가/VV+아/EC
초·중·고등학교를	초·중·고등학교/NNG+를/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.158.3.2
문씨가 고등학교 1학년 때 아버지가 귀국했지만 어머니와 함께 계속 현지에 남았다.

문씨가	문/NNP+씨/NNB+가/JKS
고등학교	고등학교/NNG
1학년	1/SN+학년/NNG
때	때/NNG
아버지가	아버지/NNG+가/JKS
귀국했지만	귀국/NNG+하/XSV+았/EP+지만/EC
어머니와	어머니/NNG+와/JKB
함께	함께/MAG
계속	계속/MAG
현지에	현지/NNG+에/JKB
남았다.	남/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.158.4.1
문씨는 현지 고교를 졸업한 뒤 재외국민 특별전형을 통해 대학에 진학했다.

문씨는	문/NNP+씨/NNB+는/JX
현지	현지/NNG
고교를	고교/NNG+를/JKO
졸업한	졸업/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
재외국민	재외/NNG+국민/NNG
특별전형을	특별/NNG+전형/NNG+을/JKO
통해	통하/VV+아/EC
대학에	대학/NNG+에/JKB
진학했다.	진학/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.158.4.2
그는 "국내에서 고등학교를 마친 학생들과 달리 수학능력시험과 내신 성적을 신경쓰지 않아도 돼 비교적 수월하게 대학에 들어왔다"고 말했다.

그는	그/NP+는/JX
"국내에서	"/SS+국내/NNG+에서/JKB
고등학교를	고등학교/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
학생들과	학생/NNG+들/XSN+과/JKB
달리	달리/MAG
수학능력시험과	수학/NNG+능력/NNG+시험/NNG+과/JC
내신	내신/NNG
성적을	성적/NNG+을/JKO
신경쓰지	신경/NNG+쓰/VV+지/EC
않아도	않/VX+아도/EC
돼	되/VV+어/EC
비교적	비교/NNG+적/XSN
수월하게	수월하/VA+게/EC
대학에	대학/NNG+에/JKB
들어왔다"고	들어오/VV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.158.5.1
유명 사립대에 재학 중인 정모(23)씨도 사업을 하는 부모를 따라 인도네시아로 가서 고등학교를 졸업한 뒤 재외국민 전형으로 입학했다.

유명	유명/NNG
사립대에	사립대/NNG+에/JKB
재학	재학/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
정모(23)씨도	정/NNP+모/NP+(/SS+23/SN+)/SS+씨/NNB+도/JX
사업을	사업/NNG+을/JKO
하는	하/VV+는/ETM
부모를	부모/NNG+를/JKO
따라	따르/VV+아/EC
인도네시아로	인도네시아/NNP+로/JKB
가서	가/VV+아서/EC
고등학교를	고등학교/NNG+를/JKO
졸업한	졸업/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
재외국민	재외/NNG+국민/NNG
전형으로	전형/NNG+으로/JKB
입학했다.	입학/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.158.5.2
정씨는 "재외국민 전형으로 한국 대학에 특례 입학하는 것이 한국에서 고교를 나와서 진학하는 것보다 훨씬 쉽다"고 말했다.

정씨는	정/NNP+씨/NNB+는/JX
"재외국민	"/SS+재외/NNG+국민/NNG
전형으로	전형/NNG+으로/JKB
한국	한국/NNP
대학에	대학/NNG+에/JKB
특례	특례/NNG
입학하는	입학/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
한국에서	한국/NNP+에서/JKB
고교를	고교/NNG+를/JKO
나와서	나오/VV+아서/EC
진학하는	진학/NNG+하/XSV+는/ETM
것보다	것/NNB+보다/JKB
훨씬	훨씬/MAG
쉽다"고	쉽/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.158.6.1
최근 이들처럼 외국에서 고교를 졸업하고 재외국민 전형으로 한국 대학에 지원하는 사례가 크게 늘어나고 있다.

최근	최근/MAG
이들처럼	이/NP+들/XSN+처럼/JKB
외국에서	외국/NNG+에서/JKB
고교를	고교/NNG+를/JKO
졸업하고	졸업/NNG+하/XSV+고/EC
재외국민	재외/NNG+국민/NNG
전형으로	전형/NNG+으로/JKB
한국	한국/NNP
대학에	대학/NNG+에/JKB
지원하는	지원/NNG+하/XSV+는/ETM
사례가	사례/NNG+가/JKS
크게	크/VA+게/EC
늘어나고	늘어나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.158.6.2
학원가 등에서는 대표적인 회귀 어종인 연어에 빗대 이들을 '연어족(族)'이라고도 부른다.

학원가	학원가/NNG
등에서는	등/NNB+에서/JKB+는/JX
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
회귀	회귀/NNG
어종인	어종/NNG+이/VCP+ㄴ/ETM
연어에	연어/NNG+에/JKB
빗대	빗대/VV+어/EC
이들을	이/NP+들/XSN+을/JKO
'연어족(族)'이라고도	'/SS+연어족/NNG+(/SS+族/SH+)/SS+'/SS+이라고/JKQ+도/JX
부른다.	부르/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.158.7.1
매년 74명을 재외국민 전형으로 선발하는 고려대의 경우 2009학년도 경쟁률이 9.36대 1을 기록한 데 비해 2011학년도에는 11.56대 1로 증가했다.

매년	매년/MAG
74명을	74/SN+명/NNB+을/JKO
재외국민	재외/NNG+국민/NNG
전형으로	전형/NNG+으로/JKB
선발하는	선발/NNG+하/XSV+는/ETM
고려대의	고려대/NNP+의/JKG
경우	경우/NNG
2009학년도	2009/SN+학년도/NNG
경쟁률이	경쟁/NNG+률/XSN+이/JKS
9.36대	9/SN+./SP+36/SN+대/NNB
1을	1/SN+을/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
데	데/NNB
비해	비/NNG+하/XSV+아/EC
2011학년도에는	2011/SN+학년도/NNG+에/JKB+는/JX
11.56대	11/SN+./SP+56/SN+대/NNB
1로	1/SN+로/JKB
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.158.7.2
이화여대는 2009학년도 6.85대 1에서 2011학년도는 9.78대 1의 경쟁률을 기록했다.

이화여대는	이화여대/NNP+는/JX
2009학년도	2009/SN+학년도/NNG
6.85대	6/SN+./SP+85/SN+대/NNB
1에서	1/SN+에서/JKB
2011학년도는	2011/SN+학년도/NNG+는/JX
9.78대	9/SN+./SP+78/SN+대/NNB
1의	1/SN+의/JKG
경쟁률을	경쟁/NNG+률/XSN+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.158.7.3
45명을 선발하는 숙명여대는 2008학년도 6.67대 1에서 2011학년도 14.1대 1로 경쟁률이 높아졌다.

45명을	45/SN+명/NNB+을/JKO
선발하는	선발/NNG+하/XSV+는/ETM
숙명여대는	숙명여대/NNP+는/JX
2008학년도	2008/SN+학년도/NNG
6.67대	6/SN+./SP+67/SN+대/NNB
1에서	1/SN+에서/JKB
2011학년도	2011/SN+학년도/NNG
14.1대	14/SN+./SP+1/SN+대/NNB
1로	1/SN+로/JKB
경쟁률이	경쟁/NNG+률/XSN+이/JKS
높아졌다.	높아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.158.7.4
건국대는 2012학년도 재외국민 전형을 마감한 결과 60명 모집에 1610명이 지원해 26.83대1의 경쟁률을 기록했다고 10일 밝혔다.

건국대는	건국대/NNP+는/JX
2012학년도	2012/SN+학년도/NNG
재외국민	재외/NNG+국민/NNG
전형을	전형/NNG+을/JKO
마감한	마감/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
60명	60/SN+명/NNB
모집에	모집/NNG+에/JKB
1610명이	1610/SN+명/NNB+이/JKS
지원해	지원/NNG+하/XSV+아/EC
26.83대1의	26/SN+./SP+83/SN+대/NNB+1/SN+의/JKG
