# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.101
metadata : {}


# id : NWRW1800000026.101.1.1
광산업의 어제와 오늘_국내 광산업 생산 39조원… 제품의 92% 수출

광산업의	광산업/NNG+의/JKG
어제와	어제/NNG+와/JC
오늘_국내	오늘/NNG+_/SS+국내/NNG
광산업	광산업/NNG
생산	생산/NNG
39조원…	39/SN+조/NR+원/NNB+…/SE
제품의	제품/NNG+의/JKG
92%	92/SN+%/SW
수출	수출/NNG


# id : NWRW1800000026.101.2.1
광산업이란 과학적으로 규명된 빛을 고유한 성질을 이용하여 기술적으로 개발함으로써 제품화하는 업종.

광산업이란	광산업/NNG+이란/JX
과학적으로	과학/NNG+적/XSN+으로/JKB
규명된	규명/NNG+되/XSV+ㄴ/ETM
빛을	빛/NNG+을/JKO
고유한	고유/NNG+하/XSA+ㄴ/ETM
성질을	성질/NNG+을/JKO
이용하여	이용/NNG+하/XSV+아/EC
기술적으로	기술/NNG+적/XSN+으로/JKB
개발함으로써	개발/NNG+하/XSV+ㅁ/ETN+으로써/JKB
제품화하는	제품/NNG+화/XSN+하/XSV+는/ETM
업종.	업종/NNG+./SF


# id : NWRW1800000026.101.2.2
빛을 생성·제어·응용하는 기술을 활용해 정보를 전달하고 저장하기 위한 소재·부품·장비 및 시스템을 포함하는 산업을 말한다.

빛을	빛/NNG+을/JKO
생성·제어·응용하는	생성/NNG+·/SP+제어/NNG+·/SP+응용/NNG+하/XSV+는/ETM
기술을	기술/NNG+을/JKO
활용해	활용/NNG+하/XSV+아/EC
정보를	정보/NNG+를/JKO
전달하고	전달/NNG+하/XSV+고/EC
저장하기	저장/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
소재·부품·장비	소재/NNG+·/SP+부품/NNG+·/SP+장비/NNG
및	및/MAG
시스템을	시스템/NNG+을/JKO
포함하는	포함/NNG+하/XSV+는/ETM
산업을	산업/NNG+을/JKO
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.101.3.1
광원과 광전소자를 비롯, 정보를 전달하는 광통신기기, 정보를 저장하는 광정보기기, 계측에 활용되는 광정밀기기, 광소재, 광학기기 등 6개 분야로 나뉜다.

광원과	광원/NNG+과/JC
광전소자를	광전/NNG+소자/NNG+를/JKO
비롯,	비롯/XR+,/SP
정보를	정보/NNG+를/JKO
전달하는	전달/NNG+하/XSV+는/ETM
광통신기기,	광/NNG+통신/NNG+기기/NNG+,/SP
저장하는	저장/NNG+하/XSV+는/ETM
광정보기기,	광/NNG+정보/NNG+기기/NNG+,/SP
계측에	계측/NNG+에/JKB
활용되는	활용/NNG+되/XSV+는/ETM
광정밀기기,	광/NNG+정밀/NNG+기기/NNG+,/SP
광소재,	광/NNG+소재/NNG+,/SP
광학기기	광학/NNG+기기/NNG
등	등/NNB
6개	6/SN+개/NNB
분야로	분야/NNG+로/JKB
나뉜다.	나뉘/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.101.4.1
광산업은 ▲고도의 정보화 및 최첨단 고부가가치 창출산업 ▲공해를 유발하지 않는 환경친화 산업 ▲연구개발(R&D)이 집중되는 지식집약형 산업 ▲다른 산업분야와의 융합으로 신산업 창출가능 산업 ▲제품 및 기술의 라이프사이클이 짧은 산업 등의 특징을 갖는다.

광산업은	광산업/NNG+은/JX
▲고도의	▲/SW+고도/NNG+의/JKG
정보화	정보/NNG+화/XSN
및	및/MAG
최첨단	최/XPN+첨단/NNG
고부가가치	고/XPN+부가/NNG+가치/NNG
창출산업	창출/NNG+산업/NNG
▲공해를	▲/SW+공해/NNG+를/JKO
유발하지	유발/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
환경친화	환경친화/NNG
산업	산업/NNG
▲연구개발(R&D)이	▲/SW+연구/NNG+개발/NNG+(/SS+R/SL+&/SW+D/SL+)/SS+이/JKS
집중되는	집중/NNG+되/XSV+는/ETM
지식집약형	지식/NNG+집약/NNG+형/XSN
▲다른	▲/SW+다른/MMD
산업분야와의	산업/NNG+분야/NNG+와/JKB+의/JKG
융합으로	융합/NNG+으로/JKB
신산업	신/XPN+산업/NNG
창출가능	창출/NNG+가능/NNG
▲제품	▲/SW+제품/NNG
기술의	기술/NNG+의/JKG
라이프사이클이	라이프사이클/NNG+이/JKS
짧은	짧/VA+은/ETM
등의	등/NNB+의/JKG
특징을	특징/NNG+을/JKO
갖는다.	갖/VV+는다/EF+./SF


# id : NWRW1800000026.101.5.1
특히 라이프사이클이 짧은 특성은 중소 벤처기업에 적합하고, 후발국이 단기간에 선진국을 추월할 수 있는 가능성을 높여준다.

특히	특히/MAG
라이프사이클이	라이프사이클/NNG+이/JKS
짧은	짧/VA+은/ETM
특성은	특성/NNG+은/JX
중소	중소/NNG
벤처기업에	벤처/NNG+기업/NNG+에/JKB
적합하고,	적합/NNG+하/XSA+고/EC+,/SP
후발국이	후발국/NNG+이/JKS
단기간에	단기간/NNG+에/JKB
선진국을	선진국/NNG+을/JKO
추월할	추월/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
