# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.390
metadata : {}


# id : NWRW1800000038.390.1.1
北 파상적 대화공세… 5·24 제재(천안함 폭침이후 대북 제재 조치) 풀리길 바라는듯

北	北/SH
파상적	파상/NNG+적/XSN
대화공세…	대화/NNG+공세/NNG+…/SE
5·24	5/SN+·/SP+24/SN
제재(천안함	제재/NNG+(/SS+천안함/NNP
폭침이후	폭침/NNG+이후/NNG
대북	대북/NNG
제재	제재/NNG
조치)	조치/NNG+)/SS
풀리길	풀리/VV+기/ETN+ㄹ/JKO
바라는듯	바라/VV+는/ETM+듯/NNB


# id : NWRW1800000038.390.2.1
'개성 회담'中에 금강산·이산가족도 제의… 정부도 놀라

'개성	'/SS+개성/NNP
회담'中에	회담/NNG+'/SS+中/SH+에/JKB
금강산·이산가족도	금강산/NNP+·/SP+이산가족/NNG+도/JX
제의…	제의/NNG+…/SE
정부도	정부/NNG+도/JX
놀라	놀라/VV+아/EC


# id : NWRW1800000038.390.3.1
10일 개성공단 정상화를 위한 남북 실무회담이 합의에 이르지 못한 가운데 북한이 이와는 별도로 금강산 관광 재개, 이산가족 상봉을 위한 회담을 추가로 제의하는 등 파상적인 '대화 공세'를 펴고 있다.

10일	10/SN+일/NNB
개성공단	개성공단/NNP
정상화를	정상/NNG+화/XSN+를/JKO
위한	위하/VV+ㄴ/ETM
남북	남북/NNP
실무회담이	실무/NNG+회담/NNG+이/JKS
합의에	합의/NNG+에/JKB
이르지	이르/VV+지/EC
못한	못하/VX+ㄴ/ETM
가운데	가운데/NNG
북한이	북한/NNP+이/JKS
이와는	이/NP+와/JKB+는/JX
별도로	별도/NNG+로/JKB
금강산	금강산/NNP
관광	관광/NNG
재개,	재개/NNG+,/SP
이산가족	이산가족/NNG
상봉을	상봉/NNG+을/JKO
회담을	회담/NNG+을/JKO
추가로	추가/NNG+로/JKB
제의하는	제의/NNG+하/XSV+는/ETM
등	등/NNB
파상적인	파상/NNG+적/XSN+이/VCP+ㄴ/ETM
'대화	'/SS+대화/NNG
공세'를	공세/NNG+'/SS+를/JKO
펴고	펴/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.390.4.1
중국과 국제사회의 대화 요구를 이행하는 모습을 보임으로써 외교적 고립에서 벗어남과 동시에 2010년 천안함 폭침(爆沈) 이후 우리 정부가 유지해 온 '5·24 제재'의 해제를 노리고 있다는 분석이 나온다.

중국과	중국/NNP+과/JC
국제사회의	국제/NNG+사회/NNG+의/JKG
대화	대화/NNG
요구를	요구/NNG+를/JKO
이행하는	이행/NNG+하/XSV+는/ETM
모습을	모습/NNG+을/JKO
보임으로써	보이/VV+ㅁ/ETN+으로써/JKB
외교적	외교/NNG+적/XSN
고립에서	고립/NNG+에서/JKB
벗어남과	벗어나/VV+ㅁ/ETN+과/JKB
동시에	동시/NNG+에/JKB
2010년	2010/SN+년/NNB
천안함	천안함/NNP
폭침(爆沈)	폭침/NNG+(/SS+爆沈/SH+)/SS
이후	이후/NNG
우리	우리/NP
정부가	정부/NNG+가/JKS
유지해	유지/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
'5·24	'/SS+5/SN+·/SP+24/SN
제재'의	제재/NNG+'/SS+의/JKG
해제를	해제/NNG+를/JKO
노리고	노리/VV+고/EC
있다는	있/VX+다는/ETM
분석이	분석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.390.5.1
◇북, 동시다발적 회담 제안

◇북,	◇/SW+북/NNP+,/SP
동시다발적	동시다발/NNG+적/XSN
회담	회담/NNG
제안	제안/NNG


# id : NWRW1800000038.390.6.1
