# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.155
metadata : {}


# id : NWRW1800000041.155.1.1
[신나는 공부]‘만점짜리’ 독서감상문 쓰는 법… 책 속 등장인물을 이해하라

[신나는	[/SS+신나/VV+는/ETM
공부]‘만점짜리’	공부/NNG+]/SS+‘/SS+만점/NNG+짜리/XSN+’/SS
독서감상문	독서/NNG+감상문/NNG
쓰는	쓰/VV+는/ETM
법…	법/NNG+…/SE
책	책/NNG
속	속/NNG
등장인물을	등장인물/NNG+을/JKO
이해하라	이해/NNG+하/XSV+라/EF


# id : NWRW1800000041.155.2.1
국내 최대 어린이 신문 ‘어린이동아’가 전국 초등생을 대상으로 주최한 ‘제38회 어린이동아 전국 초등학생 독서감상문 대모집’의 수상자가 최근 발표됐다.

국내	국내/NNG
최대	최대/NNG
어린이	어린이/NNG
신문	신문/NNG
‘어린이동아’가	‘/SS+어린이/NNG+동아/NNP+’/SS+가/JKS
전국	전국/NNG
초등생을	초등/NNG+생/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
주최한	주최/NNG+하/XSV+ㄴ/ETM
‘제38회	‘/SS+제/XPN+38/SN+회/NNB
어린이동아	어린이/NNG+동아/NNP
초등학생	초등학생/NNG
독서감상문	독서/NNG+감상문/NNG
대모집’의	대/XPN+모집/NNG+’/SS+의/JKG
수상자가	수상자/NNG+가/JKS
최근	최근/NNG
발표됐다.	발표/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.155.3.1
어린이동아와 서울교대 창의인성언어교육센터 교수진이 선정한 ‘2014 어린이동아 착한어린이책’의 선정도서를 읽고 쓴 독서감상문을 모집한 이번 대회엔 자신의 생각을 조리 있고 기발한 방법으로 표현한 작품이 무려 2000편 넘게 접수됐다.

어린이동아와	어린이/NNG+동아/NNP+와/JC
서울교대	서울교대/NNP
창의인성언어교육센터	창의인성언어교육센터/NNP
교수진이	교수진/NNG+이/JKS
선정한	선정/NNG+하/XSV+ㄴ/ETM
‘2014	‘/SS+2014/SN
어린이동아	어린이/NNG+동아/NNP
착한어린이책’의	착하/VA+ㄴ/ETM+어린이/NNG+책/NNG+’/SS+의/JKG
선정도서를	선정/NNG+도서/NNG+를/JKO
읽고	읽/VV+고/EC
쓴	쓰/VV+ㄴ/ETM
독서감상문을	독서/NNG+감상문/NNG+을/JKO
모집한	모집/NNG+하/XSV+ㄴ/ETM
이번	이번/NNG
대회엔	대회/NNG+에/JKB+ㄴ/JX
자신의	자신/NNG+의/JKG
생각을	생각/NNG+을/JKO
조리	조리/NNG
있고	있/VA+고/EC
기발한	기발하/VA+ㄴ/ETM
방법으로	방법/NNG+으로/JKB
표현한	표현/NNG+하/XSV+ㄴ/ETM
작품이	작품/NNG+이/JKS
무려	무려/MAG
2000편	2000/SN+편/NNB
넘게	넘/VV+게/EC
접수됐다.	접수/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.155.4.1
엄청난 경쟁을 뚫고 초등 저학년, 고학년 부문에서 각각 대상을 받은 학생은 서울 양천구 남명초 3학년 송나희 양과 경남 거제시 오비초 6학년 박서진 양.

엄청난	엄청나/VA+ㄴ/ETM
경쟁을	경쟁/NNG+을/JKO
뚫고	뚫/VV+고/EC
초등	초등/NNG
저학년,	저/XPN+학년/NNG+,/SP
고학년	고/XPN+학년/NNG
부문에서	부문/NNG+에서/JKB
각각	각각/MAG
대상을	대상/NNG+을/JKO
받은	받/VV+은/ETM
학생은	학생/NNG+은/JX
서울	서울/NNP
양천구	양천구/NNP
남명초	남명초/NNP
3학년	3/SN+학년/NNG
송나희	송나희/NNP
양과	양/NNB+과/JC
경남	경남/NNP
거제시	거제시/NNP
오비초	오비초/NNP
6학년	6/SN+학년/NNG
박서진	박서진/NNP
양.	양/NNB+./SF


# id : NWRW1800000041.155.4.2
이들에게 ‘독서감상문을 잘 쓰는 비법’을 들어봤다.

이들에게	이/NP+들/XSN+에게/JKB
‘독서감상문을	‘/SS+독서/NNG+감상문/NNG+을/JKO
잘	잘/MAG
쓰는	쓰/VV+는/ETM
비법’을	비법/NNG+’/SS+을/JKO
들어봤다.	듣/VV+어/EC+보/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.155.5.1
송나희 양 “내 이야기 담아요”

송나희	송나희/NNP
양	양/NNB
“내	“/SS+나/NP+의/JKG
이야기	이야기/NNG
담아요”	담/VV+아요/EF+”/SS


# id : NWRW1800000041.155.6.1
‘나는 3학년 여자아이다.

‘나는	‘/SS+나/NP+는/JX
3학년	3/SN+학년/NNG
여자아이다.	여자아이/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.155.6.2
4년 전 중국 북경(베이징)에 아빠 회사일 때문에 가서, 6개월 전에 귀국했다.

4년	4/SN+년/NNB
전	전/NNG
중국	중국/NNP
북경(베이징)에	북경/NNP+(/SS+베이징/NNP+)/SS+에/JKB
아빠	아빠/NNG
