# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.431
metadata : {}


# id : NWRW1800000054.431.1.1
[기자수첩] "하하하"… 시원스러운 康외교 웃음이 미덥지 못한 이유

[기자수첩]	[/SS+기자/NNG+수첩/NNG+]/SS
"하하하"…	"/SS+하하하/IC+"/SS+…/SE
시원스러운	시원스럽/VA+ㄴ/ETM
康외교	康/SH+외교/NNG
웃음이	웃음/NNG+이/JKS
미덥지	미덥/VA+지/EC
못한	못하/VX+ㄴ/ETM
이유	이유/NNG


# id : NWRW1800000054.431.2.1
지난 5일 밤 SBS 방송 '김어준의 블랙하우스'에 출연한 강경화 외교부 장관은 참 웃음이 많았다.

지난	지나/VV+ㄴ/ETM
5일	5/SN+일/NNB
밤	밤/NNG
SBS	SBS/SL
방송	방송/NNG
'김어준의	'/SS+김어준/NNP+의/JKG
블랙하우스'에	블랙하우스/NNG+'/SS+에/JKB
출연한	출연/NNG+하/XSV+ㄴ/ETM
강경화	강경화/NNP
외교부	외교부/NNG
장관은	장관/NNG+은/JX
참	참/MAG
웃음이	웃음/NNG+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000054.431.3.1
"춤을 잘 춘다는 첩보가 있다"는 김씨의 말에 "소싯적에는 그랬다"고 답하며 "하하하" 웃었다.

"춤을	"/SS+춤/NNG+을/JKO
잘	잘/MAG
춘다는	추/VV+ㄴ다는/ETM
첩보가	첩보/NNG+가/JKS
있다"는	있/VA+다/EF+"/SS+는/ETM
김씨의	김/NNP+씨/NNB+의/JKG
말에	말/NNG+에/JKB
"소싯적에는	"/SS+소싯적/NNG+에/JKB+는/JX
그랬다"고	그렇/VA+었/EP+다/EF+"/SS+고/JKQ
답하며	답/NNG+하/XSV+며/EC
"하하하"	"/SS+하하하/IC+"/SS
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.431.3.2
"(유엔 근무 10년간 남편과 떨어져 지내니) 좋으셨죠?"란 질문에 "서로 자유로웠죠"라고 답하면서 또 "하하하" 웃었다.

"(유엔	"/SS+(/SS+유엔/NNP
근무	근무/NNG
10년간	10/SN+년/NNB+간/XSN
남편과	남편/NNG+과/JKB
떨어져	떨어지/VV+어/EC
지내니)	지내/VV+니/EC+)/SS
좋으셨죠?"란	좋/VA+으시/EP+었/EP+죠/EF+?/SF+"/SS+이/VCP+란/ETM
질문에	질문/NNG+에/JKB
"서로	"/SS+서로/MAG
자유로웠죠"라고	자유/NNG+롭/XSA+었/EP+죠/EF+"/SS+라고/JKQ
답하면서	답/NNG+하/XSV+면서/EC
또	또/MAG
"하하하"	"/SS+하하하/IC+"/SS
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.431.3.3
이 나라에 복잡한 외교 문제는 전혀 없는 것처럼 느껴질 정도였다.

이	이/MMD
나라에	나라/NNG+에/JKB
복잡한	복잡하/VA+ㄴ/ETM
외교	외교/NNG
문제는	문제/NNG+는/JX
전혀	전혀/MAG
없는	없/VA+는/ETM
것처럼	것/NNB+처럼/JKB
느껴질	느끼/VV+어/EC+지/VX+ㄹ/ETM
정도였다.	정도/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.431.4.1
"(도널드 트럼프 미국 대통령을 만나보니) 좀 이상하다 싶은 대목은 없었나"란 질문에 강 장관은 "그렇다고 제가 이 자리에서 이야기드릴 수 있겠나"라고 답했다.

"(도널드	"/SS+(/SS+도널드/NNP
트럼프	트럼프/NNP
미국	미국/NNP
대통령을	대통령/NNG+을/JKO
만나보니)	만나/VV+아/EC+보/VX+니/EC+)/SS
좀	좀/MAG
이상하다	이상/NNG+하/XSA+다/EF
싶은	싶/VX+은/ETM
대목은	대목/NNG+은/JX
없었나"란	없/VA+었/EP+나/EF+"/SS+이/VCP+란/ETM
질문에	질문/NNG+에/JKB
강	강/NNP
장관은	장관/NNG+은/JX
"그렇다고	"/SS+그렇/VA+다고/EC
제가	제/NP+가/JKS
이	이/MMD
자리에서	자리/NNG+에서/JKB
이야기드릴	이야기/NNG+드리/VV+ㄹ/ETM
수	수/NNB
있겠나"라고	있/VA+겠/EP+나/EF+"/SS+라고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.431.4.2
김씨가 "있었군요?" 되물을 때도, "있었던 것으로…"라고 말할 때도, 강 장관은 "하하하" 웃었다.

김씨가	김/NNP+씨/NNB+가/JKS
"있었군요?"	"/SS+있/VA+었/EP+군/EF+요/JX+?/SF+"/SS
되물을	되묻/VV+을/ETM
때도,	때/NNG+도/JX+,/SP
"있었던	"/SS+있/VA+었/EP+던/ETM
것으로…"라고	것/NNB+으로/JKB+…/SE+"/SS+라고/JKQ
말할	말/NNG+하/XSV+ㄹ/ETM
강	강/NNP
장관은	장관/NNG+은/JX
"하하하"	"/SS+하하하/IC+"/SS
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.431.4.3
트럼프 대통령 스타일이 남다르다는 것은 누구나 안다.

트럼프	트럼프/NNP
대통령	대통령/NNG
스타일이	스타일/NNG+이/JKS
남다르다는	남다르/VA+다는/ETM
것은	것/NNB+은/JX
누구나	누구/NP+나/JX
안다.	알/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.431.4.4
그러나 강 장관은 7일 트럼프 대통령이 한국에 도착할 때 영접을 해야 할 외교장관이다.

그러나	그러나/MAJ
강	강/NNP
장관은	장관/NNG+은/JX
7일	7/SN+일/NNB
트럼프	트럼프/NNP
대통령이	대통령/NNG+이/JKS
한국에	한국/NNP+에/JKB
도착할	도착/NNG+하/XSV+ㄹ/ETM
때	때/NNG
영접을	영접/NNG+을/JKO
해야	하/VV+아야/EC
할	하/VX+ㄹ/ETM
외교장관이다.	외교/NNG+장관/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.431.4.5
이런 대화가 우리 외교에 어떤 도움이 되는지 알 수 없었다.

이런	이런/MMD
대화가	대화/NNG+가/JKS
우리	우리/NP
외교에	외교/NNG+에/JKB
어떤	어떤/MMD
도움이	도움/NNG+이/JKC
되는지	되/VV+는지/EF
알	알/VV+ㄹ/ETM
수	수/NNB
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000054.431.5.1
강 장관은 그동안 본인이 억울하게 당한다고 생각했던 모양이다.

강	강/NNP
장관은	장관/NNG+은/JX
그동안	그동안/NNG
본인이	본인/NNG+이/JKS
억울하게	억울/NNG+하/XSA+게/EC
당한다고	당하/VV+ㄴ다고/EC
생각했던	생각/NNG+하/XSV+았/EP+던/ETM
모양이다.	모양/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.431.5.2
강 장관은 "왜 자꾸 (코리아패싱) 이런 얘기들을 하는지"라며 "EU 고위 대표도 만나고 브뤼셀 외교장관도 만났는데 '한국의 입장을 지지한다'고 공개적으로 얘기하고 있다"고 말했다.

강	강/NNP
장관은	장관/NNG+은/JX
"왜	"/SS+왜/MAG
자꾸	자꾸/MAG
(코리아패싱)	(/SS+코리아/NNP+패싱/NNG+)/SS
이런	이런/MMD
얘기들을	얘기/NNG+들/XSN+을/JKO
하는지"라며	하/VV+는지/EF+"/SS+이/VCP+라며/EC
"EU	"/SS+EU/SL
고위	고위/NNG
대표도	대표/NNG+도/JX
만나고	만나/VV+고/EC
브뤼셀	브뤼셀/NNP
외교장관도	외교/NNG+장관/NNG+도/JX
만났는데	만나/VV+았/EP+는데/EC
'한국의	'/SS+한국/NNP+의/JKG
입장을	입장/NNG+을/JKO
지지한다'고	지지/NNG+하/XSV+ㄴ다/EF+'/SS+고/JKQ
공개적으로	공개/NNG+적/XSN+으로/JKB
얘기하고	얘기/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.431.5.3
아시아 5개국 순방에 나선 미국 대통령이 4개국에서 2박 3일씩을 보내고, 한국에서 25시간만 머무는 것은 괜찮은 모양이었다.

아시아	아시아/NNP
5개국	5/SN+개국/NNB
순방에	순방/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
미국	미국/NNP
대통령이	대통령/NNG+이/JKS
4개국에서	4/SN+개국/NNB+에서/JKB
2박	2/SN+박/NNB
3일씩을	3/SN+일/NNB+씩/XSN+을/JKO
보내고,	보내/VV+고/EC+,/SP
한국에서	한국/NNP+에서/JKB
25시간만	25/SN+시간/NNB+만/JX
머무는	머물/VV+는/ETM
것은	것/NNB+은/JX
괜찮은	괜찮/VA+은/ETM
모양이었다.	모양/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.431.5.4
강 장관은 또 "여성이라서 자꾸 안보 의식이 없다, 대북관이 없다고 한다"고 말했다.

강	강/NNP
장관은	장관/NNG+은/JX
또	또/MAG
"여성이라서	"/SS+여성/NNG+이/VCP+라서/EC
자꾸	자꾸/MAG
안보	안보/NNG
의식이	의식/NNG+이/JKS
없다,	없/VA+다/EF+,/SP
대북관이	대북관/NNG+이/JKS
없다고	없/VA+다고/EC
한다"고	하/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.431.5.5
그것이 꼭 '여성이라서'일까.

그것이	그것/NP+이/JKS
꼭	꼭/MAG
'여성이라서'일까.	'/SS+여성/NNG+이/VCP+라서/EC+'/SS+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000054.431.5.6
"전쟁은 안 된다"면서 '생존 배낭'이 뭔지는 모르고, "전술핵 재배치는 검토한 적 없다"면서 '전술핵'이 뭔지는 모른다면, 안보 의식 문제가 제기될 수밖에 없다.

"전쟁은	"/SS+전쟁/NNG+은/JX
안	안/MAG
된다"면서	되/VV+ㄴ다/EF+"/SS+면서/EC
'생존	'/SS+생존/NNG
배낭'이	배낭/NNG+'/SS+이/JKS
뭔지는	뭐/NP+이/VCP+ㄴ지/EF+는/JX
모르고,	모르/VV+고/EC+,/SP
"전술핵	"/SS+전술/NNG+핵/NNG
재배치는	재/XPN+배치/NNG+는/JX
검토한	검토/NNG+하/XSV+ㄴ/ETM
적	적/NNB
없다"면서	없/VA+다/EF+"/SS+면서/EC
'전술핵'이	'/SS+전술/NNG+핵/NNG+'/SS+이/JKS
모른다면,	모르/VV+ㄴ다면/EC+,/SP
안보	안보/NNG
의식	의식/NNG
문제가	문제/NNG+가/JKS
제기될	제기/NNG+되/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000054.431.6.1
이 프로그램은 주말 이틀 동안 방영됐다.

이	이/MMD
프로그램은	프로그램/NNG+은/JX
주말	주말/NNG
이틀	이틀/NNG
동안	동안/NNG
방영됐다.	방영/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.431.6.2
강 장관이 출연하기 전날 밤 방송에서 진행자는 "트럼프는 '관종(타인의 관심을 끌려고 안달 난 사람)'이라고 본다"고 했다.

강	강/NNP
장관이	장관/NNG+이/JKS
출연하기	출연/NNG+하/XSV+기/ETN
전날	전날/NNG
밤	밤/NNG
방송에서	방송/NNG+에서/JKB
진행자는	진행자/NNG+는/JX
"트럼프는	"/SS+트럼프/NNP+는/JX
'관종(타인의	'/SS+관종/NNG+(/SS+타인/NNG+의/JKG
관심을	관심/NNG+을/JKO
끌려고	끌/VV+려고/EC
안달	안달/NNG
난	나/VV+ㄴ/ETM
사람)'이라고	사람/NNG+)/SS+'/SS+이라고/JKQ
본다"고	보/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.431.6.3
강 장관의 발언 내용은 차치하고, 외교장관이 왜 이런 시점에 하필이면 이런 방송에 출연했는지 의문이다.

강	강/NNP
장관의	장관/NNG+의/JKG
발언	발언/NNG
내용은	내용/NNG+은/JX
차치하고,	차치/NNG+하/XSV+고/EC+,/SP
외교장관이	외교/NNG+장관/NNG+이/JKS
왜	왜/MAG
이런	이런/MMD
시점에	시점/NNG+에/JKB
하필이면	하필/MAG+이/VCP+면/EC
방송에	방송/NNG+에/JKB
출연했는지	출연/NNG+하/XSV+았/EP+는지/EF
의문이다.	의문/NNG+이/VCP+다/EF+./SF


