# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.350
metadata : {}


# id : NWRW1800000049.350.1.1
최경환-안종범 출석 공방에… 野 ‘예결위 중단’ 실력행사

최경환-안종범	최경환/NNP+-/SO+안종범/NNP
출석	출석/NNG
공방에…	공방/NNG+에/JKB+…/SE
野	野/SH
‘예결위	‘/SS+예결위/NNG
중단’	중단/NNG+’/SS
실력행사	실력/NNG+행사/NNG


# id : NWRW1800000049.350.2.1
이른바 ‘청와대 서별관회의’(조선·해운업 구조조정) 청문회 증인 채택을 놓고 여야 간 갈등이 증폭되고 있다.

이른바	이른바/MAG
‘청와대	‘/SS+청와대/NNP
서별관회의’(조선·해운업	서/NNG+별관/NNG+회의/NNG+’/SS+(/SS+조선/NNG+·/SP+해운업/NNG
구조조정)	구조/NNG+조정/NNG+)/SS
청문회	청문회/NNG
증인	증인/NNG
채택을	채택/NNG+을/JKO
놓고	놓/VV+고/EC
여야	여야/NNG
간	간/NNB
갈등이	갈등/NNG+이/JKS
증폭되고	증폭/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.350.2.2
17일 예정됐던 국회 예산결산특별위원회의 추가경정예산(추경)안 종합정책질의는 증인 채택을 둘러싼 여야의 이견으로 열리지 못했다.

17일	17/SN+일/NNB
예정됐던	예정/NNG+되/XSV+었/EP+던/ETM
국회	국회/NNG
예산결산특별위원회의	예산/NNG+결산/NNG+특별/NNG+위원회/NNG+의/JKG
추가경정예산(추경)안	추가/NNG+경정/NNG+예산/NNG+(/SS+추경/NNG+)/SS+안/NNG
종합정책질의는	종합/NNG+정책/NNG+질의/NNG+는/JX
증인	증인/NNG
채택을	채택/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
여야의	여야/NNG+의/JKG
이견으로	이견/NNG+으로/JKB
열리지	열리/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.350.2.3
여야의 ‘강 대 강 대치’로 청문회는 물론이고 추경 처리까지 늦춰질 가능성이 커지고 있다.

여야의	여야/NNG+의/JKG
‘강	‘/SS+강/XR
대	대/NNB
강	강/XR
대치’로	대치/NNG+’/SS+로/JKB
청문회는	청문회/NNG+는/JX
물론이고	물론/NNG+이/VCP+고/EC
추경	추경/NNG
처리까지	처리/NNG+까지/JX
늦춰질	늦춰지/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.350.3.1
○ 증인 채택 불똥으로 추경 국회 ‘스톱’

○	○/SW
증인	증인/NNG
채택	채택/NNG
불똥으로	불똥/NNG+으로/JKB
추경	추경/NNG
국회	국회/NNG
‘스톱’	‘/SS+스톱/NNG+’/SS


# id : NWRW1800000049.350.4.1
더불어민주당과 국민의당은 경제부총리를 지낸 새누리당 최경환 의원과 안종범 대통령정책조정수석비서관이 청문회에 반드시 증인으로 출석해야 한다고 주장하고 있다.

더불어민주당과	더불어민주당/NNP+과/JC
국민의당은	국민의당/NNP+은/JX
경제부총리를	경제/NNG+부총리/NNG+를/JKO
지낸	지내/VV+ㄴ/ETM
새누리당	새누리당/NNP
최경환	최경환/NNP
의원과	의원/NNG+과/JC
안종범	안종범/NNP
대통령정책조정수석비서관이	대통령/NNG+정책/NNG+조정/NNG+수석/NNG+비서관/NNG+이/JKS
청문회에	청문회/NNG+에/JKB
반드시	반드시/MAG
증인으로	증인/NNG+으로/JKB
출석해야	출석/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
주장하고	주장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.350.4.2
그러나 새누리당은 홍기택 전 산업은행 회장만 증인 채택이 가능하다고 맞서고 있다.

그러나	그러나/MAJ
새누리당은	새누리당/NNP+은/JX
홍기택	홍기택/NNP
전	전/MMD
산업은행	산업은행/NNP
회장만	회장/NNG+만/JX
증인	증인/NNG
채택이	채택/NNG+이/JKS
가능하다고	가능/NNG+하/XSA+다고/EC
맞서고	맞서/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.350.5.1
여야의 증인 채택 공방은 예결위에까지 영향을 미쳤다.

여야의	여야/NNG+의/JKG
증인	증인/NNG
채택	채택/NNG
공방은	공방/NNG+은/JX
예결위에까지	예결위/NNG+에/JKB+까지/JX
영향을	영향/NNG+을/JKO
미쳤다.	미치/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.350.5.2
김현미 예결위원장(더민주당)은 “청문회 증인 채택이 이뤄지지 않은 상황에서 예결위를 가동하는 것은 예산안에 대한 국회의 심의·의결권을 제대로 이행하지 않는 것”이라며 예결위 중단 의사를 밝혔다.

김현미	김현미/NNP
예결위원장(더민주당)은	예결/NNG+위원장/NNG+(/SS+더민주당/NNP+)/SS+은/JX
“청문회	“/SS+청문회/NNG
증인	증인/NNG
채택이	채택/NNG+이/JKS
이뤄지지	이뤄지/VV+지/EC
않은	않/VX+은/ETM
상황에서	상황/NNG+에서/JKB
예결위를	예결위/NNG+를/JKO
가동하는	가동/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
예산안에	예산안/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
국회의	국회/NNG+의/JKG
심의·의결권을	심의/NNG+·/SP+의결/NNG+권/XSN+을/JKO
제대로	제대로/MAG
이행하지	이행/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
예결위	예결위/NNG
중단	중단/NNG
의사를	의사/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.350.5.3
김 위원장과 3당 예결위 간사는 이날 오전 회동을 가졌지만 접점을 찾지 못한 채 예결위는 무산됐다.

김	김/NNP
위원장과	위원장/NNG+과/JC
3당	3/SN+당/NNG
예결위	예결위/NNG
간사는	간사/NNG+는/JX
이날	이날/NNG
오전	오전/NNG
회동을	회동/NNG+을/JKO
가졌지만	가지/VV+었/EP+지만/EC
접점을	접점/NNG+을/JKO
찾지	찾/VV+지/EC
못한	못하/VX+ㄴ/ETM
채	채/NNB
예결위는	예결위/NNG+는/JX
무산됐다.	무산/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.350.6.1
당초 여야 원내대표는 22일 추경안을 처리하고, 23일부터 25일까지 기획재정위원회와 정무위원회에서 청문회를 열기로 합의했다.

당초	당초/NNG
여야	여야/NNG
원내대표는	원내/NNG+대표/NNG+는/JX
22일	22/SN+일/NNB
추경안을	추경안/NNG+을/JKO
처리하고,	처리/NNG+하/XSV+고/EC+,/SP
23일부터	23/SN+일/NNB+부터/JX
25일까지	25/SN+일/NNB+까지/JX
기획재정위원회와	기획/NNG+재정/NNG+위원회/NNG+와/JC
정무위원회에서	정무/NNG+위원회/NNG+에서/JKB
청문회를	청문회/NNG+를/JKO
열기로	열/VV+기/ETN+로/JKB
