# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.310
metadata : {}


# id : NWRW1800000040.310.1.1
[유레카] ‘셀프 사면’ / 김이택

[유레카]	[/SS+유레카/NNG+]/SS
‘셀프	‘/SS+셀프/NNG
사면’	사면/NNG+’/SS
/	//SP
김이택	김이택/NNP


# id : NWRW1800000040.310.2.1
15대 대통령 선거 이틀 뒤인 1997년 12월20일 낮 청와대에서 김영삼 대통령을 만난 김대중 당선자는 내란 등 혐의로 수감중이던 전두환·노태우씨에 대한 사면을 요청했다.

15대	15/SN+대/NNB
대통령	대통령/NNG
선거	선거/NNG
이틀	이틀/NNG
뒤인	뒤/NNG+이/VCP+ㄴ/ETM
1997년	1997/SN+년/NNB
12월20일	12/SN+월/NNB+20/SN+일/NNB
낮	낮/NNG
청와대에서	청와대/NNP+에서/JKB
김영삼	김영삼/NNP
대통령을	대통령/NNG+을/JKO
만난	만나/VV+ㄴ/ETM
김대중	김대중/NNP
당선자는	당선자/NNG+는/JX
내란	내란/NNG
등	등/NNB
혐의로	혐의/NNG+로/JKB
수감중이던	수감/NNG+중/NNB+이/VCP+던/ETM
전두환·노태우씨에	전두환/NNP+·/SP+노태우/NNP+씨/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
사면을	사면/NNG+을/JKO
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.310.2.2
이틀 뒤 두 사람은 전격 석방됐다.

이틀	이틀/NNG
뒤	뒤/NNG
두	두/MMN
사람은	사람/NNG+은/JX
전격	전격/NNG
석방됐다.	석방/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.310.2.3
이 자리에서였는지는 확실치 않지만 김 대통령은 김 당선자 쪽에 당시 한보비리 사건으로 재판을 받고 있던 차남 김현철씨에 대한 선처를 은밀히 부탁했다.

이	이/MMD
자리에서였는지는	자리/NNG+에서/JKB+이/VCP+었/EP+는지/EF+는/JX
확실치	확실하/VA+지/EC
않지만	않/VX+지만/EC
김	김/NNP
대통령은	대통령/NNG+은/JX
당선자	당선자/NNG
쪽에	쪽/NNB+에/JKB
당시	당시/NNG
한보비리	한보/NNP+비리/NNG
사건으로	사건/NNG+으로/JKB
재판을	재판/NNG+을/JKO
받고	받/VV+고/EC
있던	있/VX+던/ETM
차남	차남/NNG
김현철씨에	김현철/NNP+씨/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
선처를	선처/NNG+를/JKO
은밀히	은밀히/MAG
부탁했다.	부탁/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.310.2.4
새 정부 출범 뒤 김대중 대통령은 김현철씨 사면을 추진하도록 참모들에게 지시했으나 내부의 벽에 부닥쳤다.

새	새/MMA
정부	정부/NNG
출범	출범/NNG
뒤	뒤/NNG
김대중	김대중/NNP
대통령은	대통령/NNG+은/JX
김현철씨	김현철/NNP+씨/NNB
사면을	사면/NNG+을/JKO
추진하도록	추진/NNG+하/XSV+도록/EC
참모들에게	참모/NNG+들/XSN+에게/JKB
지시했으나	지시/NNG+하/XSV+았/EP+으나/EC
내부의	내부/NNG+의/JKG
벽에	벽/NNG+에/JKB
부닥쳤다.	부닥치/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.310.2.5
박상천 당시 법무부 장관은 ‘불법사면 안 됩니다’라는 보고서까지 김 대통령에게 올리며 극력 반대하고 나섰다.

박상천	박상천/NNP
당시	당시/NNG
법무부	법무부/NNG
장관은	장관/NNG+은/JX
‘불법사면	‘/SS+불법/NNG+사면/NNG
안	안/MAG
됩니다’라는	되/VV+ㅂ니다/EF+’/SS+이/VCP+라는/ETM
보고서까지	보고서/NNG+까지/JX
김	김/NNP
대통령에게	대통령/NNG+에게/JKB
올리며	올리/VV+며/EC
극력	극력/NNG
반대하고	반대/NNG+하/XSV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.310.2.6
형이 확정되기 전이라 사면하려면 검찰이 공소 취하를 해야 하는데 법리상 불가능하다는 주장이었다.

형이	형/NNG+이/JKS
확정되기	확정/NNG+되/XSV+기/ETN
전이라	전/NNG+이/VCP+라/EC
사면하려면	사면/NNG+하/XSV+려면/EC
검찰이	검찰/NNG+이/JKS
공소	공소/NNG
취하를	취하/NNG+를/JKO
해야	하/VV+아야/EC
하는데	하/VX+는데/EC
법리상	법리/NNG+상/XSN
불가능하다는	불/XPN+가능/NNG+하/XSA+다는/ETM
주장이었다.	주장/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000040.310.2.7
결국 김씨는 1년여가 지난 다음해 8·15 때 잔형 면제를 받고 그다음 해 8·15가 돼서야 복권이 됐다.

결국	결국/MAG
김씨는	김/NNP+씨/NNB+는/JX
1년여가	1/SN+년/NNB+여/XSN+가/JKS
지난	지나/VV+ㄴ/ETM
다음해	다음/NNG+해/NNG
8·15	8/SN+·/SP+15/SN
때	때/NNG
잔형	잔형/NNG
면제를	면제/NNG+를/JKO
받고	받/VV+고/EC
그다음	그다음/NNG
해	해/NNG
8·15가	8/SN+·/SP+15/SN+가/JKC
돼서야	되/VV+어서/EC+야/JX
복권이	복권/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.310.3.1
이 일로 양 김의 사이가 결정적으로 틀어졌다.

이	이/MMD
일로	일/NNG+로/JKB
양	양/MMN
김의	김/NNP+의/JKG
사이가	사이/NNG+가/JKS
결정적으로	결정/NNG+적/XSN+으로/JKB
틀어졌다.	틀어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.310.3.2
김영삼 전 대통령은 청와대의 전직 대통령 초청 모임에도 나가지 않다가 남북정상회담을 앞둔 2000년 5월에야 처음 참석했지만 그해 10월 김대중 대통령의 노벨 평화상 수상에 “노벨상 권위가 땅에 떨어졌다”며 독설을 날리기 시작했다.

김영삼	김영삼/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
청와대의	청와대/NNP+의/JKG
전직	전직/NNG
대통령	대통령/NNG
초청	초청/NNG
모임에도	모임/NNG+에/JKB+도/JX
나가지	나가/VV+지/EC
않다가	않/VX+다가/EC
남북정상회담을	남북/NNP+정상/NNG+회담/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
2000년	2000/SN+년/NNB
5월에야	5/SN+월/NNB+에/JKB+야/JX
처음	처음/NNG
참석했지만	참석/NNG+하/XSV+았/EP+지만/EC
그해	그해/NNG
10월	10/SN+월/NNB
김대중	김대중/NNP
대통령의	대통령/NNG+의/JKG
노벨	노벨/NNP
평화상	평화상/NNG
수상에	수상/NNG+에/JKB
“노벨상	“/SS+노벨상/NNG
권위가	권위/NNG+가/JKS
땅에	땅/NNG+에/JKB
떨어졌다”며	떨어지/VV+었/EP+다/EF+”/SS+며/EC
독설을	독설/NNG+을/JKO
날리기	날리/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.310.4.1
김씨 사면 불발은 당시 여소야대 돌파를 위해 민주계와 이른바 ‘토네이도 방식’의 민주대연합을 구상하고 있던 문희상 청와대 정무수석 등의 정국 운영 구상에도 찬물을 끼얹었다.

김씨	김/NNP+씨/NNB
사면	사면/NNG
불발은	불발/NNG+은/JX
당시	당시/NNG
여소야대	여소/NNG+야대/NNG
돌파를	돌파/NNG+를/JKO
위해	위하/VV+아/EC
민주계와	민주/NNP+계/XSN+와/JC
이른바	이른바/MAG
‘토네이도	‘/SS+토네이도/NNG
방식’의	방식/NNG+’/SS+의/JKG
민주대연합을	민주/NNG+대/XPN+연합/NNG+을/JKO
구상하고	구상/NNG+하/XSV+고/EC
있던	있/VX+던/ETM
문희상	문희상/NNP
청와대	청와대/NNP
정무수석	정무/NNG+수석/NNG
등의	등/NNB+의/JKG
정국	정국/NNG
운영	운영/NNG
구상에도	구상/NNG+에/JKB+도/JX
찬물을	찬물/NNG+을/JKO
끼얹었다.	끼얹/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.310.5.1
정권 교체기 사면 때마다 논란이 뜨겁다.

정권	정권/NNG
교체기	교체기/NNG
사면	사면/NNG
때마다	때/NNG+마다/JX
논란이	논란/NNG+이/JKS
뜨겁다.	뜨겁/VA+다/EF+./SF


# id : NWRW1800000040.310.5.2
노무현 정부 말에는 최도술 청와대 전 총무비서관이 포함돼 문제가 됐다.

노무현	노무현/NNP
정부	정부/NNG
말에는	말/NNB+에/JKB+는/JX
최도술	최도술/NNP
청와대	청와대/NNP
전	전/MMD
총무비서관이	총무/NNG+비서관/NNG+이/JKS
포함돼	포함/NNG+되/XSV+어/EC
문제가	문제/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.310.5.3
그러나 자기 가족이나 핵심 측근들을 대통령이 직접 사면하는 이른바 ‘셀프 사면’ 사례는 찾아보기 힘들다.

그러나	그러나/MAJ
자기	자기/NNG
가족이나	가족/NNG+이나/JC
핵심	핵심/NNG
측근들을	측근/NNG+들/XSN+을/JKO
대통령이	대통령/NNG+이/JKS
직접	직접/MAG
사면하는	사면/NNG+하/XSV+는/ETM
이른바	이른바/MAG
‘셀프	‘/SS+셀프/NNG
사면’	사면/NNG+’/SS
사례는	사례/NNG+는/JX
찾아보기	찾아보/VV+기/ETN
힘들다.	힘들/VA+다/EF+./SF


# id : NWRW1800000040.310.5.4
이명박 대통령이 어제 최시중·천신일씨 등 측근을 사면한 데 대해 야당이 “셀프 사면은 범죄”라고 하는 것도 무리는 아니다.

이명박	이명박/NNP
대통령이	대통령/NNG+이/JKS
어제	어제/MAG
최시중·천신일씨	최시중/NNP+·/SP+천신일/NNP+씨/NNB
등	등/NNB
측근을	측근/NNG+을/JKO
사면한	사면/NNG+하/XSV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
야당이	야당/NNG+이/JKS
“셀프	“/SS+셀프/NNG
사면은	사면/NNG+은/JX
범죄”라고	범죄/NNG+”/SS+라고/JKQ
하는	하/VV+는/ETM
것도	것/NNB+도/JX
무리는	무리/NNG+는/JX
아니다.	아니/VCN+다/EF+./SF


