# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.301
metadata : {}


# id : NWRW1800000040.301.1.1
프로축구도 김상식 은퇴 선언…김남일·설기현 재계약 무산

프로축구도	프로/NNG+축구/NNG+도/JX
김상식	김상식/NNP
은퇴	은퇴/NNG
선언…김남일·설기현	선언/NNG+…/SE+김남일/NNP+·/SP+설기현/NNP
재계약	재/XPN+계약/NNG
무산	무산/NNG


# id : NWRW1800000040.301.2.1
슬픈 그라운드

슬픈	슬프/VA+ㄴ/ETM
그라운드	그라운드/NNG


# id : NWRW1800000040.301.3.1
K리그에서 잔뼈가 굵은 노장들이 이번 시즌을 끝으로 그라운드를 떠날 수도 있어 안타까움을 더하고 있다.

K리그에서	K/SL+리그/NNG+에서/JKB
잔뼈가	잔뼈/NNG+가/JKS
굵은	굵/VA+은/ETM
노장들이	노장/NNG+들/XSN+이/JKS
이번	이번/NNG
시즌을	시즌/NNG+을/JKO
끝으로	끝/NNG+으로/JKB
그라운드를	그라운드/NNG+를/JKO
떠날	떠나/VV+ㄹ/ETM
수도	수/NNB+도/JX
있어	있/VA+어/EC
안타까움을	안타깝/VA+ㅁ/ETN+을/JKO
더하고	더/MAG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.301.4.1
프로축구 전북 현대의 수비형 미드필더 김상식(37)이 은퇴한다.

프로축구	프로/NNG+축구/NNG
전북	전북/NNP
현대의	현대/NNP+의/JKG
수비형	수비/NNG+형/XSN
미드필더	미드필더/NNG
김상식(37)이	김상식/NNP+(/SS+37/SN+)/SS+이/JKS
은퇴한다.	은퇴/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.301.4.2
전북은 26일 “김상식이 12월1일 FC서울과의 경기를 끝으로 은퇴할 예정이다.

전북은	전북/NNP+은/JX
26일	26/SN+일/NNB
“김상식이	“/SS+김상식/NNP+이/JKS
12월1일	12/SN+월/NNB+1/SN+일/NNB
FC서울과의	FC서울/NNP+과/JKB+의/JKG
경기를	경기/NNG+를/JKO
끝으로	끝/NNG+으로/JKB
은퇴할	은퇴/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.301.4.3
