# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.277
metadata : {}


# id : NWRW1800000029.277.1.1
박주영이 신혼여행 미룬 까닭은...

박주영이	박주영/NNP+이/JKS
신혼여행	신혼여행/NNG
미룬	미루/VV+ㄴ/ETM
까닭은...	까닭/NNG+은/JX+.../SE


# id : NWRW1800000029.277.2.1
내달 15일 박지성 자선경기 출전… 한중일 축구스타 총출동

내달	내달/NNG
15일	15/SN+일/NNB
박지성	박지성/NNP
자선경기	자선/NNG+경기/NNG
출전…	출전/NNG+…/SE
한중일	한중일/NNP
축구스타	축구/NNG+스타/NNG
총출동	총출동/NNG


# id : NWRW1800000029.277.3.1
다혈질로 유명한 리웨이펑(33·톈진 테다)도 자선경기에서는 좀 부드러워질까.

다혈질로	다혈질/NNG+로/JKB
유명한	유명/NNG+하/XSA+ㄴ/ETM
리웨이펑(33·톈진	리웨이펑/NNP+(/SS+33/SN+·/SP+톈진/NNP
테다)도	테다/NNP+)/SS+도/JX
자선경기에서는	자선/NNG+경기/NNG+에서/JKB+는/JX
좀	좀/MAG
부드러워질까.	부드럽/VA+어/EC+지/VX+ㄹ까/EF+./SF


# id : NWRW1800000029.277.3.2
중국 축구의 풍운아인 그가 한국 축구의 슈퍼스타 박지성(30·맨체스터 유나이티드)이 마련하는 자선 축구경기에 출전한다.

중국	중국/NNP
축구의	축구/NNG+의/JKG
풍운아인	풍운아/NNG+이/VCP+ㄴ/ETM
그가	그/NP+가/JKS
한국	한국/NNP
슈퍼스타	슈퍼스타/NNG
박지성(30·맨체스터	박지성/NNP+(/SS+30/SN+·/SP+맨체스터/NNP
유나이티드)이	유나이티드/NNP+)/SS+이/JKS
마련하는	마련/NNG+하/XSV+는/ETM
자선	자선/NNG
축구경기에	축구/NNG+경기/NNG+에/JKB
출전한다.	출전/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.277.4.1
박지성이 설립한 사회공헌재단 제이에스파운데이션은 6월 15일 베트남 호찌민 통?

박지성이	박지성/NNP+이/JKS
설립한	설립/NNG+하/XSV+ㄴ/ETM
사회공헌재단	사회/NNG+공헌/NNG+재단/NNG
제이에스파운데이션은	제이에스파운데이션/NNP+은/JX
6월	6/SN+월/NNB
15일	15/SN+일/NNB
베트남	베트남/NNP
호찌민	호찌민/NNP
통?	통/NA+?/SF


# id : NWRW1800000029.277.4.2
경기장에서 열리는 자선경기 ‘아시안 드림컵’에 중국 국가대표 수비수 리웨이펑이 합류한다고 17일 밝혔다.

경기장에서	경기장/NNG+에서/JKB
열리는	열리/VV+는/ETM
자선경기	자선/NNG+경기/NNG
‘아시안	‘/SS+아시안/NNP
드림컵’에	드림컵/NNG+’/SS+에/JKB
중국	중국/NNP
국가대표	국가/NNG+대표/NNG
수비수	수비수/NNG
리웨이펑이	리웨이펑/NNP+이/JKS
합류한다고	합류/NNG+하/XSV+ㄴ다고/EC
17일	17/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.277.5.1
리웨이펑은 2006년 상하이 선화 시절 아시아 챔피언스리그 8강 2차전에서 넘어진 전북 선수의 배를 걷어차 퇴장당하는가 하면 선수의 멱살을 잡거나 심판에게 거친 말을 쏟아 부어 수없이 경고를 받고 퇴장당했던 그라운드의 터프가이.

리웨이펑은	리웨이펑/NNP+은/JX
2006년	2006/SN+년/NNB
상하이	상하이/NNP
선화	선화/NNP
시절	시절/NNG
아시아	아시아/NNP
챔피언스리그	챔피언스리그/NNG
8강	8/SN+강/NNB
2차전에서	2/SN+차전/NNB+에서/JKB
넘어진	넘어지/VV+ㄴ/ETM
전북	전북/NNP
선수의	선수/NNG+의/JKG
배를	배/NNG+를/JKO
걷어차	걷어차/VV+아/EC
퇴장당하는가	퇴장/NNG+당하/XSV+는가/EF
하면	하/VV+면/EC
멱살을	멱살/NNG+을/JKO
잡거나	잡/VV+거나/EC
심판에게	심판/NNG+에게/JKB
거친	거칠/VA+ㄴ/ETM
말을	말/NNG+을/JKO
쏟아	쏟/VV+아/EC
부어	붓/VV+어/EC
수없이	수없이/MAG
경고를	경고/NNG+를/JKO
받고	받/VV+고/EC
퇴장당했던	퇴장/NNG+당하/XSV+았/EP+던/ETM
그라운드의	그라운드/NNG+의/JKG
터프가이.	터프가이/NNG+./SF


# id : NWRW1800000029.277.5.2
그러나 뛰어난 수비 능력으로 중국 축구의 핵심 축을 이루었던 선수다.

그러나	그러나/MAJ
뛰어난	뛰어나/VA+ㄴ/ETM
수비	수비/NNG
능력으로	능력/NNG+으로/JKB
중국	중국/NNP
축구의	축구/NNG+의/JKG
핵심	핵심/NNG
축을	축/NNG+을/JKO
이루었던	이루/VV+었/EP+던/ETM
선수다.	선수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.277.6.1
이탈리아 AS 로마 등에서 뛰었던 일본 축구의 영웅 나카다 히데토시(34·은퇴)는 박지성의 부름에 다시 그라운드를 밟는다.

이탈리아	이탈리아/NNP
AS	AS/SL
로마	로마/NNP
등에서	등/NNB+에서/JKB
뛰었던	뛰/VV+었/EP+던/ETM
일본	일본/NNP
축구의	축구/NNG+의/JKG
영웅	영웅/NNG
나카다	나카다/NNP
히데토시(34·은퇴)는	히데토시/NNP+(/SS+34/SN+·/SP+은퇴/NNG+)/SS+는/JX
박지성의	박지성/NNP+의/JKG
부름에	부름/NNG+에/JKB
다시	다시/MAG
그라운드를	그라운드/NNG+를/JKO
밟는다.	밟/VV+는다/EF+./SF


# id : NWRW1800000029.277.6.2
2002년 한일 월드컵에서 일본의 16강 진출을 이끌었던 그는 2006년 7월 자신의 홈페이지에 장문의 글을 남기고 돌연 은퇴를 선언한 뒤 환경운동가로 지내왔다.

2002년	2002/SN+년/NNB
한일	한일/NNP
월드컵에서	월드컵/NNG+에서/JKB
일본의	일본/NNP+의/JKG
16강	16/SN+강/NNB
진출을	진출/NNG+을/JKO
이끌었던	이끌/VV+었/EP+던/ETM
그는	그/NP+는/JX
2006년	2006/SN+년/NNB
7월	7/SN+월/NNB
자신의	자신/NNG+의/JKG
홈페이지에	홈페이지/NNG+에/JKB
장문의	장문/NNG+의/JKG
글을	글/NNG+을/JKO
남기고	남기/VV+고/EC
돌연	돌연/MAG
은퇴를	은퇴/NNG+를/JKO
선언한	선언/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
환경운동가로	환경/NNG+운동가/NNG+로/JKB
지내왔다.	지내/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.277.7.1
박지성에게서 국가대표 주장 완장을 물려받은 박주영(26·AS 모나코)은 6월 12일 결혼 날짜를 잡았지만 신혼여행을 미루고 이 경기에 참가한다.

박지성에게서	박지성/NNP+에게서/JKB
국가대표	국가/NNG+대표/NNG
주장	주장/NNG
완장을	완장/NNG+을/JKO
물려받은	물려받/VV+은/ETM
박주영(26·AS	박주영/NNP+(/SS+26/SN+·/SP+AS/SL
모나코)은	모나코/NNP+)/SS+은/JX
6월	6/SN+월/NNB
12일	12/SN+일/NNB
결혼	결혼/NNG
날짜를	날짜/NNG+를/JKO
잡았지만	잡/VV+았/EP+지만/EC
신혼여행을	신혼여행/NNG+을/JKO
미루고	미루/VV+고/EC
이	이/MMD
경기에	경기/NNG+에/JKB
참가한다.	참가/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.277.7.2
이로써 이 경기에는 파트리스 에브라(30·맨체스터 유나이티드) 정조국(27·오세르) 이영표(34·알 힐랄) 마쓰이 다이스케(30·그르노블) 정대세(27·보훔) 등의 참가가 확정됐다.

이로써	이/NP+로써/JKB
이	이/MMD
경기에는	경기/NNG+에/JKB+는/JX
파트리스	파트리스/NNP
에브라(30·맨체스터	에브라/NNP+(/SS+30/SN+·/SP+맨체스터/NNP
유나이티드)	유나이티드/NNP+)/SS
정조국(27·오세르)	정조국/NNP+(/SS+27/SN+·/SP+오세르/NNP+)/SS
이영표(34·알	이영표/NNP+(/SS+34/SN+·/SP+알/NNP
힐랄)	힐랄/NNP+)/SS
마쓰이	마쓰이/NNP
다이스케(30·그르노블)	다이스케/NNP+(/SS+30/SN+·/SP+그르노블/NNP+)/SS
정대세(27·보훔)	정대세/NNP+(/SS+27/SN+·/SP+보훔/NNP+)/SS
등의	등/NNB+의/JKG
참가가	참가/NNG+가/JKS
확정됐다.	확정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.277.7.3
박지성과 초청 선수들은 한 팀을 이루어 베트남 올스타와 대결한다.

박지성과	박지성/NNP+과/JC
초청	초청/NNG
선수들은	선수/NNG+들/XSN+은/JX
한	한/MMN
팀을	팀/NNG+을/JKO
이루어	이루/VV+어/EC
베트남	베트남/NNP
올스타와	올스타/NNG+와/JKB
대결한다.	대결/NNG+하/XSV+ㄴ다/EF+./SF


