# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.275
metadata : {}


# id : NWRW1800000028.275.1.1
‘후세인의 입’ 아지즈 “미국, 이라크 사지로 몰아넣어”

‘후세인의	‘/SS+후세인/NNP+의/JKG
입’	입/NNG+’/SS
아지즈	아지즈/NNP
“미국,	“/SS+미국/NNP+,/SP
이라크	이라크/NNP
사지로	사지/NNG+로/JKB
몰아넣어”	몰아넣/VV+어/EF+”/SS


# id : NWRW1800000028.275.2.1
“(버락 오바마 미국 대통령은) 이라크를 늑대들에게 몰아넣고 있다.”

“(버락	“/SS+(/SS+버락/NNP
오바마	오바마/NNP
미국	미국/NNP
대통령은)	대통령/NNG+은/JX+)/SS
이라크를	이라크/NNP+를/JKO
늑대들에게	늑대/NNG+들/XSN+에게/JKB
몰아넣고	몰아넣/VV+고/EC
있다.”	있/VX+다/EF+./SF+”/SS


# id : NWRW1800000028.275.3.1
사담 후세인 정권의 입 노릇을 했던 타리크 아지즈 전 이라크 부총리가 5일 영국 <가디언>과의 옥중 인터뷰에서, 오바마 대통령의 미군 철군 계획을 비난했다.

사담	사담/NNP
후세인	후세인/NNP
정권의	정권/NNG+의/JKG
입	입/NNG
노릇을	노릇/NNG+을/JKO
했던	하/VV+았/EP+던/ETM
타리크	타리크/NNP
아지즈	아지즈/NNP
전	전/MMD
이라크	이라크/NNP
부총리가	부총리/NNG+가/JKS
5일	5/SN+일/NNB
영국	영국/NNP
<가디언>과의	</SS+가디언/NNP+>/SS+과/JKB+의/JKG
옥중	옥중/NNG
인터뷰에서,	인터뷰/NNG+에서/JKB+,/SP
오바마	오바마/NNP
대통령의	대통령/NNG+의/JKG
미군	미군/NNG
철군	철군/NNG
계획을	계획/NNG+을/JKO
비난했다.	비난/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.275.3.2
아지즈는 2003년 바그다드 함락 이후 처음으로 한 이 인터뷰에서 “오바마 대통령의 당선을 반겼다”며, 미군이 이라크에서 철수하지 말 것을 요청했다.

아지즈는	아지즈/NNP+는/JX
2003년	2003/SN+년/NNB
바그다드	바그다드/NNP
함락	함락/NNG
이후	이후/NNG
처음으로	처음/NNG+으로/JKB
한	하/VV+ㄴ/ETM
이	이/MMD
인터뷰에서	인터뷰/NNG+에서/JKB
“오바마	“/SS+오바마/NNP
대통령의	대통령/NNG+의/JKG
당선을	당선/NNG+을/JKO
반겼다”며,	반기/VV+었/EP+다/EF+”/SS+며/EC+,/SP
미군이	미군/NNG+이/JKS
이라크에서	이라크/NNP+에서/JKB
철수하지	철수/NNG+하/XSV+지/EC
말	말/VX+ㄹ/ETM
것을	것/NNB+을/JKO
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.275.3.3
미군은 이달 말까지 이라크에서 전투병력을 모두 철군할 예정이다.

미군은	미군/NNG+은/JX
이달	이달/NNG
말까지	말/NNB+까지/JX
이라크에서	이라크/NNP+에서/JKB
전투병력을	전투/NNG+병력/NNG+을/JKO
모두	모두/MAG
철군할	철군/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.275.3.4
그는 “(미군이) 떠나면 안 된다.

그는	그/NP+는/JX
“(미군이)	“/SS+(/SS+미군/NNG+이/JKS+)/SS
떠나면	떠나/VV+면/EC
안	안/MAG
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.275.3.5
이라크를 죽음으로 몰고 갈 것이다”라고 말했다.

이라크를	이라크/NNP+를/JKO
죽음으로	죽음/NNG+으로/JKB
몰고	몰/VV+고/EC
갈	가/VV+ㄹ/ETM
것이다”라고	것/NNB+이/VCP+다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.275.4.1
그는 미군 철수를 반대하면서도, 후세인 정권 시절에 대한 향수를 보였다.

그는	그/NP+는/JX
미군	미군/NNG
철수를	철수/NNG+를/JKO
반대하면서도,	반대/NNG+하/XSV+면서/EC+도/JX+,/SP
후세인	후세인/NNP
정권	정권/NNG
시절에	시절/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
향수를	향수/NNG+를/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.275.4.2
“지금 이라크엔 아무것도 없다. 사담이 30년 동안 이라크를 건설했는데, 지금은 모두 파괴됐다. 우리 모두는 미국과 영국의 희생자다. 그들은 우리나라를 죽였다”고 말했다.

“지금	“/SS+지금/MAG
이라크엔	이라크/NNP+에/JKB+ㄴ/JX
아무것도	아무것/NNG+도/JX
없다.	없/VA+다/EF+./SF
사담이	사담/NNP+이/JKS
30년	30/SN+년/NNB
동안	동안/NNG
이라크를	이라크/NNP+를/JKO
건설했는데,	건설/NNG+하/XSV+았/EP+는데/EC+,/SP
지금은	지금/NNG+은/JX
모두	모두/MAG
파괴됐다.	파괴/NNG+되/XSV+었/EP+다/EF+./SF
우리	우리/NP
모두는	모두/NNG+는/JX
미국과	미국/NNP+과/JC
영국의	영국/NNP+의/JKG
희생자다.	희생자/NNG+이/VCP+다/EF+./SF
그들은	그/NP+들/XSN+은/JX
우리나라를	우리나라/NNG+를/JKO
죽였다”고	죽이/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.275.5.1
영어 교사 출신인 아지즈 전 부총리는 1991년 걸프전 때 외무장관으로 후세인 정권을 대외적으로 대변해 ‘미스터 이라크’란 별명을 얻었다.

영어	영어/NNP
교사	교사/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
아지즈	아지즈/NNP
전	전/MMD
부총리는	부총리/NNG+는/JX
1991년	1991/SN+년/NNB
걸프전	걸프전/NNG
때	때/NNG
외무장관으로	외무/NNG+장관/NNG+으로/JKB
후세인	후세인/NNP
정권을	정권/NNG+을/JKO
대외적으로	대외/NNG+적/XSN+으로/JKB
대변해	대변/NNG+하/XSV+아/EC
‘미스터	‘/SS+미스터/NNP
이라크’란	이라크/NNP+’/SS+이/VCP+란/ETM
별명을	별명/NNG+을/JKO
얻었다.	얻/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.275.5.2
1992년 상인 40여명을 처형한 것에 연관된 혐의 등으로 징역 15년형을 받았으며, 현재 바그다드 서부 감옥에 갇혀 있다.

1992년	1992/SN+년/NNB
상인	상인/NNG
40여명을	40/SN+여/XSN+명/NNB+을/JKO
처형한	처형/NNG+하/XSV+ㄴ/ETM
것에	것/NNB+에/JKB
연관된	연관/NNG+되/XSV+ㄴ/ETM
혐의	혐의/NNG
등으로	등/NNB+으로/JKB
징역	징역/NNG
15년형을	15/SN+년/NNB+형/NNG+을/JKO
받았으며,	받/VV+았/EP+으며/EC+,/SP
현재	현재/MAG
바그다드	바그다드/NNP
서부	서부/NNG
감옥에	감옥/NNG+에/JKB
갇혀	갇히/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.275.6.1
미국이 이라크에 대량파괴무기가 있다고 의심하도록 방치한 이유에 대해 그는 이란을 경계하기 위한 것이었다고 설명했다.

미국이	미국/NNP+이/JKS
이라크에	이라크/NNP+에/JKB
대량파괴무기가	대량/NNG+파괴/NNG+무기/NNG+가/JKS
있다고	있/VA+다고/EC
의심하도록	의심/NNG+하/XSV+도록/EC
방치한	방치/NNG+하/XSV+ㄴ/ETM
이유에	이유/NNG+에/JKB
대해	대하/VV+아/EC
그는	그/NP+는/JX
이란을	이란/NNP+을/JKO
경계하기	경계/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
것이었다고	것/NNB+이/VCP+었/EP+다고/EC
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.275.6.2
“이라크는 이란과 8년 전쟁을 했다. 사담은 자존심이 센 인물이었고, 이라크의 존엄을 지키고자 했다. 자신이 틀리지도 약하지도 않다는 것을 보여주고 싶어했다”고 말했다.

“이라크는	“/SS+이라크/NNP+는/JX
이란과	이란/NNP+과/JKB
8년	8/SN+년/NNB
전쟁을	전쟁/NNG+을/JKO
했다.	하/VX+았/EP+다/EF+./SF
사담은	사담/NNP+은/JX
자존심이	자존심/NNG+이/JKS
센	세/VA+ㄴ/ETM
인물이었고,	인물/NNG+이/VCP+었/EP+고/EC+,/SP
이라크의	이라크/NNP+의/JKG
존엄을	존엄/NNG+을/JKO
지키고자	지키/VV+고자/EC
자신이	자신/NNG+이/JKS
틀리지도	틀리/VV+지/EC+도/JX
약하지도	약하/VA+지/EC+도/JX
않다는	않/VX+다는/ETM
것을	것/NNB+을/JKO
보여주고	보이/VV+어/EC+주/VX+고/EC
싶어했다”고	싶/VX+어/EC+하/VX+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.275.6.3
후세인 전 대통령도 생전에 미군 심문에서 “이란이 이라크 남부를 침공할 것을 우려해 대량파괴무기가 있는 것처럼 행동했다”고 증언한 적이 있다.

후세인	후세인/NNP
전	전/MMD
대통령도	대통령/NNG+도/JX
생전에	생전/NNG+에/JKB
미군	미군/NNG
심문에서	심문/NNG+에서/JKB
“이란이	“/SS+이란/NNP+이/JKS
이라크	이라크/NNP
남부를	남부/NNG+를/JKO
침공할	침공/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
우려해	우려/NNG+하/XSV+아/EC
대량파괴무기가	대량/NNG+파괴/NNG+무기/NNG+가/JKS
있는	있/VA+는/ETM
것처럼	것/NNB+처럼/JKB
행동했다”고	행동/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
증언한	증언/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
있다.	있/VA+다/EF+./SF


