# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.241
metadata : {}


# id : NWRW1800000025.241.1.1
“한국금리 4%가 적당”

“한국금리	“/SS+한국/NNP+금리/NNG
4%가	4/SN+%/SW+가/JKS
적당”	적당/XR+”/SS


# id : NWRW1800000025.241.2.1
국제통화기금(IMF)은 1일(현지 시간) 한국의 적정 기준금리를 4% 내외로 밝혀 현재 2.25%인 기준금리를 추가 인상해야 함을 시사했다.

국제통화기금(IMF)은	국제통화기금/NNP+(/SS+IMF/SL+)/SS+은/JX
1일(현지	1/SN+일/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
한국의	한국/NNP+의/JKG
적정	적정/NNG
기준금리를	기준/NNG+금리/NNG+를/JKO
4%	4/SN+%/SW
내외로	내외/NNG+로/JKB
밝혀	밝히/VV+어/EC
현재	현재/MAG
2.25%인	2/SN+./SP+25/SN+%/SW+이/VCP+ㄴ/ETM
추가	추가/NNG
인상해야	인상/NNG+하/XSV+아야/EC
함을	하/VX+ㅁ/ETN+을/JKO
시사했다.	시사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.241.2.2
또 올해 경제성장률을 기존 5.75%에서 6.1%로 상향조정했다.

또	또/MAG
올해	올해/NNG
경제성장률을	경제/NNG+성장/NNG+률/XSN+을/JKO
기존	기존/NNG
5.75%에서	5/SN+./SP+75/SN+%/SW+에서/JKB
6.1%로	6/SN+./SP+1/SN+%/SW+로/JKB
상향조정했다.	상향/NNG+조정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.241.3.1
IMF는 이 같은 내용을 담은 연례협의 결과 보고서를 1일 발표했다.

IMF는	IMF/SL+는/JX
이	이/NP
같은	같/VA+은/ETM
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
연례협의	연례/NNG+협의/NNG
결과	결과/NNG
보고서를	보고서/NNG+를/JKO
1일	1/SN+일/NNB
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.241.3.2
수비르 랄 IMF 한국과장은 “한국은행이 7월 초 금리를 인상했지만 추가 인상의 여지가 있다”며 “(적정금리는) 4% 내외로 본다”고 말했다.

수비르	수비르/NNP
랄	랄/NNP
IMF	IMF/SL
한국과장은	한국/NNP+과장/NNG+은/JX
“한국은행이	“/SS+한국은행/NNP+이/JKS
7월	7/SN+월/NNB
초	초/NNB
금리를	금리/NNG+를/JKO
인상했지만	인상/NNG+하/XSV+았/EP+지만/EC
추가	추가/NNG
인상의	인상/NNG+의/JKG
여지가	여지/NNB+가/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
“(적정금리는)	“/SS+(/SS+적정/NNG+금리/NNG+는/JX+)/SS
4%	4/SN+%/SW
내외로	내외/NNG+로/JKB
본다”고	보/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.241.3.3
한국은행은 7월 9일 금융위기 이후 처음으로 기준금리를 2.25%로 인상했다.

한국은행은	한국은행/NNP+은/JX
7월	7/SN+월/NNB
9일	9/SN+일/NNB
금융위기	금융/NNG+위기/NNG
이후	이후/NNG
처음으로	처음/NNG+으로/JKB
기준금리를	기준/NNG+금리/NNG+를/JKO
2.25%로	2/SN+./SP+25/SN+%/SW+로/JKB
인상했다.	인상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.241.4.1
IMF는 “물가안정이 한국은행의 주된 목표지만 좀 더 자유재량을 주는 방향으로 역할을 넓히는 것을 고려해 봐야 한다”고 조언했다.

IMF는	IMF/SL+는/JX
“물가안정이	“/SS+물가/NNG+안정/NNG+이/JKS
한국은행의	한국은행/NNP+의/JKG
주된	주/NNG+되/XSV+ㄴ/ETM
목표지만	목표/NNG+이/VCP+지만/EC
좀	좀/MAG
더	더/MAG
자유재량을	자유/NNG+재량/NNG+을/JKO
주는	주/VV+는/ETM
방향으로	방향/NNG+으로/JKB
역할을	역할/NNG+을/JKO
넓히는	넓히/VV+는/ETM
것을	것/NNB+을/JKO
고려해	고려/NNG+하/XSV+아/EC
봐야	보/VV+아야/EC
