# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.218
metadata : {}


# id : NWRW1800000024.218.1.1
‘독도는 내게 맡겨라’ /독도평화호 오늘 취항

‘독도는	‘/SS+독도/NNP+는/JX
내게	나/NP+에게/JKB
맡겨라’	맡기/VV+어라/EF+’/SS
/독도평화호	//SP+독도평화호/NNP
오늘	오늘/NNG
취항	취항/NNG


# id : NWRW1800000024.218.2.1
독도 관리 전용선인 독도평화호가 26일 진수식을 열고 취항한다.

독도	독도/NNP
관리	관리/NNG
전용선인	전용선/NNG+이/VCP+ㄴ/ETM
독도평화호가	독도평화호/NNP+가/JKS
26일	26/SN+일/NNB
진수식을	진수식/NNG+을/JKO
열고	열/VV+고/EC
취항한다.	취항/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.218.3.1
경북도는 이날 오전 11시 울릉군 울릉읍 사동항에서 우리 기술로 만든 독도 관리 전용선인 독도평화호 진수식을 연다.

경북도는	경북도/NNP+는/JX
이날	이날/NNG
오전	오전/NNG
11시	11/SN+시/NNB
울릉군	울릉군/NNP
울릉읍	울릉읍/NNP
사동항에서	사동항/NNP+에서/JKB
우리	우리/NP
기술로	기술/NNG+로/JKB
만든	만들/VV+ㄴ/ETM
독도	독도/NNP
관리	관리/NNG
전용선인	전용선/NNG+이/VCP+ㄴ/ETM
독도평화호	독도평화호/NNP
진수식을	진수식/NNG+을/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.218.3.2
진수식에는 국토해양부 장관과 이상득·원유철 국회의원, 김관용 경북도지사, 독도 관련 단체와 울릉주민 등 300여명이 참석할 예정이다.

진수식에는	진수식/NNG+에/JKB+는/JX
국토해양부	국토/NNG+해양부/NNG
장관과	장관/NNG+과/JC
이상득·원유철	이상득/NNP+·/SP+원유철/NNP
국회의원,	국회/NNG+의원/NNG+,/SP
김관용	김관용/NNP
경북도지사,	경북/NNP+도지사/NNG+,/SP
독도	독도/NNP
