# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.279
metadata : {}


# id : NWRW1800000025.279.1.1
지난 주말 서울 6개 대학가 수시 논술 ‘대란’

지난	지나/VV+ㄴ/ETM
주말	주말/NNG
서울	서울/NNP
6개	6/SN+개/NNB
대학가	대학가/NNG
수시	수시/NNG
논술	논술/NNG
‘대란’	‘/SS+대란/NNG+’/SS


# id : NWRW1800000025.279.2.1
“원래 오후 4시 신촌이 이렇게 붐비나?”

“원래	“/SS+원래/MAG
오후	오후/NNG
4시	4/SN+시/NNB
신촌이	신촌/NNP+이/JKS
이렇게	이렇/VA+게/EC
붐비나?”	붐비/VV+나/EF+?/SF+”/SS


# id : NWRW1800000025.279.3.1
주말인 2일 서울 서대문구 창천동 연세대 정문 앞 명물거리를 찾은 시민들은 거리를 가득 메운 인파에 깜짝 놀랐다.

주말인	주말/NNG+이/VCP+ㄴ/ETM
2일	2/SN+일/NNB
서울	서울/NNP
서대문구	서대문구/NNP
창천동	창천동/NNP
연세대	연세대/NNP
정문	정문/NNG
앞	앞/NNG
명물거리를	명물거리/NNP+를/JKO
찾은	찾/VV+은/ETM
시민들은	시민/NNG+들/XSN+은/JX
거리를	거리/NNG+를/JKO
가득	가득/MAG
메운	메우/VV+ㄴ/ETM
인파에	인파/NNG+에/JKB
깜짝	깜짝/MAG
놀랐다.	놀라/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.279.3.2
이날 연세대가 오전 9시, 오후 1시, 4시 반에 사회과학·인문·이공계열 1차 수시모집 논술고사를 각각 치르면서 수험생과 학부모 수만 명이 몰렸기 때문이다.

이날	이날/NNG
연세대가	연세대/NNP+가/JKS
오전	오전/NNG
9시,	9/SN+시/NNB+,/SP
오후	오후/NNG
1시,	1/SN+시/NNB+,/SP
4시	4/SN+시/NNB
반에	반/NNG+에/JKB
사회과학·인문·이공계열	사회/NNG+과학/NNG+·/SP+인문/NNG+·/SP+이공/NNG+계열/NNG
1차	1/SN+차/NNB
수시모집	수시/NNG+모집/NNG
논술고사를	논술/NNG+고사/NNG+를/JKO
각각	각각/MAG
치르면서	치르/VV+면서/EC
수험생과	수험/NNG+생/XSN+과/JC
학부모	학부모/NNG
수만	수만/NR
명이	명/NNB+이/JKS
몰렸기	몰리/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.279.3.3
건국대 경희대 숭실대 한국외국어대 등 4개 대학도 같은 날 논술고사를 치렀다.

건국대	건국대/NNP
경희대	경희대/NNP
숭실대	숭실대/NNP
한국외국어대	한국외국어대/NNP
등	등/NNB
4개	4/SN+개/NNB
대학도	대학/NNG+도/JX
같은	같/VA+은/ETM
날	날/NNG
논술고사를	논술/NNG+고사/NNG+를/JKO
치렀다.	치르/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.279.3.4
일요일인 3일에도 경희대와 이화여대의 수시 논술고사가 이어지면서 주말 내내 서울 시내는 극심한 혼잡을 빚었다.

일요일인	일요일/NNG+이/VCP+ㄴ/ETM
3일에도	3/SN+일/NNB+에/JKB+도/JX
경희대와	경희대/NNP+와/JC
이화여대의	이화여대/NNP+의/JKG
수시	수시/NNG
논술고사가	논술/NNG+고사/NNG+가/JKS
이어지면서	이어지/VV+면서/EC
주말	주말/NNG
내내	내내/MAG
서울	서울/NNP
시내는	시내/NNG+는/JX
극심한	극심하/VA+ㄴ/ETM
혼잡을	혼잡/NNG+을/JKO
빚었다.	빚/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.279.4.1
○ 대학 인근 도로와 가게 종일 붐벼

○	○/SW
대학	대학/NNG
인근	인근/NNG
도로와	도로/NNG+와/JC
가게	가게/NNG
종일	종일/MAG
붐벼	붐비/VV+어/EF


# id : NWRW1800000025.279.5.1
시험 당일 해당 학교 앞은 ‘시장골목’을 방불케 했다.

시험	시험/NNG
당일	당일/NNG
해당	해당/NNG
학교	학교/NNG
앞은	앞/NNG+은/JX
‘시장골목’을	‘/SS+시장/NNG+골목/NNG+’/SS+을/JKO
방불케	방불하/VA+게/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.279.5.2
연세대 앞은 2일 4만2000여 명의 응시자로 하루 종일 북적였다.

연세대	연세대/NNP
앞은	앞/NNG+은/JX
2일	2/SN+일/NNB
4만2000여	4/SN+만/NR+2000/SN+여/XSN
명의	명/NNB+의/JKG
응시자로	응시자/NNG+로/JKB
하루	하루/NNG
종일	종일/MAG
북적였다.	북적이/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.279.5.3
이틀에 나눠 시험을 치른 건국대와 경희대도 하루에만 각각 1만5000여 명이 몰렸다.

이틀에	이틀/NNG+에/JKB
나눠	나누/VV+어/EC
시험을	시험/NNG+을/JKO
치른	치르/VV+ㄴ/ETM
건국대와	건국대/NNP+와/JC
경희대도	경희대/NNP+도/JX
하루에만	하루/NNG+에/JKB+만/JX
각각	각각/MAG
1만5000여	1/SN+만/NR+5000/SN+여/XSN
명이	명/NNB+이/JKS
몰렸다.	몰리/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.279.5.4
서울 동대문구 이문동의 한국외국어대와 회기동의 경희대는 지리적으로 인접한 데다 시험일이 겹치면서 더욱 혼잡했다.

서울	서울/NNP
동대문구	동대문구/NNP
이문동의	이문동/NNP+의/JKG
한국외국어대와	한국외국어대/NNP+와/JC
회기동의	회기동/NNP+의/JKG
경희대는	경희대/NNP+는/JX
지리적으로	지리/NNG+적/XSN+으로/JKB
인접한	인접/NNG+하/XSV+ㄴ/ETM
데다	데/NNB+다/JX
시험일이	시험일/NNG+이/JKS
겹치면서	겹치/VV+면서/EC
더욱	더욱/MAG
혼잡했다.	혼잡/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000025.279.5.5
동대문구청 측은 “평소보다 배에 가까운 주차위반 차량을 단속했다”고 전했다.

동대문구청	동대문구청/NNP
측은	측/NNB+은/JX
“평소보다	“/SS+평소/NNG+보다/JKB
배에	배/NNG+에/JKB
가까운	가깝/VA+ㄴ/ETM
주차위반	주차/NNG+위반/NNG
차량을	차량/NNG+을/JKO
단속했다”고	단속/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.279.6.1
대학 앞 가게들은 종일 만석이었다.

대학	대학/NNG
앞	앞/NNG
가게들은	가게/NNG+들/XSN+은/JX
종일	종일/MAG
만석이었다.	만석/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.279.6.2
연세대 바로 앞에 있는 한 카페는 개점도 하기 전인 오전 9시 평소에는 보기 힘든 40, 50대 중년 손님이 수십 명씩 줄을 서 기다리는 모습을 볼 수 있었다.

연세대	연세대/NNP
바로	바로/MAG
앞에	앞/NNG+에/JKB
있는	있/VA+는/ETM
한	한/MMN
카페는	카페/NNG+는/JX
개점도	개점/NNG+도/JX
하기	하/VV+기/ETN
전인	전/NNG+이/VCP+ㄴ/ETM
오전	오전/NNG
9시	9/SN+시/NNB
평소에는	평소/NNG+에/JKB+는/JX
보기	보/VV+기/ETN
힘든	힘들/VA+ㄴ/ETM
40,	40/SN+,/SP
50대	50/SN+대/NNB
중년	중년/NNG
손님이	손/NNG+님/XSN+이/JKS
수십	수십/NR
명씩	명/NNB+씩/XSN
줄을	줄/NNG+을/JKO
서	서/VV+어/EC
기다리는	기다리/VV+는/ETM
모습을	모습/NNG+을/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000025.279.7.1
○ ‘바가지요금’ 퀵서비스 오토바이도 등장

○	○/SW
‘바가지요금’	‘/SS+바가지요금/NNG+’/SS
퀵서비스	퀵서비스/NNG
오토바이도	오토바이/NNG+도/JX
등장	등장/NNG


# id : NWRW1800000025.279.8.1
여러 대학 시험일이 겹치면서 많은 수험생이 빠른 이동을 위해 ‘퀵서비스’ 오토바이를 이용하는 모습도 볼 수 있었다.

여러	여러/MMN
대학	대학/NNG
시험일이	시험일/NNG+이/JKS
겹치면서	겹치/VV+면서/EC
많은	많/VA+은/ETM
수험생이	수험/NNG+생/XSN+이/JKS
빠른	빠르/VA+ㄴ/ETM
이동을	이동/NNG+을/JKO
위해	위하/VV+아/EC
‘퀵서비스’	‘/SS+퀵서비스/NNG+’/SS
오토바이를	오토바이/NNG+를/JKO
이용하는	이용/NNG+하/XSV+는/ETM
모습도	모습/NNG+도/JX
볼	보/VV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000025.279.8.2
건국대에서 논술시험을 치른 딸을 태우고 한국외국어대까지 왔다는 최모 씨(44)는 시험 시작 15분을 남기고 지하철 1호선 외대역앞 지하차도에 도착했지만 교통정체로 차가 꼼짝도 안 하자 어쩔 수 없이 오토바이를 불렀다.

건국대에서	건국대/NNP+에서/JKB
논술시험을	논술/NNG+시험/NNG+을/JKO
치른	치르/VV+ㄴ/ETM
딸을	딸/NNG+을/JKO
태우고	태우/VV+고/EC
