# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.71
metadata : {}


# id : NWRW1800000054.71.1.1
"광개토태왕, 鐵로 제국 건설한 정복왕이자 경영자"

"광개토태왕,	"/SS+광개토/NNP+태왕/NNG+,/SP
鐵로	鐵/SH+로/JKB
제국	제국/NNG
건설한	건설/NNG+하/XSV+ㄴ/ETM
정복왕이자	정복왕/NNG+이/VCP+자/EC
경영자"	경영자/NNG+"/SS


# id : NWRW1800000054.71.2.1
역사소설 '광개토태왕' 낸 손정미… 中·중앙아시아 돌며 고대사 취재

역사소설	역사/NNG+소설/NNG
'광개토태왕'	'/SS+광개토/NNP+태왕/NNG+'/SS
낸	내/VV+ㄴ/ETM
손정미…	손정미/NNP+…/SE
中·중앙아시아	中/SH+·/SP+중앙아시아/NNP
돌며	돌/VV+며/EC
고대사	고대사/NNG
취재	취재/NNG


# id : NWRW1800000054.71.3.1
"광개토태왕은 철(鐵)의 리더십을 보여줬다.

"광개토태왕은	"/SS+광개토/NNP+태왕/NNG+은/JX
철(鐵)의	철/NNG+(/SS+鐵/SH+)/SS+의/JKG
리더십을	리더십/NNG+을/JKO
보여줬다.	보이/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000054.71.3.2
철기 제작의 비법을 연구해 당시 최첨단 무기로 군사력을 강화했을 뿐 아니라 철을 수출하는 대외 무역을 독려해 중앙아시아까지 무역로를 개척한 최고 경영자이기도 했다."

철기	철기/NNG
제작의	제작/NNG+의/JKG
비법을	비법/NNG+을/JKO
연구해	연구/NNG+하/XSV+아/EC
당시	당시/NNG
최첨단	최/XPN+첨단/NNG
무기로	무기/NNG+로/JKB
군사력을	군사력/NNG+을/JKO
강화했을	강화/NNG+하/XSV+았/EP+을/ETM
뿐	뿐/NNB
아니라	아니/VCN+라/EC
철을	철/NNG+을/JKO
수출하는	수출/NNG+하/XSV+는/ETM
대외	대외/NNG
무역을	무역/NNG+을/JKO
독려해	독려/NNG+하/XSV+아/EC
중앙아시아까지	중앙아시아/NNP+까지/JX
무역로를	무역로/NNG+를/JKO
개척한	개척/NNG+하/XSV+ㄴ/ETM
최고	최고/NNG
경영자이기도	경영자/NNG+이/VCP+기/ETN+도/JX
했다."	하/VX+았/EP+다/EF+./SF+"/SS


# id : NWRW1800000054.71.4.1
역사소설 '광개토태왕'(전 2권·마음서재)을 낸 소설가 손정미씨는 "광개토태왕이 어떻게 해서 그 넓은 영토를 정복한 군주가 됐는지 궁금해 지난 3년 동안 탐구해가면서 쓴 소설"이라며 "중국과 중앙아시아 지역을 돌아다니며 잃어버린 고대사를 취재했다"고 말했다.

역사소설	역사/NNG+소설/NNG
'광개토태왕'(전	'/SS+광개토/NNP+태왕/NNG+'/SS+(/SS+전/MMN
2권·마음서재)을	2/SN+권/NNB+·/SP+마음서재/NNP+)/SS+을/JKO
낸	내/VV+ㄴ/ETM
소설가	소설가/NNG
손정미씨는	손정미/NNP+씨/NNB+는/JX
"광개토태왕이	"/SS+광개토/NNP+태왕/NNG+이/JKS
어떻게	어떻/VA+게/EC
해서	하/VV+아서/EC
그	그/MMD
넓은	넓/VA+은/ETM
영토를	영토/NNG+를/JKO
정복한	정복/NNG+하/XSV+ㄴ/ETM
군주가	군주/NNG+가/JKS
됐는지	되/VV+었/EP+는지/EC
궁금해	궁금하/VA+아/EC
지난	지나/VV+ㄴ/ETM
3년	3/SN+년/NNB
동안	동안/NNG
탐구해가면서	탐구/NNG+하/XSV+아/EC+가/VX+면서/EC
쓴	쓰/VV+ㄴ/ETM
소설"이라며	소설/NNG+"/SS+이/VCP+라며/EC
"중국과	"/SS+중국/NNP+과/JC
중앙아시아	중앙아시아/NNP
지역을	지역/NNG+을/JKO
돌아다니며	돌아다니/VV+며/EC
잃어버린	잃어버리/VV+ㄴ/ETM
고대사를	고대사/NNG+를/JKO
취재했다"고	취재/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.71.4.2
광개토대왕을 '왕중의 왕'인 태왕(太王)으로 부른 손씨는 "실제로 광개토태왕은 살아서 '영락 태왕'으로 불리기도 했다"고 강조했다.

광개토대왕을	광개토/NNP+대왕/NNG+을/JKO
'왕중의	'/SS+왕/NNG+중/NNB+의/JKG
왕'인	왕/NNG+'/SS+이/VCP+ㄴ/ETM
태왕(太王)으로	태왕/NNG+(/SS+太王/SH+)/SS+으로/JKB
부른	부르/VV+ㄴ/ETM
손씨는	손/NNP+씨/NNB+는/JX
"실제로	"/SS+실제로/MAG
광개토태왕은	광개토/NNP+태왕/NNG+은/JX
살아서	살/VV+아서/EC
'영락	'/SS+영락/NNP
태왕'으로	태왕/NNG+'/SS+으로/JKB
불리기도	불리/VV+기/ETN+도/JX
했다"고	하/VX+았/EP+다/EF+"/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.71.5.1
손씨의 소설은 광개토태왕이 17세에 즉위해 37세로 세상을 뜨기까지의 생애를 때로는 역사소설처럼, 때로는 환상소설처럼 그려냈다.

손씨의	손/NNP+씨/NNB+의/JKG
소설은	소설/NNG+은/JX
광개토태왕이	광개토/NNP+태왕/NNG+이/JKS
17세에	17/SN+세/NNB+에/JKB
즉위해	즉위/NNG+하/XSV+아/EC
37세로	37/SN+세/NNB+로/JKB
세상을	세상/NNG+을/JKO
뜨기까지의	뜨/VV+기/ETN+까지/JX+의/JKG
생애를	생애/NNG+를/JKO
때로는	때로/MAG+는/JX
역사소설처럼,	역사/NNG+소설/NNG+처럼/JKB+,/SP
환상소설처럼	환상/NNG+소설/NNG+처럼/JKB
그려냈다.	그리/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000054.71.5.2
태왕이 정복 군주가 돼 활약하는 과정은 사료에 바탕을 뒀지만, 태왕이 하늘의 영체(靈體)와 접하는 순간을 비롯해 고구려를 이상향으로 그린 부분에선 단군 신화와 도교(道敎)의 상상력을 떠올리게 한다.

태왕이	태왕/NNG+이/JKS
정복	정복/NNG
군주가	군주/NNG+가/JKS
돼	되/VV+어/EC
활약하는	활약/NNG+하/XSV+는/ETM
과정은	과정/NNG+은/JX
사료에	사료/NNG+에/JKB
바탕을	바탕/NNG+을/JKO
뒀지만,	두/VV+었/EP+지만/EC+,/SP
하늘의	하늘/NNG+의/JKG
영체(靈體)와	영체/NNG+(/SS+靈體/SH+)/SS+와/JKB
접하는	접하/VV+는/ETM
순간을	순간/NNG+을/JKO
비롯해	비롯하/VV+아/EC
고구려를	고구려/NNP+를/JKO
이상향으로	이상향/NNG+으로/JKB
그린	그리/VV+ㄴ/ETM
