# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.455
metadata : {}


# id : NWRW1800000028.455.1.1
권익위, 면허취소 중장비 기사 구제 검토

권익위,	권익위/NNG+,/SP
면허취소	면허/NNG+취소/NNG
중장비	중장비/NNG
기사	기사/NNG
구제	구제/NNG
검토	검토/NNG


# id : NWRW1800000028.455.2.1
정해진 교육을 제대로 이수하지 않았다는 이유로 3300여명의 중장비 면허 소지자들이 무더기로 면허 취소 통보를 받은 사태(<한겨레> 22일치 9면)와 관련해, 국민권익위원회(권익위)가 해당 중장비 기사들을 선별해 구제하는 방안을 검토하고 제도 개선도 추진하고 나섰다.

정해진	정하/VV+아/EC+지/VX+ㄴ/ETM
교육을	교육/NNG+을/JKO
제대로	제대로/MAG
이수하지	이수/NNG+하/XSV+지/EC
않았다는	않/VX+았/EP+다는/ETM
이유로	이유/NNG+로/JKB
3300여명의	3300/SN+여/XSN+명/NNB+의/JKG
중장비	중장비/NNG
면허	면허/NNG
소지자들이	소지자/NNG+들/XSN+이/JKS
무더기로	무더기/NNG+로/JKB
취소	취소/NNG
통보를	통보/NNG+를/JKO
받은	받/VV+은/ETM
사태(<한겨레>	사태/NNG+(/SS+</SS+한겨레/NNP+>/SS
22일치	22/SN+일/NNB+치/NNB
9면)와	9/SN+면/NNG+)/SS+와/JKB
관련해,	관련/NNG+하/XSV+아/EC+,/SP
국민권익위원회(권익위)가	국민/NNG+권익/NNG+위원회/NNG+(/SS+권익위/NNG+)/SS+가/JKS
해당	해당/NNG
기사들을	기사/NNG+들/XSN+을/JKO
선별해	선별/NNG+하/XSV+아/EC
구제하는	구제/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
검토하고	검토/NNG+하/XSV+고/EC
제도	제도/NNG
개선도	개선/NNG+도/JX
추진하고	추진/NNG+하/XSV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.455.3.1
권익위는 24일 “소형 건설기계 면허증의 부정 발급을 차단하기 위한 제도 개선을 추진하고 있다”며 “국토해양부와 고용노동부, 지방자치단체, 건설기계단체 등과 한차례 토론을 벌였으며, 관계 부처와 이해관계자들의 의견을 수렴해 내년 2월께 주무 부처인 국토부에 의견서를 전달할 계획”이라고 밝혔다.

권익위는	권익위/NNG+는/JX
24일	24/SN+일/NNB
“소형	“/SS+소형/NNG
건설기계	건설/NNG+기계/NNG
면허증의	면허증/NNG+의/JKG
부정	부정/NNG
발급을	발급/NNG+을/JKO
차단하기	차단/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
제도	제도/NNG
개선을	개선/NNG+을/JKO
추진하고	추진/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“국토해양부와	“/SS+국토/NNG+해양부/NNG+와/JC
고용노동부,	고용/NNG+노동부/NNG+,/SP
지방자치단체,	지방/NNG+자치/NNG+단체/NNG+,/SP
건설기계단체	건설/NNG+기계/NNG+단체/NNG
등과	등/NNB+과/JKB
한차례	한차례/NNG
토론을	토론/NNG+을/JKO
벌였으며,	벌이/VV+었/EP+으며/EC+,/SP
관계	관계/NNG
부처와	부처/NNG+와/JC
이해관계자들의	이해관계자/NNG+들/XSN+의/JKG
의견을	의견/NNG+을/JKO
수렴해	수렴/NNG+하/XSV+아/EC
내년	내년/NNG
2월께	2/SN+월/NNB+께/XSN
주무	주무/NNG
부처인	부처/NNG+이/VCP+ㄴ/ETM
국토부에	국토부/NNG+에/JKB
의견서를	의견서/NNG+를/JKO
전달할	전달/NNG+하/XSV+ㄹ/ETM
계획”이라고	계획/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.455.4.1
권익위는 이번에 문제가 불거진 소형 건설기계 면허에 대해서도 자격 시험을 치르게 하는 방안 등을 검토하고 있는 것으로 알려졌다.

권익위는	권익위/NNG+는/JX
이번에	이번/NNG+에/JKB
문제가	문제/NNG+가/JKS
불거진	불거지/VV+ㄴ/ETM
소형	소형/NNG
건설기계	건설/NNG+기계/NNG
면허에	면허/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
자격	자격/NNG
시험을	시험/NNG+을/JKO
치르게	치르/VV+게/EC
하는	하/VX+는/ETM
방안	방안/NNG
등을	등/NNB+을/JKO
검토하고	검토/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.455.4.2
현재는 지게차나 굴착기 등 소형 건설기계는 학원에서 일정 교육을 받으면 면허를 받을 수 있게 돼 있지만, 학원의 장비가 현행 교육 규정을 충실히 이행하기 어려울 정도로 열악해 문제를 낳고 있다.

현재는	현재/NNG+는/JX
지게차나	지게차/NNG+나/JC
굴착기	굴착기/NNG
등	등/NNB
소형	소형/NNG
건설기계는	건설/NNG+기계/NNG+는/JX
학원에서	학원/NNG+에서/JKB
일정	일정/NNG
교육을	교육/NNG+을/JKO
받으면	받/VV+으면/EC
면허를	면허/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있게	있/VA+게/EC
돼	되/VV+어/EC
있지만,	있/VX+지만/EC+,/SP
학원의	학원/NNG+의/JKG
장비가	장비/NNG+가/JKS
현행	현행/NNG
교육	교육/NNG
규정을	규정/NNG+을/JKO
충실히	충실히/MAG
이행하기	이행/NNG+하/XSV+기/ETN
어려울	어렵/VA+ㄹ/ETM
정도로	정도/NNG+로/JKB
열악해	열악하/VA+아/EC
문제를	문제/NNG+를/JKO
낳고	낳/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.455.5.1
하지만 국토부는 자격 시험 방안에 난색을 표하고 있다.

하지만	하지만/MAJ
국토부는	국토부/NNG+는/JX
자격	자격/NNG
시험	시험/NNG
방안에	방안/NNG+에/JKB
난색을	난색/NNG+을/JKO
표하고	표/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.455.5.2
신민수 국토부 건설인력기재과 사무관은 “소형 건설기계의 경우 공사 현장에서만 작동이 이뤄지고 크기도 작아 큰 사고가 일어날 가능성이 적어 면허 시험이 따로 필요하지 않다는 게 현 제도의 취지”라고 말했다.

신민수	신민수/NNP
국토부	국토부/NNG
건설인력기재과	건설/NNG+인력/NNG+기재과/NNG
사무관은	사무관/NNG+은/JX
“소형	“/SS+소형/NNG
건설기계의	건설/NNG+기계/NNG+의/JKG
경우	경우/NNG
공사	공사/NNG
현장에서만	현장/NNG+에서/JKB+만/JX
작동이	작동/NNG+이/JKS
이뤄지고	이뤄지/VV+고/EC
크기도	크기/NNG+도/JX
작아	작/VA+아/EC
큰	크/VA+ㄴ/ETM
사고가	사고/NNG+가/JKS
일어날	일어나/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
적어	적/VA+어/EC
면허	면허/NNG
시험이	시험/NNG+이/JKS
따로	따로/MAG
필요하지	필요/NNG+하/XSA+지/EC
않다는	않/VX+다는/ETM
게	거/NNB+이/JKS
현	현/MMD
제도의	제도/NNG+의/JKG
취지”라고	취지/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.455.5.3
한편 권익위는 이번 사태로 면허 취소를 통보받은 3300여명의 중장비 기사들이 구제받을 수 있는 방안에 대해 관계 부처와 협의중이다.

한편	한편/MAG
권익위는	권익위/NNG+는/JX
이번	이번/NNG
사태로	사태/NNG+로/JKB
면허	면허/NNG
취소를	취소/NNG+를/JKO
통보받은	통보/NNG+받/XSV+은/ETM
3300여명의	3300/SN+여/XSN+명/NNB+의/JKG
중장비	중장비/NNG
기사들이	기사/NNG+들/XSN+이/JKS
구제받을	구제/NNG+받/XSV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
방안에	방안/NNG+에/JKB
대해	대하/VV+아/EC
관계	관계/NNG
부처와	부처/NNG+와/JKB
협의중이다.	협의/NNG+중/NNB+이/VCP+다/EF+./SF


