# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.128
metadata : {}


# id : NWRW1800000044.128.1.1
피카소·이우환 등 작품 일본서 수집해 국내에 1만점 기증‘한국미술계 숨은 은인’ 하정웅씨 에세이 냈다

피카소·이우환	피카소/NNP+·/SP+이우환/NNP
등	등/NNB
작품	작품/NNG
일본서	일본/NNP+서/JKB
수집해	수집/NNG+하/XSV+아/EC
국내에	국내/NNG+에/JKB
1만점	1/SN+만/NR+점/NNB
기증‘한국미술계	기증/NNG+‘/SS+한국/NNP+미술/NNG+계/XSN
숨은	숨/VV+은/ETM
은인’	은인/NNG+’/SS
하정웅씨	하정웅/NNP+씨/NNB
에세이	에세이/NNG
냈다	내/VV+었/EP+다/EF


# id : NWRW1800000044.128.2.1
[한겨레] 자서전 성격 ‘날마다 한 걸음’ 출간

[한겨레]	[/SS+한겨레/NNP+]/SS
자서전	자서전/NNG
성격	성격/NNG
‘날마다	‘/SS+날/NNG+마다/JX
한	한/MMN
걸음’	걸음/NNG+’/SS
출간	출간/NNG


# id : NWRW1800000044.128.3.1
“한-일 미술 잇는 다리로 남을 것”

“한-일	“/SS+한-일/NNP
미술	미술/NNG
잇는	잇/VV+는/ETM
다리로	다리/NNG+로/JKB
남을	남/VV+을/ETM
것”	것/NNB+”/SS


# id : NWRW1800000044.128.4.1
“과거에도 그랬고, 앞으로도 저는 ‘다리’로 남을 겁니다.

“과거에도	“/SS+과거/NNG+에/JKB+도/JX
그랬고,	그렇/VA+었/EP+고/EC+,/SP
앞으로도	앞/NNG+으로/JKB+도/JX
저는	저/NP+는/JX
‘다리’로	‘/SS+다리/NNG+’/SS+로/JKB
남을	남/VV+을/ETM
겁니다.	거/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000044.128.4.2
수집과 기증으로 한국과 일본의 미술계를 잇는 튼튼한 다리 말이지요.

수집과	수집/NNG+과/JC
기증으로	기증/NNG+으로/JKB
한국과	한국/NNP+과/JC
일본의	일본/NNP+의/JKG
미술계를	미술/NNG+계/XSN+를/JKO
잇는	잇/VV+는/ETM
튼튼한	튼튼하/VA+ㄴ/ETM
다리	다리/NNG
말이지요.	말/NNG+이/VCP+지요/EF+./SF


# id : NWRW1800000044.128.4.3
제가 수집한 그림들에서 조국의 역사를 배웠습니다.”

제가	제/NP+가/JKS
수집한	수집/NNG+하/XSV+ㄴ/ETM
그림들에서	그림/NNG+들/XSN+에서/JKB
조국의	조국/NNG+의/JKG
역사를	역사/NNG+를/JKO
배웠습니다.”	배우/VV+었/EP+습니다/EF+./SF+”/SS


# id : NWRW1800000044.128.5.1
재일동포 사업가이자 수집가인 하정웅(75)씨는 한국 미술계의 숨은 은인으로 꼽힌다.

재일동포	재일/NNG+동포/NNG
사업가이자	사업가/NNG+이/VCP+자/EC
수집가인	수집가/NNG+이/VCP+ㄴ/ETM
하정웅(75)씨는	하정웅/NNP+(/SS+75/SN+)/SS+씨/NNB+는/JX
한국	한국/NNP
미술계의	미술/NNG+계/XSN+의/JKG
숨은	숨/VV+은/ETM
은인으로	은인/NNG+으로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.128.5.2
거장 이우환씨를 비롯해 전화황, 곽덕준 등 재일한국인 작가들과 피카소, 샤갈 등 서양거장들 작품을 수십년간 일본에서 모아 국내 미술관에 1만점 이상 조건 없이 기부해왔다.

거장	거장/NNG
이우환씨를	이우환/NNP+씨/NNB+를/JKO
비롯해	비롯하/VV+아/EC
전화황,	전화황/NNP+,/SP
곽덕준	곽덕준/NNP
등	등/NNB
재일한국인	재일/NNG+한국인/NNG
작가들과	작가/NNG+들/XSN+과/JC
피카소,	피카소/NNP+,/SP
샤갈	샤갈/NNP
서양거장들	서양/NNG+거장/NNG+들/XSN
작품을	작품/NNG+을/JKO
수십년간	수십/NR+년/NNB+간/XSN
일본에서	일본/NNP+에서/JKB
모아	모으/VV+아/EC
국내	국내/NNG
미술관에	미술관/NNG+에/JKB
1만점	1/SN+만/NR+점/NNB
이상	이상/NNG
조건	조건/NNG
없이	없이/MAG
기부해왔다.	기부/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.128.5.3
이런 메세나(사회공헌) 사업으로 일본과의 미술 교류에 디딤돌을 놓았다는 평가다.

이런	이런/MMD
메세나(사회공헌)	메세나/NNG+(/SS+사회/NNG+공헌/NNG+)/SS
사업으로	사업/NNG+으로/JKB
일본과의	일본/NNP+과/JKB+의/JKG
미술	미술/NNG
교류에	교류/NNG+에/JKB
디딤돌을	디딤돌/NNG+을/JKO
놓았다는	놓/VV+았/EP+다는/ETM
평가다.	평가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.128.5.4
아울러 일제강점기에 징용돼 강제노동을 하다 숨진 조선인들의 원혼을 위로하는 사업을 벌여왔고, 광주에 시각장애인복지관을 건립하는 등 복지사업을 후원하기도 했다.

아울러	아울러/MAG
일제강점기에	일제/NNG+강점기/NNG+에/JKB
징용돼	징용/NNG+되/XSV+어/EC
강제노동을	강제/NNG+노동/NNG+을/JKO
하다	하/VV+다/EC
숨진	숨지/VV+ㄴ/ETM
