# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.112
metadata : {}


# id : NWRW1800000026.112.1.1
[천안함 침몰 / 北 잠수정 미스테리]"천안함 절단면 칼로 자른듯 깨끗"'어뢰·기뢰 수중 폭발설' 힘 받아

[천안함	[/SS+천안함/NNP
침몰	침몰/NNG
/	//SP
北	北/SH
잠수정	잠수정/NNG
미스테리]"천안함	미스테리/NNG+]/SS+"/SS+천안함/NNP
절단면	절단면/NNG
칼로	칼/NNG+로/JKB
자른듯	자르/VV+ㄴ/ETM+듯/NNB
깨끗"'어뢰·기뢰	깨끗/XR+"/SS+'/SS+어뢰/NNG+·/SP+기뢰/NNG
수중	수중/NNG
폭발설'	폭발설/NNG+'/SS
힘	힘/NNG
받아	받/VV+아/EF


# id : NWRW1800000026.112.2.1
천안함 침몰 원인과 관련해 군이 명확한 분석을 내놓지 못하고 있는 가운데 "천안함 절단면이 수직으로 깨끗하게 잘렸다"는 주장이 나왔다.

천안함	천안함/NNP
침몰	침몰/NNG
원인과	원인/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
군이	군/NNG+이/JKS
명확한	명확하/VA+ㄴ/ETM
분석을	분석/NNG+을/JKO
내놓지	내놓/VV+지/EC
못하고	못하/VX+고/EC
있는	있/VX+는/ETM
가운데	가운데/NNG
"천안함	"/SS+천안함/NNP
절단면이	절단면/NNG+이/JKS
수직으로	수직/NNG+으로/JKB
깨끗하게	깨끗하/VA+게/EC
잘렸다"는	잘리/VV+었/EP+다/EF+"/SS+는/ETM
주장이	주장/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.112.2.2
해군 측은 "아직 확인된 사실이 아니다"고 밝혔다.

해군	해군/NNG
측은	측/NNB+은/JX
"아직	"/SS+아직/MAG
확인된	확인/NNG+되/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKC
아니다"고	아니/VCN+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.112.2.3
전문가들은 단편적인 몇가지 사실만으로 원인을 파악하기는 힘들다면서 어뢰나 기뢰로 인한 수중폭발로도 일부 절단면이 깨끗하게 나타날 수 있다고 했다.

전문가들은	전문가/NNG+들/XSN+은/JX
단편적인	단편/NNG+적/XSN+이/VCP+ㄴ/ETM
몇가지	몇/NR+가지/NNB
사실만으로	사실/NNG+만/JX+으로/JKB
원인을	원인/NNG+을/JKO
파악하기는	파악/NNG+하/XSV+기/ETN+는/JX
힘들다면서	힘들/VA+다면서/EC
어뢰나	어뢰/NNG+나/JC
기뢰로	기뢰/NNG+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
수중폭발로도	수중/NNG+폭발/NNG+로/JKB+도/JX
일부	일부/NNG
절단면이	절단면/NNG+이/JKS
깨끗하게	깨끗하/VA+게/EC
나타날	나타나/VV+ㄹ/ETM
수	수/NNB
