# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.22
metadata : {}


# id : NWRW1800000033.22.1.1
고소득 근로자 조세부담, 지난해 크게 늘었다

고소득	고/XPN+소득/NNG
근로자	근로자/NNG
조세부담,	조세/NNG+부담/NNG+,/SP
지난해	지난해/NNG
크게	크/VA+게/EC
늘었다	늘/VV+었/EP+다/EF


# id : NWRW1800000033.22.2.1
증가폭 OECD 국가 상위권… 건강보험 등 지출 증가 영향

증가폭	증가/NNG+폭/NNG
OECD	OECD/SL
국가	국가/NNG
상위권…	상위/NNG+권/XSN+…/SE
건강보험	건강/NNG+보험/NNG
등	등/NNB
지출	지출/NNG
증가	증가/NNG
영향	영향/NNG


# id : NWRW1800000033.22.3.1
지난해 한국 근로자의 소득세와 사회보험료 등 조세 부담 증가폭이 경제협력개발기구(OECD) 회원국 중에서 상대적으로 컸던 것으로 나타났다.

지난해	지난해/NNG
한국	한국/NNP
근로자의	근로자/NNG+의/JKG
소득세와	소득세/NNG+와/JC
사회보험료	사회/NNG+보험료/NNG
등	등/NNB
조세	조세/NNG
부담	부담/NNG
증가폭이	증가/NNG+폭/NNG+이/JKS
경제협력개발기구(OECD)	경제협력개발기구/NNP+(/SS+OECD/SL+)/SS
회원국	회원국/NNG
중에서	중/NNB+에서/JKB
상대적으로	상대/NNG+적/XSN+으로/JKB
컸던	크/VA+었/EP+던/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.22.3.2
특히 최근 1년간 고소득층의 조세부담은 재정위기로 세율을 올린 일부 유럽 국가를 제외하면 사실상 가장 많이 늘어난 것으로 분석됐다.

특히	특히/MAG
최근	최근/MAG
1년간	1/SN+년/NNB+간/XSN
고소득층의	고/XPN+소득/NNG+층/XSN+의/JKG
조세부담은	조세/NNG+부담/NNG+은/JX
재정위기로	재정/NNG+위기/NNG+로/JKB
세율을	세율/NNG+을/JKO
올린	올리/VV+ㄴ/ETM
일부	일부/NNG
유럽	유럽/NNP
국가를	국가/NNG+를/JKO
제외하면	제외/NNG+하/XSV+면/EC
사실상	사실/NNG+상/XSN
가장	가장/MAG
많이	많이/MAG
늘어난	늘어나/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
분석됐다.	분석/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.22.3.3
저출산 고령화로 건강보험과 장기요양보험 등 사회보험료 지출이 급증한 영향이 컸다.

저출산	저/XPN+출산/NNG
고령화로	고령/NNG+화/XSN+로/JKB
건강보험과	건강/NNG+보험/NNG+과/JC
장기요양보험	장기/NNG+요양/NNG+보험/NNG
등	등/NNB
사회보험료	사회/NNG+보험료/NNG
지출이	지출/NNG+이/JKS
급증한	급증/NNG+하/XSV+ㄴ/ETM
영향이	영향/NNG+이/JKS
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000033.22.4.1
7일 OECD가 발간한 ‘2011년 임금 과세’ 보고서에 따르면 지난해 한국의 무자녀 독신자 평균 근로소득 대비 조세부담은 20.3%로 전년보다 0.55%포인트, 2자녀 가구의 평균 조세부담은 17.9%로 0.40%포인트 각각 높아졌다.

7일	7/SN+일/NNB
OECD가	OECD/SL+가/JKS
발간한	발간/NNG+하/XSV+ㄴ/ETM
‘2011년	‘/SS+2011/SN+년/NNB
임금	임금/NNG
과세’	과세/NNG+’/SS
보고서에	보고서/NNG+에/JKB
따르면	따르/VV+면/EC
지난해	지난해/NNG
한국의	한국/NNP+의/JKG
무자녀	무/XPN+자녀/NNG
독신자	독신자/NNG
평균	평균/NNG
근로소득	근로/NNG+소득/NNG
대비	대비/NNG
조세부담은	조세/NNG+부담/NNG+은/JX
20.3%로	20/SN+./SP+3/SN+%/SW+로/JKB
전년보다	전년/NNG+보다/JKB
0.55%포인트,	0/SN+./SP+55/SN+%포인트/NNG+,/SP
2자녀	2/SN+자녀/NNG
가구의	가구/NNG+의/JKG
17.9%로	17/SN+./SP+9/SN+%/SW+로/JKB
0.40%포인트	0/SN+./SP+40/SN+%포인트/NNG
각각	각각/MAG
높아졌다.	높아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.22.5.1
조세부담은 근로소득 중 소득세 건강보험 국민연금 등 사회보험료가 차지하는 비율로 조세부담이 클수록 근로자가 내는 세금과 사회보험료가 늘어 실제 쓸 수 있는 돈은 줄어든다.

조세부담은	조세/NNG+부담/NNG+은/JX
근로소득	근로/NNG+소득/NNG
중	중/NNB
소득세	소득세/NNG
건강보험	건강/NNG+보험/NNG
국민연금	국민연금/NNG
등	등/NNB
사회보험료가	사회/NNG+보험료/NNG+가/JKS
차지하는	차지/NNG+하/XSV+는/ETM
비율로	비율/NNG+로/JKB
조세부담이	조세/NNG+부담/NNG+이/JKS
클수록	크/VA+ㄹ수록/EC
근로자가	근로자/NNG+가/JKS
내는	내/VV+는/ETM
세금과	세금/NNG+과/JC
늘어	늘/VV+어/EC
실제	실제/MAG
쓸	쓰/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
돈은	돈/NNG+은/JX
줄어든다.	줄어들/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.22.5.2
OECD의 이번 조사는 전일제 근로자를 대상으로 했다.

OECD의	OECD/SL+의/JKG
이번	이번/NNG
조사는	조사/NNG+는/JX
전일제	전일/NNG+제/XSN
근로자를	근로자/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.22.6.1
지난해 OECD 34개 회원국의 평균 조세부담은 무자녀 독신자를 기준으로 35.2%, 자녀가 2명 있는 가구는 25.0%로 한국보다 높지만 전년 대비 상승폭은 각각 0.31%포인트, 0.27%포인트로 한국보다 낮았다.

지난해	지난해/NNG
OECD	OECD/SL
34개	34/SN+개/NNB
회원국의	회원국/NNG+의/JKG
평균	평균/NNG
조세부담은	조세/NNG+부담/NNG+은/JX
무자녀	무/XPN+자녀/NNG
독신자를	독신자/NNG+를/JKO
기준으로	기준/NNG+으로/JKB
35.2%,	35/SN+./SP+2/SN+%/SW+,/SP
자녀가	자녀/NNG+가/JKS
2명	2/SN+명/NNB
있는	있/VA+는/ETM
가구는	가구/NNG+는/JX
25.0%로	25/SN+./SP+0/SN+%/SW+로/JKB
한국보다	한국/NNP+보다/JKB
높지만	높/VA+지만/EC
전년	전년/NNG
대비	대비/NNG
상승폭은	상승/NNG+폭/NNG+은/JX
각각	각각/MAG
0.31%포인트,	0/SN+./SP+31/SN+%포인트/NNG+,/SP
0.27%포인트로	0/SN+./SP+27/SN+%포인트/NNG+로/JKB
낮았다.	낮/VA+았/EP+다/EF+./SF


# id : NWRW1800000033.22.7.1
특히 한국은 다른 OECD 국가들과 달리 고소득층의 조세부담이 저소득층보다 크게 높아진 것으로 나타났다.

특히	특히/MAG
한국은	한국/NNP+은/JX
다른	다른/MMD
OECD	OECD/SL
국가들과	국가/NNG+들/XSN+과/JKB
달리	달리/MAG
고소득층의	고/XPN+소득/NNG+층/XSN+의/JKG
조세부담이	조세/NNG+부담/NNG+이/JKS
저소득층보다	저/XPN+소득/NNG+층/XSN+보다/JKB
크게	크/VA+게/EC
높아진	높아지/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.22.7.2
무자녀 독신자 중 저소득층(평균소득의 67%)의 조세부담은 17.7%로 전년보다 0.46%포인트 오른 데 비해 고소득층(평균소득의 167%)은 22.2%로 0.59%포인트 높아진 것.

무자녀	무/XPN+자녀/NNG
독신자	독신자/NNG
중	중/NNB
저소득층(평균소득의	저/XPN+소득/NNG+층/XSN+(/SS+평균/NNG+소득/NNG+의/JKG
67%)의	67/SN+%/SW+)/SS+의/JKG
조세부담은	조세/NNG+부담/NNG+은/JX
17.7%로	17/SN+./SP+7/SN+%/SW+로/JKB
전년보다	전년/NNG+보다/JKB
0.46%포인트	0/SN+./SP+46/SN+%포인트/NNG
오른	오르/VV+ㄴ/ETM
데	데/NNB
비해	비/NNG+하/XSV+아/EC
고소득층(평균소득의	고/XPN+소득/NNG+층/XSN+(/SS+평균/NNG+소득/NNG+의/JKG
167%)은	167/SN+%/SW+)/SS+은/JX
22.2%로	22/SN+./SP+2/SN+%/SW+로/JKB
0.59%포인트	0/SN+./SP+59/SN+%포인트/NNG
높아진	높아지/VV+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000033.22.7.3
2자녀 가구의 경우에도 고소득층의 조세부담은 전년보다 0.42%포인트, 저소득층은 0.40%포인트 각각 올랐다.

2자녀	2/SN+자녀/NNG
가구의	가구/NNG+의/JKG
경우에도	경우/NNG+에/JKB+도/JX
고소득층의	고/XPN+소득/NNG+층/XSN+의/JKG
조세부담은	조세/NNG+부담/NNG+은/JX
전년보다	전년/NNG+보다/JKB
0.42%포인트,	0/SN+./SP+42/SN+%포인트/NNG+,/SP
저소득층은	저/XPN+소득/NNG+층/XSN+은/JX
0.40%포인트	0/SN+./SP+40/SN+%포인트/NNG
각각	각각/MAG
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.22.8.1
무자녀 독신자 중 고소득층 조세부담이 한국보다 높아진 곳은 재정위기를 겪고 있는 아이슬란드(2.12%포인트), 포르투갈(1.96%포인트), 이탈리아(0.86%포인트) 등 6개국에 불과했다.

무자녀	무/XPN+자녀/NNG
독신자	독신자/NNG
중	중/NNB
고소득층	고/XPN+소득/NNG+층/XSN
조세부담이	조세/NNG+부담/NNG+이/JKS
한국보다	한국/NNP+보다/JKB
높아진	높아지/VV+ㄴ/ETM
곳은	곳/NNG+은/JX
재정위기를	재정/NNG+위기/NNG+를/JKO
겪고	겪/VV+고/EC
있는	있/VX+는/ETM
아이슬란드(2.12%포인트),	아이슬란드/NNP+(/SS+2/SN+./SP+12/SN+%포인트/NNG+)/SS+,/SP
포르투갈(1.96%포인트),	포르투갈/NNP+(/SS+1/SN+./SP+96/SN+%포인트/NNG+)/SS+,/SP
이탈리아(0.86%포인트)	이탈리아/NNP+(/SS+0/SN+./SP+86/SN+%포인트/NNG+)/SS
등	등/NNB
6개국에	6/SN+개국/NNB+에/JKB
불과했다.	불과/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000033.22.9.1
이처럼 한국 고소득층의 조세부담이 높아진 것은 저출산 고령화의 영향으로 지난해 고소득자의 건강보험료 상한액이 상향 조정(월 186만 원→220만 원)되는 등 고소득자 중심으로 사회보험료 지출이 증가한 데 따른 것으로 보인다.

이처럼	이/NP+처럼/JKB
한국	한국/NNP
고소득층의	고/XPN+소득/NNG+층/XSN+의/JKG
조세부담이	조세/NNG+부담/NNG+이/JKS
높아진	높아지/VV+ㄴ/ETM
것은	것/NNB+은/JX
저출산	저/XPN+출산/NNG
고령화의	고령/NNG+화/XSN+의/JKG
영향으로	영향/NNG+으로/JKB
지난해	지난해/NNG
고소득자의	고소득자/NNG+의/JKG
건강보험료	건강/NNG+보험료/NNG
상한액이	상한액/NNG+이/JKS
상향	상향/NNG
조정(월	조정/NNG+(/SS+월/NNG
186만	186/SN+만/NR
원→220만	원/NNB+→/SW+220/SN+만/NR
원)되는	원/NNB+)/SS+되/XSV+는/ETM
등	등/NNB
고소득자	고소득자/NNG
중심으로	중심/NNG+으로/JKB
사회보험료	사회/NNG+보험료/NNG
지출이	지출/NNG+이/JKS
증가한	증가/NNG+하/XSV+ㄴ/ETM
데	데/NNB
따른	따르/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.22.10.1
한국은 그동안 국민연금 건강보험 장기요양보험 등 사회보험을 확대하면서 저소득층의 조세부담이 고소득층보다 가파르게 증가했다.

한국은	한국/NNP+은/JX
그동안	그동안/NNG
국민연금	국민연금/NNG
건강보험	건강/NNG+보험/NNG
장기요양보험	장기/NNG+요양/NNG+보험/NNG
등	등/NNB
사회보험을	사회/NNG+보험/NNG+을/JKO
확대하면서	확대/NNG+하/XSV+면서/EC
저소득층의	저/XPN+소득/NNG+층/XSN+의/JKG
조세부담이	조세/NNG+부담/NNG+이/JKS
고소득층보다	고/XPN+소득/NNG+층/XSN+보다/JKB
가파르게	가파르/VA+게/EC
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.22.10.2
실제로 무자녀 독신자 기준 저소득층의 조세부담은 2000년 대비 2010년에 2.3% 늘어났지만 고소득층은 1.4% 증가하는 데 그쳤다.

