# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.37
metadata : {}


# id : NWRW1800000046.37.1.1
다시, 힐러리

다시,	다시/MAG+,/SP
힐러리	힐러리/NNP


# id : NWRW1800000046.37.2.1
전국 조사서 샌더스 압도… 말 한마디에 주가도 출렁, 바이든 불출마… 호재 작용

전국	전국/NNG
조사서	조사/NNG+서/JKB
샌더스	샌더스/NNP
압도…	압도/NNG+…/SE
말	말/NNG
한마디에	한마디/NNG+에/JKB
주가도	주가/NNG+도/JX
출렁,	출렁/MAG+,/SP
바이든	바이든/NNP
불출마…	불/XPN+출마/NNG+…/SE
호재	호재/NNG
작용	작용/NNG


# id : NWRW1800000046.37.3.1
"약값 바가지는 격분할 만한 일"이라고 하자 제약사들 주가가 급락하고, 여론조사 지지율은 42%에 달하고….

"약값	"/SS+약값/NNG
바가지는	바가지/NNG+는/JX
격분할	격분/NNG+하/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
일"이라고	일/NNG+"/SS+이라고/JKQ
하자	하/VV+자/EC
제약사들	제약사/NNG+들/XSN
주가가	주가/NNG+가/JKS
급락하고,	급락/NNG+하/XSV+고/EC+,/SP
여론조사	여론/NNG+조사/NNG
지지율은	지지/NNG+율/XSN+은/JX
42%에	42/SN+%/SW+에/JKB
달하고….	달하/VV+고/EC+…/SE+./SF


# id : NWRW1800000046.37.3.2
'힐러리 대세론'이 부활 조짐을 보이고 있다.

'힐러리	'/SS+힐러리/NNP
대세론'이	대세/NNG+론/XSN+'/SS+이/JKS
부활	부활/NNG
조짐을	조짐/NNG+을/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.37.4.1
힐러리 클린턴 전 미 국무장관은 21일(현지 시각) 오전 자신의 트위터에 제약사들의 가격 폭리를 보도한 뉴욕타임스(NYT) 기사를 링크하고 "이에 대한 대책을 내일 중으로 마련할 것"이라고 썼다.

힐러리	힐러리/NNP
클린턴	클린턴/NNP
전	전/MMD
미	미/NNP
국무장관은	국무/NNG+장관/NNG+은/JX
21일(현지	21/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
오전	오전/NNG
자신의	자신/NNG+의/JKG
트위터에	트위터/NNP+에/JKB
제약사들의	제약사/NNG+들/XSN+의/JKG
