# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.314
metadata : {}


# id : NWRW1800000026.314.1.1
[충청] 연휴 비상진료체계 가동

[충청]	[/SS+충청/NNP+]/SS
연휴	연휴/NNG
비상진료체계	비상/NNG+진료/NNG+체계/NNG
가동	가동/NNG


# id : NWRW1800000026.314.2.1
충남도는 21~23일 추석연휴기간 중 주민들의 진료 편의를 위해 당번 병원 및 약국을 지정 운영키로 했다.

충남도는	충남도/NNP+는/JX
21~23일	21/SN+~/SO+23/SN+일/NNB
추석연휴기간	추석/NNG+연휴/NNG+기간/NNG
중	중/NNB
주민들의	주민/NNG+들/XSN+의/JKG
진료	진료/NNG
편의를	편의/NNG+를/JKO
위해	위하/VV+아/EC
당번	당번/NNG
병원	병원/NNG
및	및/MAG
약국을	약국/NNG+을/JKO
지정	지정/NNG
운영키로	운영/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.314.3.1
이에 따라 해당 응급의료기관 지정병원 19개, 당직병원 32개 등 모두 51개 병원이 24시간 진료하고 의원급 의료기관 254개도 번갈아 진료에 나선다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
해당	해당/NNG
응급의료기관	응급/NNG+의료/NNG+기관/NNG
지정병원	지정/NNG+병원/NNG
19개,	19/SN+개/NNB+,/SP
당직병원	당직/NNG+병원/NNG
32개	32/SN+개/NNB
등	등/NNB
모두	모두/MAG
51개	51/SN+개/NNB
병원이	병원/NNG+이/JKS
24시간	24/SN+시간/NNB
진료하고	진료/NNG+하/XSV+고/EC
의원급	의원급/NNG
의료기관	의료/NNG+기관/NNG
254개도	254/SN+개/NNB+도/JX
번갈아	번갈/VV+아/EC
진료에	진료/NNG+에/JKB
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.314.3.2
또 보건소 16개와 보건진료소 158개 등 모두 174개 보건기관도 연휴기간에 진료를 하고 509개 약국도 당번약국으로 지정돼 문을 연다.

또	또/MAG
보건소	보건소/NNG
16개와	16/SN+개/NNB+와/JC
보건진료소	보건/NNG+진료소/NNG
158개	158/SN+개/NNB
등	등/NNB
모두	모두/MAG
174개	174/SN+개/NNB
보건기관도	보건/NNG+기관/NNG+도/JX
연휴기간에	연휴/NNG+기간/NNG+에/JKB
진료를	진료/NNG+를/JKO
하고	하/VV+고/EC
509개	509/SN+개/NNB
약국도	약국/NNG+도/JX
당번약국으로	당번/NNG+약국/NNG+으로/JKB
지정돼	지정/NNG+되/XSV+어/EC
문을	문/NNG+을/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.314.3.3
도는 추석연휴 비상근무 체계를 갖추고 응급환자 발생에 신속히 대처할 방침이다.

도는	도/NNG+는/JX
추석연휴	추석/NNG+연휴/NNG
비상근무	비상근무/NNG
체계를	체계/NNG+를/JKO
갖추고	갖추/VV+고/EC
응급환자	응급/NNG+환자/NNG
발생에	발생/NNG+에/JKB
신속히	신속히/MAG
대처할	대처/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.314.3.4
진료 문의는 응급의료정보센터(☎국번 없이 1339)로 하면 된다.

진료	진료/NNG
문의는	문의/NNG+는/JX
응급의료정보센터(☎국번	응급/NNG+의료/NNG+정보/NNG+센터/NNG+(/SS+☎/SW+국번/NNG
없이	없이/MAG
1339)로	1339/SN+)/SS+로/JKB
하면	하/VV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


