# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.323
metadata : {}


# id : NWRW1800000025.323.1.1
오리온스-김승현 ‘뒷돈 싸움’ 결국 법정으로

오리온스-김승현	오리온스/NNP+-/SO+김승현/NNP
‘뒷돈	‘/SS+뒷돈/NNG
싸움’	싸움/NNG+’/SS
결국	결국/NNG
법정으로	법정/NNG+으로/JKB


# id : NWRW1800000025.323.2.1
지난해 논란이 됐던 프로농구 오리온스 김승현과 구단 간의 연봉 이면 계약에 따른 뒷돈 문제가 결국 법정으로까지 이어졌다.

지난해	지난해/NNG
논란이	논란/NNG+이/JKC
됐던	되/VV+었/EP+던/ETM
프로농구	프로/NNG+농구/NNG
오리온스	오리온스/NNP
김승현과	김승현/NNP+과/JC
구단	구단/NNG
간의	간/NNB+의/JKG
연봉	연봉/NNG
이면	이면/NNG
계약에	계약/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
뒷돈	뒷돈/NNG
문제가	문제/NNG+가/JKS
결국	결국/NNG
법정으로까지	법정/NNG+으로/JKB+까지/JX
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.323.2.2
9일 한국농구연맹(KBL)에 따르면 김승현은 구단과의 이면 계약에 따라 받았어야 할 돈을 아직 다 받지 못했다는 취지의 주장을 하며 9월 20일 구단을 상대로 12억 원의 급여를 청구하는 민사소송을 서울중앙지방법원에 냈다.

9일	9/SN+일/NNB
한국농구연맹(KBL)에	한국농구연맹/NNP+(/SS+KBL/SL+)/SS+에/JKB
따르면	따르/VV+면/EC
김승현은	김승현/NNP+은/JX
구단과의	구단/NNG+과/JKB+의/JKG
이면	이면/NNG
계약에	계약/NNG+에/JKB
따라	따르/VV+아/EC
받았어야	받/VV+았/EP+어야/EC
할	하/VX+ㄹ/ETM
돈을	돈/NNG+을/JKO
아직	아직/MAG
다	다/MAG
받지	받/VV+지/EC
못했다는	못하/VX+았/EP+다는/ETM
취지의	취지/NNG+의/JKG
주장을	주장/NNG+을/JKO
하며	하/VV+며/EC
9월	9/SN+월/NNB
20일	20/SN+일/NNB
구단을	구단/NNG+을/JKO
상대로	상대/NNG+로/JKB
12억	12/SN+억/NR
원의	원/NNB+의/JKG
급여를	급여/NNG+를/JKO
청구하는	청구/NNG+하/XSV+는/ETM
민사소송을	민사/NNG+소송/NNG+을/JKO
서울중앙지방법원에	서울중앙지방법원/NNP+에/JKB
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.323.2.3
국내 프로농구 선수가 구단과의 연봉 마찰로 소송을 낸 것은 이번이 처음이다.

국내	국내/NNG
프로농구	프로/NNG+농구/NNG
선수가	선수/NNG+가/JKS
구단과의	구단/NNG+과/JKB+의/JKG
연봉	연봉/NNG
마찰로	마찰/NNG+로/JKB
소송을	소송/NNG+을/JKO
낸	내/VV+ㄴ/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.323.3.1
김승현은 2006년 정식 계약과는 별도로 매년 10억5000만 원씩, 5년간 총 52억5000만 원을 받기로 했지만 KBL이 인정하지 않는 이 같은 뒷거래가 드러나 이면계약 자체가 없던 일처럼 됐다.

김승현은	김승현/NNP+은/JX
2006년	2006/SN+년/NNB
정식	정식/NNG
계약과는	계약/NNG+과/JKB+는/JX
별도로	별도/NNG+로/JKB
매년	매년/MAG
10억5000만	10/SN+억/NR+5000/SN+만/NR
원씩,	원/NNB+씩/XSN+,/SP
5년간	5/SN+년/NNB+간/XSN
총	총/MMA
52억5000만	52/SN+억/NR+5000/SN+만/NR
원을	원/NNB+을/JKO
받기로	받/VV+기/ETN+로/JKB
했지만	하/VV+았/EP+지만/EC
KBL이	KBL/SL+이/JKS
인정하지	인정/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
이	이/NP
같은	같/VA+은/ETM
뒷거래가	뒷거래/NNG+가/JKS
드러나	드러나/VV+아/EC
이면계약	이면/NNG+계약/NNG
자체가	자체/NNG+가/JKS
없던	없/VA+던/ETM
일처럼	일/NNG+처럼/JKB
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.323.3.2
김승현은 최근 다른 팀으로 트레이드를 시켜 주면 소를 거둬들이겠다고 했으나 감정 다툼 끝에 합의에는 실패한 것으로 알려졌다.

김승현은	김승현/NNP+은/JX
최근	최근/MAG
다른	다른/MMD
팀으로	팀/NNG+으로/JKB
트레이드를	트레이드/NNG+를/JKO
시켜	시키/VV+어/EC
주면	주/VX+면/EC
소를	소/NNG+를/JKO
거둬들이겠다고	거둬들이/VV+겠/EP+다고/EC
했으나	하/VV+았/EP+으나/EC
감정	감정/NNG
다툼	다툼/NNG
끝에	끝/NNG+에/JKB
합의에는	합의/NNG+에/JKB+는/JX
실패한	실패/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.323.3.3
KBL은 이 문제를 다루기 위해 11일 재정위원회를 열기로 했다.

KBL은	KBL/SL+은/JX
이	이/MMD
문제를	문제/NNG+를/JKO
다루기	다루/VV+기/ETN
위해	위하/VV+아/EC
11일	11/SN+일/NNB
재정위원회를	재정/NNG+위원회/NNG+를/JKO
열기로	열/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


