# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.210
metadata : {}


# id : NWRW1800000046.210.1.1
'테니스 샛별' 정현, 세계 100위 보인다

'테니스	'/SS+테니스/NNG
샛별'	샛별/NNG+'/SS
정현,	정현/NNP+,/SP
세계	세계/NNG
100위	100/SN+위/NNB
보인다	보이/VV+ㄴ다/EF


# id : NWRW1800000046.210.2.1
ATP투어 첫 자력 본선行… 8강만 가도 메이저 대회 직행

ATP투어	ATP/SL+투어/NNG
첫	첫/MMN
자력	자력/NNG
본선行…	본선/NNG+行/SH+…/SE
8강만	8/SN+강/NNB+만/JX
가도	가/VV+아도/EC
메이저	메이저/NNG
대회	대회/NNG
직행	직행/NNG


# id : NWRW1800000046.210.3.1
한국 남자 테니스의 꿈이 영글어가고 있다.

한국	한국/NNP
남자	남자/NNG
테니스의	테니스/NNG+의/JKG
꿈이	꿈/NNG+이/JKS
영글어가고	영글/VV+어/EC+가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.210.4.1
정현(19·사진·세계 랭킹 118위)이 7일(한국 시각) 미국 텍사스주 휴스턴에서 열린 ATP(남자프로테니스) 투어 US 클레이코트 챔피언십(총상금 48만8225달러) 단식 예선 결승에서 미샤 즈베레프(독일·682위)를 2대0(6―3 7―5)으로 꺾고 본선에 올랐다.

정현(19·사진·세계	정현/NNP+(/SS+19/SN+·/SP+사진/NNG+·/SP+세계/NNG
랭킹	랭킹/NNG
118위)이	118/SN+위/NNB+)/SS+이/JKS
7일(한국	7/SN+일/NNB+(/SS+한국/NNP
시각)	시각/NNG+)/SS
미국	미국/NNP
텍사스주	텍사스주/NNP
휴스턴에서	휴스턴/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
ATP(남자프로테니스)	ATP/SL+(/SS+남자/NNG+프로/NNG+테니스/NNG+)/SS
투어	투어/NNG
US	US/SL
클레이코트	클레이코트/NNG
챔피언십(총상금	챔피언십/NNG+(/SS+총상금/NNG
48만8225달러)	48/SN+만/NR+8225/SN+달러/NNB+)/SS
단식	단식/NNG
예선	예선/NNG
결승에서	결승/NNG+에서/JKB
미샤	미샤/NNP
즈베레프(독일·682위)를	즈베레프/NNP+(/SS+독일/NNP+·/SP+682/SN+위/NNB+)/SS+를/JKO
2대0(6―3	2/SN+대/NNB+0/SN+(/SS+6/SN+―/SS+3/SN
7―5)으로	7/SN+―/SS+5/SN+)/SS+으로/JKB
꺾고	꺾/VV+고/EC
본선에	본선/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.210.4.2
정현은 그동안 와일드카드로 투어 대회 본선에서 뛴 적이 있지만 예선을 거쳐 자력으로 ATP 투어 본선에 오른 건 이번이 처음이다.

정현은	정현/NNP+은/JX
그동안	그동안/NNG
와일드카드로	와일드카드/NNG+로/JKB
투어	투어/NNG
대회	대회/NNG
본선에서	본선/NNG+에서/JKB
뛴	뛰/VV+ㄴ/ETM
적이	적/NNB+이/JKS
있지만	있/VA+지만/EC
예선을	예선/NNG+을/JKO
거쳐	거치/VV+어/EC
자력으로	자력/NNG+으로/JKB
ATP	ATP/SL
본선에	본선/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
건	거/NNB+ㄴ/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.210.5.1
정현은 최근 후원 기업인 삼성증권에서 연 3억원 이상 지원하겠다고 나설 만큼 기대를 한 몸에 받고 있다.

정현은	정현/NNP+은/JX
최근	최근/MAG
후원	후원/NNG
기업인	기업/NNG+이/VCP+ㄴ/ETM
삼성증권에서	삼성증권/NNP+에서/JKB
연	연/NNG
3억원	3/SN+억/NR+원/NNB
이상	이상/NNG
지원하겠다고	지원/NNG+하/XSV+겠/EP+다고/EC
나설	나서/VV+ㄹ/ETM
만큼	만큼/NNB
기대를	기대/NNG+를/JKO
한	한/MMN
몸에	몸/NNG+에/JKB
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.210.5.2
그가 한국 선수 중 메이저 대회 본선 진출에 가장 근접해 있기 때문이다.

그가	그/NP+가/JKS
한국	한국/NNP
선수	선수/NNG
중	중/NNB
메이저	메이저/NNG
대회	대회/NNG
본선	본선/NNG
진출에	진출/NNG+에/JKB
가장	가장/MAG
근접해	근접/NNG+하/XSV+아/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.210.5.3
정현은 이번 대회에서 8강 이상의 성적을 거둬 세계 랭킹을 100위 이상으로 끌어올리면 별도 예선 없이도 4대 메이저 대회 본선에 직행할 수 있다.

정현은	정현/NNP+은/JX
이번	이번/NNG
대회에서	대회/NNG+에서/JKB
8강	8/SN+강/NNB
이상의	이상/NNG+의/JKG
성적을	성적/NNG+을/JKO
거둬	거두/VV+어/EC
세계	세계/NNG
랭킹을	랭킹/NNG+을/JKO
100위	100/SN+위/NNB
이상으로	이상/NNG+으로/JKB
끌어올리면	끌어올리/VV+면/EC
별도	별도/NNG
예선	예선/NNG
없이도	없이/MAG+도/JX
4대	4/SN+대/NNG
메이저	메이저/NNG
대회	대회/NNG
본선에	본선/NNG+에/JKB
직행할	직행/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.210.5.4
