# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.315
metadata : {}


# id : NWRW1800000029.315.1.1
[횡설수설/권순활]北 ‘외화벌이’ 뜯어먹기

[횡설수설/권순활]北	[/SS+횡설수설/NNG+//SP+권순활/NNP+]/SS+北/SH
‘외화벌이’	‘/SS+외화벌이/NNG+’/SS
뜯어먹기	뜯어먹/VV+기/ETN


# id : NWRW1800000029.315.2.1
필리핀 국민의 약 10%인 800만 명은 세계 곳곳에서 건설노동자 가정부 유모 등으로 힘들게 일한다.

필리핀	필리핀/NNP
국민의	국민/NNG+의/JKG
약	약/MMA
10%인	10/SN+%/SW+이/VCP+ㄴ/ETM
800만	800/SN+만/NR
명은	명/NNB+은/JX
세계	세계/NNG
곳곳에서	곳곳/NNG+에서/JKB
건설노동자	건설/NNG+노동자/NNG
가정부	가정부/NNG
유모	유모/NNG
등으로	등/NNB+으로/JKB
힘들게	힘들/VA+게/EC
일한다.	일/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.315.2.2
본국의 가족에게 보내는 송금 총액은 매년 100억 달러를 넘어 필리핀 경제를 지탱하고 가족들을 먹여 살린다.

본국의	본국/NNG+의/JKG
가족에게	가족/NNG+에게/JKB
보내는	보내/VV+는/ETM
송금	송금/NNG
총액은	총액/NNG+은/JX
매년	매년/MAG
100억	100/SN+억/NR
달러를	달러/NNB+를/JKO
넘어	넘/VV+어/EC
필리핀	필리핀/NNP
경제를	경제/NNG+를/JKO
지탱하고	지탱/NNG+하/XSV+고/EC
가족들을	가족/NNG+들/XSN+을/JKO
먹여	먹이/VV+어/EC
살린다.	살리/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.315.2.3
멕시코 파키스탄 방글라데시 베트남 역시 해외파견 근로자의 송금이 한몫을 한다.

멕시코	멕시코/NNP
파키스탄	파키스탄/NNP
방글라데시	방글라데시/NNP
베트남	베트남/NNP
역시	역시/MAG
해외파견	해외/NNG+파견/NNG
근로자의	근로자/NNG+의/JKG
송금이	송금/NNG+이/JKS
한몫을	한몫/NNG+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.315.2.4
한국도 과거 개발연대 시절 서독에 나간 광원과 간호사, 베트남과 중동에 진출한 근로자들이 보내온 돈으로 경제를 발전시키고 소득을 끌어올리는 데 도움을 받았다.

한국도	한국/NNP+도/JX
과거	과거/NNG
개발연대	개발/NNG+연대/NNG
시절	시절/NNG
서독에	서독/NNP+에/JKB
나간	나가/VV+ㄴ/ETM
광원과	광원/NNG+과/JC
간호사,	간호사/NNG+,/SP
베트남과	베트남/NNP+과/JC
중동에	중동/NNP+에/JKB
진출한	진출/NNG+하/XSV+ㄴ/ETM
근로자들이	근로자/NNG+들/XSN+이/JKS
보내온	보내오/VV+ㄴ/ETM
돈으로	돈/NNG+으로/JKB
경제를	경제/NNG+를/JKO
발전시키고	발전/NNG+시키/XSV+고/EC
소득을	소득/NNG+을/JKO
끌어올리는	끌어올리/VV+는/ETM
데	데/NNB
도움을	도움/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.315.3.1
▷잘못된 체제에다 무능하고 부패한 지도자를 만나 허덕이는 북한 주민도 해외에서 외화벌이에 나서고 있다.

▷잘못된	▷/SW+잘못/MAG+되/XSV+ㄴ/ETM
체제에다	체제/NNG+에다/JKB
무능하고	무능/NNG+하/XSA+고/EC
부패한	부패/NNG+하/XSV+ㄴ/ETM
지도자를	지도자/NNG+를/JKO
만나	만나/VV+아/EC
허덕이는	허덕이/VV+는/ETM
북한	북한/NNP
주민도	주민/NNG+도/JX
해외에서	해외/NNG+에서/JKB
외화벌이에	외화벌이/NNG+에/JKB
나서고	나서/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.315.3.2
대북(對北) 인권단체인 ‘북한인권개선모임’ 등에 따르면 북한 노동자 6만∼7만 명이 러시아 중동 아프리카 중국 등에서 일하면서 연간 수억 달러 이상 벌어들인다.

대북(對北)	대북/NNG+(/SS+對北/SH+)/SS
인권단체인	인권/NNG+단체/NNG+이/VCP+ㄴ/ETM
‘북한인권개선모임’	‘/SS+북한인권개선모임/NNP+’/SS
등에	등/NNB+에/JKB
따르면	따르/VV+면/EC
북한	북한/NNP
노동자	노동자/NNG
6만∼7만	6/SN+만/NR+∼/SO+7/SN+만/NR
명이	명/NNB+이/JKS
러시아	러시아/NNP
중동	중동/NNP
아프리카	아프리카/NNP
중국	중국/NNP
등에서	등/NNB+에서/JKB
일하면서	일/NNG+하/XSV+면서/EC
연간	연간/NNG
수억	수억/NR
달러	달러/NNB
이상	이상/NNG
벌어들인다.	벌어들이/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.315.3.3
그러나 실제로 근로자가 손에 쥐는 돈은 공식 봉급의 3분의 1을 넘기 어렵다.

그러나	그러나/MAJ
실제로	실제로/MAG
근로자가	근로자/NNG+가/JKS
손에	손/NNG+에/JKB
쥐는	쥐/VV+는/ETM
돈은	돈/NNG+은/JX
공식	공식/NNG
봉급의	봉급/NNG+의/JKG
3분의	3/SN+분/XSN+의/JKG
1을	1/SN+을/JKO
넘기	넘/VV+기/ETN
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000029.315.3.4
중동 등 일부 지역에서는 10%에 못 미치는 사례도 많다.

중동	중동/NNP
등	등/NNB
일부	일부/NNG
지역에서는	지역/NNG+에서/JKB+는/JX
10%에	10/SN+%/SW+에/JKB
못	못/MAG
미치는	미치/VV+는/ETM
사례도	사례/NNG+도/JX
많다.	많/VA+다/EF+./SF


# id : NWRW1800000029.315.3.5
대부분의 돈은 김정일 일가를 비롯한 노동당 군부 행정부의 소수 특권층에 이런저런 명목으로 뜯긴다.

대부분의	대/XPN+부분/NNG+의/JKG
돈은	돈/NNG+은/JX
김정일	김정일/NNP
일가를	일가/NNG+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
노동당	노동당/NNP
군부	군부/NNG
행정부의	행정부/NNG+의/JKG
소수	소수/NNG
특권층에	특권/NNG+층/XSN+에/JKB
이런저런	이런저런/MMD
명목으로	명목/NNG+으로/JKB
뜯긴다.	뜯기/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.315.3.6
(본보 11일자 A1면 참조)

(본보	(/SS+본보/NNG
11일자	11/SN+일/NNB+자/NNG
A1면	A/SL+1/SN+면/NNG
참조)	참조/NNG+)/SS


# id : NWRW1800000029.315.4.1
▷북한에서는 당성(黨性)이 좋은 ‘혜택 받은 계층’이 아니면 외화벌이에 나가는 것을 상상하기 어렵다.

▷북한에서는	▷/SW+북한/NNP+에서/JKB+는/JX
당성(黨性)이	당성/NNG+(/SS+黨性/SH+)/SS+이/JKS
좋은	좋/VA+은/ETM
‘혜택	‘/SS+혜택/NNG
받은	받/VV+은/ETM
계층’이	계층/NNG+’/SS+이/JKC
아니면	아니/VCN+면/EC
외화벌이에	외화벌이/NNG+에/JKB
나가는	나가/VV+는/ETM
것을	것/NNB+을/JKO
상상하기	상상/NNG+하/XSV+기/ETN
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000029.315.4.2
봉급의 90%를 뜯겨도 외국에 나가 주린 배를 채울 수 있고 다만 얼마라도 외화를 손에 쥘 수 있으니 북한에 남아 있는 것보다는 낫다.

봉급의	봉급/NNG+의/JKG
90%를	90/SN+%/SW+를/JKO
뜯겨도	뜯기/VV+어도/EC
외국에	외국/NNG+에/JKB
나가	나가/VV+아/EC
주린	주리/VV+ㄴ/ETM
배를	배/NNG+를/JKO
채울	채우/VV+ㄹ/ETM
수	수/NNB
있고	있/VA+고/EC
다만	다만/MAG
얼마라도	얼마/NNG+이/VCP+라도/EC
외화를	외화/NNG+를/JKO
손에	손/NNG+에/JKB
쥘	쥐/VV+ㄹ/ETM
있으니	있/VA+으니/EC
북한에	북한/NNP+에/JKB
남아	남/VV+아/EC
있는	있/VX+는/ETM
것보다는	것/NNB+보다/JKB+는/JX
낫다.	낫/VA+다/EF+./SF


# id : NWRW1800000029.315.4.3
과거 서독에 갔던 우리 광원과 간호사들이 벌어들인 돈은 모두 본인과 가족에 돌아갔다.

과거	과거/NNG
서독에	서독/NNP+에/JKB
갔던	가/VV+았/EP+던/ETM
우리	우리/NP
광원과	광원/NNG+과/JC
간호사들이	간호사/NNG+들/XSN+이/JKS
벌어들인	벌어들이/VV+ㄴ/ETM
돈은	돈/NNG+은/JX
모두	모두/MAG
본인과	본인/NNG+과/JC
가족에	가족/NNG+에/JKB
돌아갔다.	돌아가/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.315.4.4
계약기간이 끝난 뒤 현지에 남아 성공한 삶을 가꾼 사람도 많지만 북한 외화벌이 일꾼들은 외국에 남을 자유도 없다.

계약기간이	계약/NNG+기간/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
현지에	현지/NNG+에/JKB
남아	남/VV+아/EC
성공한	성공/NNG+하/XSV+ㄴ/ETM
삶을	삶/NNG+을/JKO
가꾼	가꾸/VV+ㄴ/ETM
사람도	사람/NNG+도/JX
