# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.232
metadata : {}


# id : NWRW1800000028.232.1.1
학교의 부조리에 입 다물고 공부만 해야 하는 현실 답답해요 /자퇴보단 그 문제의식 오래 품길

학교의	학교/NNG+의/JKG
부조리에	부/XPN+조리/NNG+에/JKB
입	입/NNG
다물고	다물/VV+고/EC
공부만	공부/NNG+만/JX
해야	하/VV+아야/EC
하는	하/VX+는/ETM
현실	현실/NNG
답답해요	답답하/VA+아요/EF
/자퇴보단	//SP+자퇴/NNG+보다/JKB+ㄴ/JX
그	그/MMD
문제의식	문제의식/NNG
오래	오래/MAG
품길	품/VV+기/ETN+ㄹ/JKO


# id : NWRW1800000028.232.2.1
Q 저는 고3입니다.

Q	Q/SL
저는	저/NP+는/JX
고3입니다.	고/NNG+3/SN+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000028.232.2.2
그런데 공부하기 싫어서, 등급이 안 올라서, 수능이 점점 다가옴에 대한 답답함보다 눈에 들어오는 현실에 입 닥치고 있어야 하는 것이 답답합니다.

그런데	그런데/MAJ
공부하기	공부/NNG+하/XSV+기/ETN
싫어서,	싫/VA+어서/EC+,/SP
등급이	등급/NNG+이/JKS
안	안/MAG
올라서,	오르/VV+아서/EC+,/SP
수능이	수능/NNG+이/JKS
점점	점점/MAG
다가옴에	다가오/VV+ㅁ/ETN+에/JKB
대한	대하/VV+ㄴ/ETM
답답함보다	답답하/VA+ㅁ/ETN+보다/JKB
눈에	눈/NNG+에/JKB
들어오는	들어오/VV+는/ETM
현실에	현실/NNG+에/JKB
입	입/NNG
닥치고	닥치/VV+고/EC
있어야	있/VX+어야/EC
하는	하/VX+는/ETM
것이	것/NNB+이/JKS
답답합니다.	답답하/VA+ㅂ니다/EF+./SF


# id : NWRW1800000028.232.2.3
얼마 전, 한 선생님이 수업시간에 개그랍시고 장애인을 비하하는 발언을 했습니다.

얼마	얼마/NNG
전,	전/NNG+,/SP
한	한/MMN
선생님이	선생/NNG+님/XSN+이/JKS
수업시간에	수업/NNG+시간/NNG+에/JKB
개그랍시고	개그/NNG+이/VCP+랍시고/EC
장애인을	장애인/NNG+을/JKO
비하하는	비하/NNG+하/XSV+는/ETM
발언을	발언/NNG+을/JKO
했습니다.	하/VV+았/EP+습니다/EF+./SF


# id : NWRW1800000028.232.2.4
다른 선생님은 이른바 지잡대(지방 잡대학이라는 뜻)에 다니는 학생들을 개그 소재로 씁니다.

다른	다른/MMD
선생님은	선생/NNG+님/XSN+은/JX
이른바	이른바/MAG
지잡대(지방	지잡대/NNG+(/SS+지방/NNG
잡대학이라는	잡대학/NNG+이/VCP+라는/ETM
뜻)에	뜻/NNG+)/SS+에/JKB
다니는	다니/VV+는/ETM
학생들을	학생/NNG+들/XSN+을/JKO
개그	개그/NNG
소재로	소재/NNG+로/JKB
씁니다.	쓰/VV+ㅂ니다/EF+./SF


# id : NWRW1800000028.232.2.5
그러고는 교원평가 시즌이 되니 나쁜 말 쓰지 말라고들 합니다.

그러고는	그러/VV+고는/EC
교원평가	교원/NNG+평가/NNG
시즌이	시즌/NNG+이/JKC
되니	되/VV+니/EC
나쁜	나쁘/VA+ㄴ/ETM
말	말/NNG
쓰지	쓰/VV+지/EC
말라고들	말/VX+라고/EC+들/XSN
합니다.	하/VV+ㅂ니다/EF+./SF


# id : NWRW1800000028.232.2.6
제가 이 답답함 속에서 하는 일은 신문을 보면서 혼자 울화통 터트리고, 교원평가에 소심하게나마 말을 써내고, 학교 측 비리에 반대하는 단체 홈피에 가서 교내에서 벌어지는 일들을 이따금 알리는 것뿐입니다.

제가	제/NP+가/JKS
이	이/MMD
답답함	답답하/VA+ㅁ/ETN
속에서	속/NNG+에서/JKB
하는	하/VV+는/ETM
일은	일/NNG+은/JX
신문을	신문/NNG+을/JKO
보면서	보/VV+면서/EC
혼자	혼자/NNG
울화통	울화통/NNG
터트리고,	터트리/VV+고/EC+,/SP
교원평가에	교원/NNG+평가/NNG+에/JKB
소심하게나마	소심하/VA+게/EC+나마/JX
말을	말/NNG+을/JKO
써내고,	써내/VV+고/EC+,/SP
학교	학교/NNG
측	측/NNB
비리에	비리/NNG+에/JKB
반대하는	반대/NNG+하/XSV+는/ETM
단체	단체/NNG
홈피에	홈피/NNG+에/JKB
가서	가/VV+아서/EC
교내에서	교내/NNG+에서/JKB
벌어지는	벌어지/VV+는/ETM
