# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.88
metadata : {}


# id : NWRW1800000045.88.1.1
KGC인삼공사, 헛개와 홍삼의 만남… 건강하게 속 풀자

KGC인삼공사,	KGC인삼공사/NNP+,/SP
헛개와	헛개/NNG+와/JC
홍삼의	홍삼/NNG+의/JKG
만남…	만남/NNG+…/SE
건강하게	건강/NNG+하/XSA+게/EC
속	속/NNG
풀자	풀/VV+자/EF


# id : NWRW1800000045.88.2.1
[순한소주가 좋다] 헛개나무 열매 추출물 최다 함유 6년근 홍삼 넣은 0칼로리 음료

[순한소주가	[/SS+순하/VA+ㄴ/ETM+소주/NNG+가/JKS
좋다]	좋/VA+다/EF+]/SS
헛개나무	헛개나무/NNG
열매	열매/NNG
추출물	추출물/NNG
최다	최다/NNG
함유	함유/NNG
6년근	6/SN+년/NNB+근/NNG
홍삼	홍삼/NNG
넣은	넣/VV+은/ETM
0칼로리	0/SN+칼로리/NNB
음료	음료/NNG


# id : NWRW1800000045.88.3.1
홍삼 제품으로 세계인의 사랑을 받고 있는 KGC인삼공사가 헛개를 이용한 건강음료를 내놓아 또 다른 주목을 받고 있다.

홍삼	홍삼/NNG
제품으로	제품/NNG+으로/JKB
세계인의	세계인/NNG+의/JKG
사랑을	사랑/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
KGC인삼공사가	KGC인삼공사/NNP+가/JKS
헛개를	헛개/NNG+를/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
건강음료를	건강/NNG+음료/NNG+를/JKO
내놓아	내놓/VV+아/EC
또	또/MAG
다른	다른/MMD
주목을	주목/NNG+을/JKO
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.88.4.1
KGC인삼공사의 정관장 ‘헛개 홍삼수’는 국내산 헛개나무 열매 추출액에 정관장의 믿을 수 있는 국내산 6년근 홍삼 농축액을 조화시킨 차 음료다.

KGC인삼공사의	KGC인삼공사/NNP+의/JKG
정관장	정관장/NNP
‘헛개	‘/SS+헛개/NNG
홍삼수’는	홍삼수/NNG+’/SS+는/JX
국내산	국내/NNG+산/XSN
헛개나무	헛개나무/NNG
열매	열매/NNG
추출액에	추출액/NNG+에/JKB
정관장의	정관장/NNP+의/JKG
믿을	믿/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
6년근	6/SN+년/NNB+근/NNG
홍삼	홍삼/NNG
농축액을	농축액/NNG+을/JKO
조화시킨	조화/NNG+시키/XSV+ㄴ/ETM
차	차/NNG
음료다.	음료/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.88.4.2
헛개나무 열매는 예로부터 간질환, 숙취, 소화불량 등에 도움을 주는 약재로 사용되어 왔는데 정관장 ‘헛개 홍삼수’에는 국내에서 시판 중인 헛개 음료 중 헛개 열매 추출액이 가장 많은 9500mg(340mL 기준)이 함유되어 있다.

헛개나무	헛개나무/NNG
열매는	열매/NNG+는/JX
예로부터	예/NNG+로부터/JKB
간질환,	간/NNG+질환/NNG+,/SP
숙취,	숙취/NNG+,/SP
소화불량	소화/NNG+불량/NNG
등에	등/NNB+에/JKB
도움을	도움/NNG+을/JKO
주는	주/VV+는/ETM
약재로	약재/NNG+로/JKB
사용되어	사용/NNG+되/XSV+어/EC
왔는데	오/VX+았/EP+는데/EC
정관장	정관장/NNP
‘헛개	‘/SS+헛개/NNG
홍삼수’에는	홍삼수/NNG+’/SS+에/JKB+는/JX
국내에서	국내/NNG+에서/JKB
시판	시판/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
헛개	헛개/NNG
음료	음료/NNG
중	중/NNB
열매	열매/NNG
추출액이	추출액/NNG+이/JKS
가장	가장/MAG
많은	많/VA+은/ETM
9500mg(340mL	9500/SN+mg/SW+(/SS+340/SN+mL/SW
기준)이	기준/NNG+)/SS+이/JKS
함유되어	함유/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.88.4.3
헛개의 효능을 가장 직접적으로 체험할 수 있도록 제작했다.

헛개의	헛개/NNG+의/JKG
효능을	효능/NNG+을/JKO
가장	가장/MAG
직접적으로	직접/NNG+적/XSN+으로/JKB
체험할	체험/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
제작했다.	제작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.88.5.1
때이른 더위가 몇 달째 지속되더니 7월 들어 30도가 넘는 날씨가 지속되면서 더위에 지치고 수분이 부족한 현상을 호소하는 사람들이 늘고 있다.

때이른	때/NNG+이르/VA+ㄴ/ETM
더위가	더위/NNG+가/JKS
몇	몇/NR
달째	달/NNB+째/XSN
지속되더니	지속/NNG+되/XSV+더니/EC
7월	7/SN+월/NNB
들어	들/VV+어/EC
30도가	30/SN+도/NNB+가/JKS
넘는	넘/VV+는/ETM
날씨가	날씨/NNG+가/JKS
지속되면서	지속/NNG+되/XSV+면서/EC
더위에	더위/NNG+에/JKB
지치고	지치/VV+고/EC
수분이	수분/NNG+이/JKS
부족한	부족/NNG+하/XSA+ㄴ/ETM
현상을	현상/NNG+을/JKO
호소하는	호소/NNG+하/XSV+는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
늘고	늘/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.88.5.2
또 지친 몸과 열대야로 인해 체력이 고갈되고 지속적으로 갈증에 시달리기도 하면서 건강관리에 대한 관심이 증가하고 있다.

또	또/MAG
지친	지치/VV+ㄴ/ETM
몸과	몸/NNG+과/JC
열대야로	열대야/NNG+로/JKB
인해	인/NNG+하/XSV+아/EC
체력이	체력/NNG+이/JKS
고갈되고	고갈/NNG+되/XSV+고/EC
지속적으로	지속/NNG+적/XSN+으로/JKB
