# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.98
metadata : {}


# id : NWRW1800000033.98.1.1
[템플스테이, 힐링 속으로]사찰 태교여행

[템플스테이,	[/SS+템플스테이/NNG+,/SP
힐링	힐링/NNG
속으로]사찰	속/NNG+으로/JKB+]/SS+사찰/NNG
태교여행	태교/NNG+여행/NNG


# id : NWRW1800000033.98.2.1
자연의 품속, 태아가 엄마 품속처럼 좋아해

자연의	자연/NNG+의/JKG
품속,	품속/NNG+,/SP
태아가	태아/NNG+가/JKS
엄마	엄마/NNG
품속처럼	품속/NNG+처럼/JKB
좋아해	좋아하/VA+아/EF


# id : NWRW1800000033.98.3.1
10월 10일은 ‘임산부의 날’이었다.

10월	10/SN+월/NNB
10일은	10/SN+일/NNB+은/JX
‘임산부의	‘/SS+임산부/NNG+의/JKG
날’이었다.	날/NNG+’/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.98.3.2
어머니가 아이를 배 속에서 품는 10개월과 풍요의 달인 10월의 의미를 기념일에 담아낸 것이다.

어머니가	어머니/NNG+가/JKS
아이를	아이/NNG+를/JKO
배	배/NNG
속에서	속/NNG+에서/JKB
품는	품/VV+는/ETM
10개월과	10/SN+개월/NNB+과/JC
풍요의	풍요/NNG+의/JKG
달인	달/NNG+이/VCP+ㄴ/ETM
10월의	10/SN+월/NNB+의/JKG
의미를	의미/NNG+를/JKO
기념일에	기념일/NNG+에/JKB
담아낸	담/VV+아/EC+내/VX+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.98.4.1
저출산과 고령임신의 세태 속에 ‘맑고 건강한 아이’를 얻을 수 있다는 각종 태교(胎敎)법은 아이를 원하는 부부들에게는 뜨거운 화두 가운데 하나다.

저출산과	저/XPN+출산/NNG+과/JC
고령임신의	고령/NNG+임신/NNG+의/JKG
세태	세태/NNG
속에	속/NNG+에/JKB
‘맑고	‘/SS+맑/VA+고/EC
건강한	건강/NNG+하/XSA+ㄴ/ETM
아이’를	아이/NNG+’/SS+를/JKO
얻을	얻/VV+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
각종	각종/NNG
태교(胎敎)법은	태교/NNG+(/SS+胎敎/SH+)/SS+법/NNG+은/JX
아이를	아이/NNG+를/JKO
원하는	원/NNG+하/XSV+는/ETM
부부들에게는	부부/NNG+들/XSN+에게/JKB+는/JX
뜨거운	뜨겁/VA+ㄴ/ETM
화두	화두/NNG
가운데	가운데/NNG
하나다.	하나/NR+이/VCP+다/EF+./SF


# id : NWRW1800000033.98.5.1
