# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.434
metadata : {}


# id : NWRW1800000032.434.1.1
수제비에 핫도그까지 ‘우리밀의 진화’

수제비에	수제비/NNG+에/JKB
핫도그까지	핫도그/NNG+까지/JX
‘우리밀의	‘/SS+우리/NP+밀/NNG+의/JKG
진화’	진화/NNG+’/SS


# id : NWRW1800000032.434.2.1
광주에 첫 가공공장 준공…2·3차 산업 영토확장 활기

광주에	광주/NNP+에/JKB
첫	첫/MMN
가공공장	가공/NNG+공장/NNG
준공…2·3차	준공/NNG+…/SE+2/SN+·/SP+3/SN+차/NNB
산업	산업/NNG
영토확장	영토/NNG+확장/NNG
활기	활기/NNG


# id : NWRW1800000032.434.3.1
지난 2일 오전 11시 광주광역시 광산구 평동산업단지 6번로 우리밀식품 가공공장.

지난	지나/VV+ㄴ/ETM
2일	2/SN+일/NNB
오전	오전/NNG
11시	11/SN+시/NNB
광주광역시	광주광역시/NNP
광산구	광산구/NNP
평동산업단지	평동산업단지/NNP
6번로	6번로/NNG
우리밀식품	우리밀식품/NNP
가공공장.	가공/NNG+공장/NNG+./SF


# id : NWRW1800000032.434.3.2
면류 생산라인의 밀가루 반죽기에서 모터가 부드럽게 돌았다.

면류	면류/NNG
생산라인의	생산/NNG+라인/NNG+의/JKG
밀가루	밀가루/NNG
반죽기에서	반죽기/NNG+에서/JKB
모터가	모터/NNG+가/JKS
부드럽게	부드럽/VA+게/EC
돌았다.	돌/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.434.3.3
상단에 부었던 밀가루는 금세 연꽃 이파리 같은 수제비 조각들로 바뀌어 하단에 수북하게 쌓여갔다.

상단에	상단/NNG+에/JKB
부었던	붓/VV+었/EP+던/ETM
밀가루는	밀가루/NNG+는/JX
금세	금세/MAG
연꽃	연꽃/NNG
이파리	이파리/NNG
같은	같/VA+은/ETM
수제비	수제비/NNG
조각들로	조각/NNG+들/XSN+로/JKB
바뀌어	바뀌/VV+어/EC
하단에	하단/NNG+에/JKB
수북하게	수북하/VA+게/EC
쌓여갔다.	쌓이/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.434.3.4
위생복을 입은 직원들이 먹음직스런 수제비 더미들을 모아 건조대와 포장실로 옮기느라 바쁘게 움직였다.

위생복을	위생복/NNG+을/JKO
입은	입/VV+은/ETM
직원들이	직원/NNG+들/XSN+이/JKS
먹음직스런	먹음직스럽/VA+ㄴ/ETM
수제비	수제비/NNG
더미들을	더미/NNG+들/XSN+을/JKO
