# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.257
metadata : {}


# id : NWRW1800000054.257.1.1
中, 탁구 코리아오픈 불참하더니 청소년 축구대회 한국 참가 막아

中,	中/SH+,/SP
탁구	탁구/NNG
코리아오픈	코리아/NNP+오픈/NNG
불참하더니	불참/NNG+하/XSV+더니/EC
청소년	청소년/NNG
축구대회	축구/NNG+대회/NNG
한국	한국/NNP
참가	참가/NNG
막아	막/VV+아/EF


# id : NWRW1800000054.257.2.1
'사드 몽니' 스포츠계 전반 확대… 18세이하 축구팀 일정에 차질

'사드	'/SS+사드/NNG
몽니'	몽니/NNG+'/SS
스포츠계	스포츠/NNG+계/XSN
전반	전반/NNG
확대…	확대/NNG+…/SE
18세이하	18/SN+세/NNB+이하/NNG
축구팀	축구팀/NNG
일정에	일정/NNG+에/JKB
차질	차질/NNG


# id : NWRW1800000054.257.3.1
중국의 '사드(THAAD·고고도 미사일 방어체계) 몽니'가 스포츠계 전방위에서 나타나고 있다.

중국의	중국/NNP+의/JKG
'사드(THAAD·고고도	'/SS+사드/NNG+(/SS+THAAD/SL+·/SP+고/XPN+고도/NNG
미사일	미사일/NNG
방어체계)	방어/NNG+체계/NNG+)/SS
몽니'가	몽니/NNG+'/SS+가/JKS
스포츠계	스포츠/NNG+계/XSN
전방위에서	전방위/NNG+에서/JKB
나타나고	나타나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.257.3.2
중국이 별다른 이유 없이 한국 탁구대회에 불참하고 중국 축구대회엔 한국팀 참가를 막은 것이다.

중국이	중국/NNP+이/JKS
별다른	별다르/VA+ㄴ/ETM
이유	이유/NNG
없이	없이/MAG
한국	한국/NNP
탁구대회에	탁구/NNG+대회/NNG+에/JKB
불참하고	불참/NNG+하/XSV+고/EC
중국	중국/NNP
축구대회엔	축구/NNG+대회/NNG+에/JKB+ㄴ/JX
한국팀	한국/NNP+팀/NNG
참가를	참가/NNG+를/JKO
막은	막/VV+은/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.257.4.1
대한축구협회는 18일 "중국 판다컵 국제청소년축구대회에 참가하기로 했던 한국 U-18(18세 이하) 대표팀이 지난 14일 중국으로부터 참가 취소를 통보받았다"고 밝혔다.

대한축구협회는	대한축구협회/NNP+는/JX
18일	18/SN+일/NNB
"중국	"/SS+중국/NNP
판다컵	판다컵/NNG
국제청소년축구대회에	국제/NNG+청소년/NNG+축구/NNG+대회/NNG+에/JKB
참가하기로	참가/NNG+하/XSV+기/ETN+로/JKB
했던	하/VV+았/EP+던/ETM
한국	한국/NNP
U-18(18세	U/SL+-/SO+18/SN+(/SS+18/SN+세/NNB
이하)	이하/NNG+)/SS
대표팀이	대표/NNG+팀/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
14일	14/SN+일/NNB
중국으로부터	중국/NNP+으로부터/JKB
참가	참가/NNG
취소를	취소/NNG+를/JKO
통보받았다"고	통보/NNG+받/XSV+았/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.257.4.2
대회 참가를 준비하고 있던 한국 측에 판다컵 개최지인 중국 청두축구협회에서 취소 공문을 보내온 것이다.

대회	대회/NNG
참가를	참가/NNG+를/JKO
준비하고	준비/NNG+하/XSV+고/EC
있던	있/VX+던/ETM
한국	한국/NNP
측에	측/NNB+에/JKB
판다컵	판다컵/NNG
개최지인	개최지/NNG+이/VCP+ㄴ/ETM
중국	중국/NNP
청두축구협회에서	청두축구협회/NNP+에서/JKB
취소	취소/NNG
공문을	공문/NNG+을/JKO
보내온	보내오/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.257.4.3
대한축구협회 관계자는 "중국 측 공문엔 별다른 이유가 적혀 있지 않았다"며 "사드 때문이 아니겠느냐"고 말했다.

대한축구협회	대한축구협회/NNP
관계자는	관계자/NNG+는/JX
"중국	"/SS+중국/NNP
측	측/NNB
공문엔	공문/NNG+에/JKB+ㄴ/JX
별다른	별다르/VA+ㄴ/ETM
이유가	이유/NNG+가/JKS
적혀	적히/VV+어/EC
있지	있/VX+지/EC
않았다"며	않/VX+았/EP+다/EF+"/SS+며/EC
"사드	"/SS+사드/NNG
때문이	때문/NNB+이/JKC
