# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.8
metadata : {}


# id : NWRW1800000025.8.1.1
‘조정역할’ 허태열 의원, 지역구 챙기기 논란

‘조정역할’	‘/SS+조정/NNG+역할/NNG+’/SS
허태열	허태열/NNP
의원,	의원/NNG+,/SP
지역구	지역구/NNG
챙기기	챙기/VV+기/ETN
논란	논란/NNG


# id : NWRW1800000025.8.2.1
국회 정치개혁특위가 6·2 지방선거 광역의원 의석수를 인구비례에 따라 조정하면서 일부 선거구의 인구가 최소 기준에 미치지 못했음에도 선거구를 그대로 유지시킨 것으로 6일 드러났다.

국회	국회/NNG
정치개혁특위가	정치/NNG+개혁/NNG+특위/NNG+가/JKS
6·2	6/SN+·/SP+2/SN
지방선거	지방/NNG+선거/NNG
광역의원	광역/NNG+의원/NNG
의석수를	의석수/NNG+를/JKO
인구비례에	인구/NNG+비례/NNG+에/JKB
따라	따르/VV+아/EC
조정하면서	조정/NNG+하/XSV+면서/EC
일부	일부/NNG
선거구의	선거구/NNG+의/JKG
인구가	인구/NNG+가/JKS
최소	최소/NNG
기준에	기준/NNG+에/JKB
미치지	미치/VV+지/EC
못했음에도	못하/VX+았/EP+음/ETN+에/JKB+도/JX
선거구를	선거구/NNG+를/JKO
그대로	그대로/MAG
유지시킨	유지/NNG+시키/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
6일	6/SN+일/NNB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.8.2.2
또 정개특위가 국회의원 선거구 내 광역·기초의원 후보 중 여성을 1명 이상 공천하도록 했으나 법제사법위원회 심사 과정에서 이를 어겼을 경우의 벌칙조항을 없앤 사실도 확인됐다.

또	또/MAG
정개특위가	정개특위/NNG+가/JKS
국회의원	국회/NNG+의원/NNG
선거구	선거구/NNG
내	내/NNB
광역·기초의원	광역/NNG+·/SP+기초/NNG+의원/NNG
후보	후보/NNG
중	중/NNB
여성을	여성/NNG+을/JKO
1명	1/SN+명/NNB
이상	이상/NNG
공천하도록	공천/NNG+하/XSV+도록/EC
했으나	하/VX+았/EP+으나/EC
법제사법위원회	법제/NNG+사법/NNG+위원회/NNG
심사	심사/NNG
과정에서	과정/NNG+에서/JKB
이를	이/NP+를/JKO
어겼을	어기/VV+었/EP+을/ETM
경우의	경우/NNG+의/JKG
벌칙조항을	벌칙/NNG+조항/NNG+을/JKO
없앤	없애/VV+ㄴ/ETM
사실도	사실/NNG+도/JX
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.8.3.1
정개특위에서 광역의원 의석수를 조정한 공직선거법 개정안은 지난해 12월 30일 국회 본회의를 통과했다.

정개특위에서	정개특위/NNG+에서/JKB
광역의원	광역/NNG+의원/NNG
의석수를	의석수/NNG+를/JKO
조정한	조정/NNG+하/XSV+ㄴ/ETM
공직선거법	공직/NNG+선거법/NNG
개정안은	개정안/NNG+은/JX
지난해	지난해/NNG
12월	12/SN+월/NNB
30일	30/SN+일/NNB
국회	국회/NNG
본회의를	본회의/NNG+를/JKO
통과했다.	통과/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.8.3.2
이에 앞서 헌법재판소는 2007년 3월 인구편차를 고려하지 않은 광역 선거구에 대해 헌법불합치 판결을 내렸다.

이에	이/NP+에/JKB
