# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.258
metadata : {}


# id : NWRW1800000040.258.1.1
또 투쟁 내몰린 기륭 노동자들

또	또/MAG
투쟁	투쟁/NNG
내몰린	내몰리/VV+ㄴ/ETM
기륭	기륭/NNP
노동자들	노동자/NNG+들/XSN


# id : NWRW1800000040.258.2.1
1895일 농성…2010년 합의…약속 불발…2013년 5월 출근…119일 대기중

1895일	1895/SN+일/NNB
농성…2010년	농성/NNG+…/SE+2010/SN+년/NNB
합의…약속	합의/NNG+…/SE+약속/NNG
불발…2013년	불발/NNG+…/SE+2013/SN+년/NNB
5월	5/SN+월/NNB
출근…119일	출근/NNG+…/SE+119/SN+일/NNB
대기중	대기/NNG+중/NNB


# id : NWRW1800000040.258.3.1
정규직 복직 10명 업무 못받아

정규직	정규직/NNG
복직	복직/NNG
10명	10/SN+명/NNB
업무	업무/NNG
못받아	못/MAG+받/VV+아/EF


# id : NWRW1800000040.258.4.1
사쪽 불이행 맞서 “소송·집회”

사쪽	사/NNG+쪽/NNB
불이행	불/XPN+이행/NNG
맞서	맞서/VV+어/EC
“소송·집회”	“/SS+소송/NNG+·/SP+집회/NNG+”/SS


# id : NWRW1800000040.258.5.1
1895일간의 장기농성 끝에 지난 5월 정규직으로 복직한 기륭전자 여성 노동자 10명이 다시 ‘투쟁’으로 내몰릴 처지가 됐다.

1895일간의	1895/SN+일/NNB+간/XSN+의/JKG
장기농성	장기/NNG+농성/NNG
끝에	끝/NNG+에/JKB
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
정규직으로	정규직/NNG+으로/JKB
복직한	복직/NNG+하/XSV+ㄴ/ETM
기륭전자	기륭전자/NNP
여성	여성/NNG
노동자	노동자/NNG
10명이	10/SN+명/NNB+이/JKS
다시	다시/MAG
‘투쟁’으로	‘/SS+투쟁/NNG+’/SS+으로/JKB
내몰릴	내몰리/VV+ㄹ/ETM
처지가	처지/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.258.5.2
복직 이후 119일간 회사가 어떤 일거리도 주지 않은 탓이다.

복직	복직/NNG
이후	이후/NNG
119일간	119/SN+일/NNB+간/XSN
회사가	회사/NNG+가/JKS
어떤	어떤/MMD
일거리도	일거리/NNG+도/JX
주지	주/VV+지/EC
않은	않/VX+은/ETM
탓이다.	탓/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.258.6.1
전국금속노조 기륭전자분회는 29일 서울 동작구 기륭빌딩 앞에서 ‘투쟁 선포 기자회견’을 열고 “현재까지 회사 쪽은 업무를 주지 않았을 뿐 아니라 4대 보험 가입, 체불 임금 지급 등 실질적 합의 내용을 이행하지 않고 있다”며 “회사를 상대로 한 소송·집회 등을 집중 전개하겠다”고 밝혔다.

전국금속노조	전국금속노조/NNP
기륭전자분회는	기륭전자/NNP+분회/NNG+는/JX
29일	29/SN+일/NNB
서울	서울/NNP
동작구	동작구/NNP
기륭빌딩	기륭빌딩/NNP
앞에서	앞/NNG+에서/JKB
‘투쟁	‘/SS+투쟁/NNG
선포	선포/NNG
기자회견’을	기자/NNG+회견/NNG+’/SS+을/JKO
열고	열/VV+고/EC
“현재까지	“/SS+현재/NNG+까지/JX
회사	회사/NNG
쪽은	쪽/NNB+은/JX
업무를	업무/NNG+를/JKO
주지	주/VV+지/EC
않았을	않/VX+았/EP+을/ETM
뿐	뿐/NNB
아니라	아니/VCN+라/EC
4대	4/SN+대/NNG
보험	보험/NNG
가입,	가입/NNG+,/SP
체불	체불/NNG
임금	임금/NNG
지급	지급/NNG
등	등/NNB
실질적	실질/NNG+적/XSN
합의	합의/NNG
내용을	내용/NNG+을/JKO
이행하지	이행/NNG+하/XSV+지/EC
않고	않/VX+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“회사를	“/SS+회사/NNG+를/JKO
상대로	상대/NNG+로/JKB
한	하/VV+ㄴ/ETM
소송·집회	소송/NNG+·/SP+집회/NNG
등을	등/NNB+을/JKO
집중	집중/NNG
전개하겠다”고	전개/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.258.7.1
복직 노동자 10명은 지난 6월27일 기륭전자(현재 기륭이앤이)를 상대로 5~6월 체불임금 지급 소송을 서울중앙지법에 제기한 데 이어 7~8월 임금도 소송에 추가해 왔다.

복직	복직/NNG
노동자	노동자/NNG
10명은	10/SN+명/NNB+은/JX
지난	지나/VV+ㄴ/ETM
6월27일	6/SN+월/NNB+27/SN+일/NNB
기륭전자(현재	기륭전자/NNP+(/SS+현재/MAG
기륭이앤이)를	기륭이앤이/NNP+)/SS+를/JKO
상대로	상대/NNG+로/JKB
5~6월	5/SN+~/SO+6/SN+월/NNB
체불임금	체불/NNG+임금/NNG
지급	지급/NNG
소송을	소송/NNG+을/JKO
서울중앙지법에	서울중앙지법/NNP+에/JKB
제기한	제기/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
7~8월	7/SN+~/SO+8/SN+월/NNB
임금도	임금/NNG+도/JX
소송에	소송/NNG+에/JKB
추가해	추가/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.258.7.2
이들은 계속 정상 출퇴근을 하면서 회사와 금융감독원 등 앞에서 △4대 보험 및 체불임금 즉각 지급 △생산라인 즉각 설치 △경영투명성 보장을 요구하는 집회도 이어갈 계획이다.

이들은	이/NP+들/XSN+은/JX
계속	계속/MAG
정상	정상/NNG
출퇴근을	출퇴근/NNG+을/JKO
하면서	하/VV+면서/EC
회사와	회사/NNG+와/JC
금융감독원	금융/NNG+감독원/NNG
등	등/NNB
앞에서	앞/NNG+에서/JKB
