# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.78
metadata : {}


# id : NWRW1800000022.78.1.1
"독도문제 사법적 해결 마다하지 말아야 한다";백진현씨 '국제해양재판관'에

"독도문제	"/SS+독도/NNP+문제/NNG
사법적	사법/NNG+적/XSN
해결	해결/NNG
마다하지	마다하/VV+지/EC
말아야	말/VX+아야/EC
한다";백진현씨	하/VX+ㄴ다/EF+"/SS+;/SW+백진현/NNP+씨/NNB
'국제해양재판관'에	'/SS+국제/NNG+해양/NNG+재판관/NNG+'/SS+에/JKB


# id : NWRW1800000022.78.2.1
백진현(白珍鉉·51) 서울대 국제대학원 교수가 국제해양법재판소(ITLOS) 재판관에 선출됐다.

백진현(白珍鉉·51)	백진현/NNP+(/SS+白珍鉉/SH+·/SP+51/SN+)/SS
서울대	서울대/NNP
국제대학원	국제/NNG+대학원/NNG
교수가	교수/NNG+가/JKS
국제해양법재판소(ITLOS)	국제/NNG+해양법/NNG+재판소/NNG+(/SS+ITLOS/SL+)/SS
재판관에	재판관/NNG+에/JKB
선출됐다.	선출/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.78.3.1
백 교수는 지난 6일(현지시각) 뉴욕 유엔본부에서 열린 유엔해양법협약(UNCLOS) 특별 당사국총회에서 155개국이 참여한 1차 투표에서 113표를 획득해 경쟁자인 인도네시아의 누그로호 비스누무르티(68) 전 주 유엔대사를 물리쳤다.

백	백/NNP
교수는	교수/NNG+는/JX
지난	지나/VV+ㄴ/ETM
6일(현지시각)	6/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
뉴욕	뉴욕/NNP
유엔본부에서	유엔/NNP+본부/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
유엔해양법협약(UNCLOS)	유엔/NNP+해양법/NNG+협약/NNG+(/SS+UNCLOS/SL+)/SS
특별	특별/NNG
당사국총회에서	당사국/NNG+총회/NNG+에서/JKB
155개국이	155/SN+개국/NNB+이/JKS
참여한	참여/NNG+하/XSV+ㄴ/ETM
1차	1/SN+차/NNB
투표에서	투표/NNG+에서/JKB
113표를	113/SN+표/NNG+를/JKO
획득해	획득/NNG+하/XSV+아/EC
경쟁자인	경쟁자/NNG+이/VCP+ㄴ/ETM
인도네시아의	인도네시아/NNP+의/JKG
누그로호	누그로호/NNP
비스누무르티(68)	비스누무르티/NNP+(/SS+68/SN+)/SS
전	전/MMD
주	주/XPN
유엔대사를	유엔/NNP+대사/NNG+를/JKO
물리쳤다.	물리치/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.78.3.2
이날 선거는 지난해 11월 별세한 고(故) 박춘호(朴椿浩) 국제해양법재판소 재판관의 후임자를 뽑기 위한 것으로, 임기는 2014년 9월까지.

이날	이날/NNG
선거는	선거/NNG+는/JX
지난해	지난해/NNG
11월	11/SN+월/NNB
별세한	별세/NNG+하/XSV+ㄴ/ETM
고(故)	고/MMA+(/SS+故/SH+)/SS
박춘호(朴椿浩)	박춘호/NNP+(/SS+朴椿浩/SH+)/SS
국제해양법재판소	국제/NNG+해양법/NNG+재판소/NNG
재판관의	재판관/NNG+의/JKG
후임자를	후임자/NNG+를/JKO
뽑기	뽑/VV+기/ETN
위한	위하/VV+ㄴ/ETM
것으로,	것/NNB+으로/JKB+,/SP
임기는	임기/NNG+는/JX
2014년	2014/SN+년/NNB
9월까지.	9/SN+월/NNB+까지/JX+./SF


# id : NWRW1800000022.78.4.1
백 교수는 이날 당선 직후 가진 회견에서 "한국이 주변 국가들과 해양 문제에서 부딪치는 일이 많은 상황에서, 해양문제 해결 최고기관의 재판관을 보유하는 것은 큰 의미가 있다"라고 말했다.

백	백/NNP
교수는	교수/NNG+는/JX
이날	이날/NNG
당선	당선/NNG
직후	직후/NNG
가진	가지/VV+ㄴ/ETM
회견에서	회견/NNG+에서/JKB
"한국이	"/SS+한국/NNP+이/JKS
주변	주변/NNG
국가들과	국가/NNG+들/XSN+과/JKB
해양	해양/NNG
문제에서	문제/NNG+에서/JKB
부딪치는	부딪치/VV+는/ETM
일이	일/NNG+이/JKS
많은	많/VA+은/ETM
상황에서,	상황/NNG+에서/JKB+,/SP
해양문제	해양/NNG+문제/NNG
해결	해결/NNG
최고기관의	최고/NNG+기관/NNG+의/JKG
재판관을	재판관/NNG+을/JKO
보유하는	보유/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
큰	크/VA+ㄴ/ETM
의미가	의미/NNG+가/JKS
있다"라고	있/VA+다/EF+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.78.4.2
백 교수는 한국이 일본과의 독도 분쟁, 중국·일본과 배타적 경제수역(EEZ) 확정 문제 등 국제분쟁을 해결할 때 "관련국들과 교섭을 통해서 해결하되 필요할 경우 사법적 해결을 추구하는 것도 마다하지 말아야 한다"고 지적했다.

백	백/NNP
교수는	교수/NNG+는/JX
한국이	한국/NNP+이/JKS
일본과의	일본/NNP+과/JKB+의/JKG
독도	독도/NNP
분쟁,	분쟁/NNG+,/SP
중국·일본과	중국/NNP+·/SP+일본/NNP+과/JC
배타적	배타/NNG+적/XSN
경제수역(EEZ)	경제/NNG+수역/NNG+(/SS+EEZ/SL+)/SS
확정	확정/NNG
문제	문제/NNG
등	등/NNB
국제분쟁을	국제/NNG+분쟁/NNG+을/JKO
해결할	해결/NNG+하/XSV+ㄹ/ETM
때	때/NNG
"관련국들과	"/SS+관련국/NNG+들/XSN+과/JKB
