# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.337
metadata : {}


# id : NWRW1800000045.337.1.1
SKT-부산, KT-삼성전자-대구… 사물인터넷 실증단지로 선정

SKT-부산,	SKT/SL+-/SO+부산/NNP+,/SP
KT-삼성전자-대구…	KT/SL+-/SO+삼성전자/NNP+-/SO+대구/NNP+…/SE
사물인터넷	사물/NNG+인터넷/NNG
실증단지로	실증/NNG+단지/NNG+로/JKB
선정	선정/NNG


# id : NWRW1800000045.337.2.1
5월부터 3개년 사업 착수

5월부터	5/SN+월/NNB+부터/JX
3개년	3/SN+개년/NNB
사업	사업/NNG
착수	착수/NNG


# id : NWRW1800000045.337.3.1
부산 해운대구 센텀시티 일대와 대구 동구 첨단의료복합단지 내에 각각 SK텔레콤과 KT가 주도하는 사물인터넷(IoT) 실증단지가 조성된다.

부산	부산/NNP
해운대구	해운대구/NNP
센텀시티	센텀시티/NNP
일대와	일대/NNG+와/JC
대구	대구/NNP
동구	동구/NNP
첨단의료복합단지	첨단/NNG+의료/NNG+복합/NNG+단지/NNG
내에	내/NNB+에/JKB
각각	각각/MAG
SK텔레콤과	SK텔레콤/NNP+과/JKB
KT가	KT/SL+가/JKS
주도하는	주도/NNG+하/XSV+는/ETM
사물인터넷(IoT)	사물/NNG+인터넷/NNG+(/SS+IoT/SL+)/SS
실증단지가	실증/NNG+단지/NNG+가/JKS
조성된다.	조성/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.337.3.2
이번에 처음으로 만들어지는 IoT 실증단지에서는 IoT 관련 신제품과 서비스에 대한 검증 작업이 집중적으로 이뤄지기 때문에, 관련 기술 확산에 큰 도움이 될 것으로 주무 부처인 미래창조과학부는 기대하고 있다.

이번에	이번/NNG+에/JKB
처음으로	처음/NNG+으로/JKB
만들어지는	만들/VV+어/EC+지/VX+는/ETM
IoT	IoT/SL
실증단지에서는	실증/NNG+단지/NNG+에서/JKB+는/JX
관련	관련/NNG
신제품과	신/XPN+제품/NNG+과/JC
서비스에	서비스/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
검증	검증/NNG
작업이	작업/NNG+이/JKS
집중적으로	집중/NNG+적/XSN+으로/JKB
이뤄지기	이뤄지/VV+기/ETN
때문에,	때문/NNB+에/JKB+,/SP
기술	기술/NNG
확산에	확산/NNG+에/JKB
큰	크/VA+ㄴ/ETM
도움이	도움/NNG+이/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
주무	주무/NNG
부처인	부처/NNG+이/VCP+ㄴ/ETM
미래창조과학부는	미래/NNG+창조/NNG+과학부/NNG+는/JX
기대하고	기대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.337.4.1
미래부는 21일 2개 분야(스마트시티, 헬스케어) IoT 실증단지 조성사업 공모 결과를 발표했다.

미래부는	미래부/NNG+는/JX
21일	21/SN+일/NNB
2개	2/SN+개/NNB
분야(스마트시티,	분야/NNG+(/SS+스마트시티/NNG+,/SP
헬스케어)	헬스케어/NNG+)/SS
IoT	IoT/SL
실증단지	실증/NNG+단지/NNG
조성사업	조성/NNG+사업/NNG
공모	공모/NNG
결과를	결과/NNG+를/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.337.4.2
6개 컨소시엄이 경쟁한 스마트시티 분야에서는 SK텔레콤·부산시 컨소시엄이 우선협상대상자로 선정됐다.

6개	6/SN+개/NNB
컨소시엄이	컨소시엄/NNG+이/JKS
경쟁한	경쟁/NNG+하/XSV+ㄴ/ETM
스마트시티	스마트시티/NNG
분야에서는	분야/NNG+에서/JKB+는/JX
SK텔레콤·부산시	SK텔레콤/NNP+·/SP+부산시/NNP
우선협상대상자로	우선/NNG+협상/NNG+대상자/NNG+로/JKB
선정됐다.	선정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000045.337.4.3
3개 컨소시엄이 경쟁한 헬스케어 분야에서는 KT·삼성전자·대구시 컨소시엄이 선정됐다.

3개	3/SN+개/NNB
컨소시엄이	컨소시엄/NNG+이/JKS
경쟁한	경쟁/NNG+하/XSV+ㄴ/ETM
헬스케어	헬스케어/NNG
분야에서는	분야/NNG+에서/JKB+는/JX
KT·삼성전자·대구시	KT/SL+·/SP+삼성전자/NNP+·/SP+대구시/NNP
선정됐다.	선정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000045.337.4.4
미래부는 세부 내용 조율 및 협약 과정을 거쳐 다음 달부터 3개년 사업에 착수할 예정이다.

미래부는	미래부/NNG+는/JX
세부	세부/NNG
내용	내용/NNG
조율	조율/NNG
및	및/MAG
협약	협약/NNG
과정을	과정/NNG+을/JKO
거쳐	거치/VV+어/EC
다음	다음/NNG
달부터	달/NNG+부터/JX
3개년	3/SN+개년/NNB
사업에	사업/NNG+에/JKB
착수할	착수/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.337.5.1
스마트시티 분야에 선정된 SK텔레콤은 실증단지 운영을 통해 개발한 유망 서비스를 부산 전역에 보급할 방침이다.

스마트시티	스마트시티/NNG
분야에	분야/NNG+에/JKB
선정된	선정/NNG+되/XSV+ㄴ/ETM
SK텔레콤은	SK텔레콤/NNP+은/JX
실증단지	실증/NNG+단지/NNG
운영을	운영/NNG+을/JKO
통해	통하/VV+아/EC
개발한	개발/NNG+하/XSV+ㄴ/ETM
유망	유망/NNG
서비스를	서비스/NNG+를/JKO
부산	부산/NNP
전역에	전역/NNG+에/JKB
보급할	보급/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.337.5.2
이미 스마트 파킹, 매장 및 빌딩 에너지 관리, 미아 방지, 스마트 횡단보도 등 10여 개 IoT 서비스에 대해 연말까지 누구나 실증단지 내에서 체험할 수 있도록 할 방침이다.

이미	이미/MAG
스마트	스마트/NNG
파킹,	파킹/NNG+,/SP
매장	매장/NNG
및	및/MAG
빌딩	빌딩/NNG
에너지	에너지/NNG
관리,	관리/NNG+,/SP
미아	미아/NNG
방지,	방지/NNG+,/SP
횡단보도	횡단보도/NNG
등	등/NNB
10여	10/SN+여/XSN
개	개/NNB
IoT	IoT/SL
서비스에	서비스/NNG+에/JKB
대해	대하/VV+아/EC
연말까지	연말/NNG+까지/JX
누구나	누구/NP+나/JX
실증단지	실증/NNG+단지/NNG
내에서	내/NNB+에서/JKB
체험할	체험/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
할	하/VX+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.337.5.3
이를 위해 부산시는 SK텔레콤이 실증단지 운영을 원활하게 할 수 있도록 행정적 지원을 뒷받침할 계획이다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
부산시는	부산시/NNP+는/JX
SK텔레콤이	SK텔레콤/NNP+이/JKS
실증단지	실증/NNG+단지/NNG
운영을	운영/NNG+을/JKO
원활하게	원활/NNG+하/XSA+게/EC
할	하/VX+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
행정적	행정/NNG+적/XSN
지원을	지원/NNG+을/JKO
뒷받침할	뒷받침/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.337.5.4
SK텔레콤은 컨소시엄에 참여한 기업뿐 아니라 IBM, 시스코, 마이크로소프트(MS) 등 글로벌 기업과 다양한 중소기업도 실증단지 운영에 참여할 수 있도록 할 예정이다.

SK텔레콤은	SK텔레콤/NNP+은/JX
컨소시엄에	컨소시엄/NNG+에/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
기업뿐	기업/NNG+뿐/JX
아니라	아니/VCN+라/EC
IBM,	IBM/SL+,/SP
시스코,	시스코/NNP+,/SP
마이크로소프트(MS)	마이크로소프트/NNP+(/SS+MS/SL+)/SS
등	등/NNB
글로벌	글로벌/NNG
기업과	기업/NNG+과/JC
다양한	다양/NNG+하/XSA+ㄴ/ETM
중소기업도	중소기업/NNG+도/JX
실증단지	실증/NNG+단지/NNG
운영에	운영/NNG+에/JKB
참여할	참여/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
할	하/VX+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.337.6.1
KT는 헬스케어 실증단지에서 다양한 서비스를 발굴해 2017년까지 최소 100개 이상의 중소·벤처기업을 지원하기로 했다.

KT는	KT/SL+는/JX
헬스케어	헬스케어/NNG
실증단지에서	실증/NNG+단지/NNG+에서/JKB
다양한	다양/NNG+하/XSA+ㄴ/ETM
서비스를	서비스/NNG+를/JKO
발굴해	발굴/NNG+하/XSV+아/EC
2017년까지	2017/SN+년/NNB+까지/JX
최소	최소/NNG
100개	100/SN+개/NNB
이상의	이상/NNG+의/JKG
중소·벤처기업을	중소/NNG+·/SP+벤처/NNG+기업/NNG+을/JKO
지원하기로	지원/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.337.6.2
KT와 대구시 컨소시엄이 헬스케어 분야 실증단지 조성 사업자로 선정된 데는 대구 동구에 이미 첨단의료복합단지가 조성돼 있다는 지역적 특성이 고려됐다.

KT와	KT/SL+와/JC
대구시	대구시/NNP
컨소시엄이	컨소시엄/NNG+이/JKS
헬스케어	헬스케어/NNG
분야	분야/NNG
실증단지	실증/NNG+단지/NNG
조성	조성/NNG
사업자로	사업자/NNG+로/JKB
선정된	선정/NNG+되/XSV+ㄴ/ETM
데는	데/NNB+는/JX
대구	대구/NNP
동구에	동구/NNP+에/JKB
이미	이미/MAG
첨단의료복합단지가	첨단/NNG+의료/NNG+복합/NNG+단지/NNG+가/JKS
조성돼	조성/NNG+되/XSV+어/EC
있다는	있/VX+다는/ETM
지역적	지역/NNG+적/XSN
특성이	특성/NNG+이/JKS
고려됐다.	고려/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000045.337.6.3
또 컨소시엄에 지역 거점 병원인 경북대병원이 포함돼 병원과 연계된 서비스 발굴 가능성이 크다는 점도 높은 점수를 받은 것으로 알려졌다.

또	또/MAG
컨소시엄에	컨소시엄/NNG+에/JKB
지역	지역/NNG
거점	거점/NNG
병원인	병원/NNG+이/VCP+ㄴ/ETM
경북대병원이	경북대병원/NNP+이/JKS
포함돼	포함/NNG+되/XSV+어/EC
병원과	병원/NNG+과/JKB
연계된	연계/NNG+되/XSV+ㄴ/ETM
서비스	서비스/NNG
