# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.246
metadata : {}


# id : NWRW1800000037.246.1.1
‘하루 10언더’ 달린 박희영, 밀린 박인비

‘하루	‘/SS+하루/NNG
10언더’	10/SN+언더/NNG+’/SS
달린	달리/VV+ㄴ/ETM
박희영,	박희영/NNP+,/SP
밀린	밀리/VV+ㄴ/ETM
박인비	박인비/NNP


# id : NWRW1800000037.246.2.1
희영, 매뉴라이프 3R 20언더 선두… 이글 1-버디 8개로 18홀 61타 기록 대회 신기록… 두번째 우승컵 도전 인비, 선두에 7타 뒤진 공동 9위

희영,	희영/NNP+,/SP
매뉴라이프	매뉴라이프/NNP
3R	3/SN+R/SL
20언더	20/SN+언더/NNG
선두…	선두/NNG+…/SE
이글	이글/NNG
1-버디	1/SN+-/SO+버디/NNG
8개로	8/SN+개/NNB+로/JKB
18홀	18/SN+홀/NNG
61타	61/SN+타/NNG
기록	기록/NNG
대회	대회/NNG
신기록…	신/XPN+기록/NNG+…/SE
두번째	두/MMN+번/NNB+째/XSN
우승컵	우승컵/NNG
도전	도전/NNG
인비,	인비/NNP+,/SP
선두에	선두/NNG+에/JKB
7타	7/SN+타/NNG
뒤진	뒤지/VV+ㄴ/ETM
공동	공동/NNG
9위	9/SN+위/NNB


# id : NWRW1800000037.246.3.1
모두들 박인비(25·KB금융그룹)만 바라보고 있었다.

모두들	모두/NNG+들/XSN
박인비(25·KB금융그룹)만	박인비/NNP+(/SS+25/SN+·/SP+KB금융그룹/NNP+)/SS+만/JX
바라보고	바라보/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.246.3.2
그러나 박인비가 정체에 시달리는 동안 파란 신호를 받고 앞으로 달려간 건 박희영(26·하나금융그룹)이었다.

그러나	그러나/MAJ
박인비가	박인비/NNP+가/JKS
정체에	정체/NNG+에/JKB
시달리는	시달리/VV+는/ETM
동안	동안/NNG
파란	파랗/VA+ㄴ/ETM
신호를	신호/NNG+를/JKO
받고	받/VV+고/EC
앞으로	앞/NNG+으로/JKB
달려간	달려가/VV+ㄴ/ETM
건	거/NNB+ㄴ/JX
박희영(26·하나금융그룹)이었다.	박희영/NNP+(/SS+26/SN+·/SP+하나금융그룹/NNP+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.246.3.3
박희영은 3라운드에서만 10타를 줄이며 생애 두 번째 우승 가능성을 높였다.

박희영은	박희영/NNP+은/JX
3라운드에서만	3/SN+라운드/NNG+에서/JKB+만/JX
10타를	10/SN+타/NNG+를/JKO
줄이며	줄이/VV+며/EC
생애	생애/NNG
두	두/MMN
번째	번/NNB+째/XSN
우승	우승/NNG
가능성을	가능/NNG+성/XSN+을/JKO
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.246.4.1
박희영은 14일 캐나다 온타리오 주 워털루의 그레이사일로 골프장(71파)에서 열린 미국여자프로골프(LPGA)투어 매뉴라이프 파이낸셜 클래식 3라운드에서 보기 없이 이글 1개와 버디 8개를 쓸어 담으며 10언더파 61타를 쳤다.

박희영은	박희영/NNP+은/JX
14일	14/SN+일/NNB
캐나다	캐나다/NNP
온타리오	온타리오/NNP
주	주/NNG
워털루의	워털루/NNP+의/JKG
그레이사일로	그레이사일로/NNP
골프장(71파)에서	골프장/NNG+(/SS+71/SN+파/NNG+)/SS+에서/JKB
열린	열리/VV+ㄴ/ETM
미국여자프로골프(LPGA)투어	미국/NNP+여자/NNG+프로/NNG+골프/NNG+(/SS+LPGA/SL+)/SS+투어/NNG
매뉴라이프	매뉴라이프/NNP
파이낸셜	파이낸셜/NNP
클래식	클래식/NNG
3라운드에서	3/SN+라운드/NNG+에서/JKB
보기	보기/NNG
없이	없이/MAG
이글	이글/NNG
1개와	1/SN+개/NNB+와/JC
버디	버디/NNG
8개를	8/SN+개/NNB+를/JKO
쓸어	쓸/VV+어/EC
담으며	담/VV+으며/EC
10언더파	10/SN+언더/NNG+파/NNG
61타를	61/SN+타/NNG+를/JKO
쳤다.	치/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.246.4.2
이 대회 18홀 최소타 기록이다.

이	이/MMD
대회	대회/NNG
18홀	18/SN+홀/NNG
최소타	최소타/NNG
기록이다.	기록/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.246.5.1
이로써 박희영은 앤절라 스탠퍼드(미국)를 1타 차로 제치고 중간 순위에서 선두를 달렸다.

이로써	이/NP+로써/JKB
박희영은	박희영/NNP+은/JX
앤절라	앤절라/NNP
스탠퍼드(미국)를	스탠퍼드/NNP+(/SS+미국/NNP+)/SS+를/JKO
1타	1/SN+타/NNG
차로	차/NNG+로/JKB
제치고	제치/VV+고/EC
중간	중간/NNG
순위에서	순위/NNG+에서/JKB
선두를	선두/NNG+를/JKO
달렸다.	달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.246.5.2
박희영이 이번 대회에서 우승하게 되면 2011년 타이틀홀더스 대회 이후 생애 두 번째 LPGA 우승이다.

박희영이	박희영/NNP+이/JKS
이번	이번/NNG
대회에서	대회/NNG+에서/JKB
우승하게	우승/NNG+하/XSV+게/EC
되면	되/VV+면/EC
2011년	2011/SN+년/NNB
타이틀홀더스	타이틀홀더스/NNG
대회	대회/NNG
이후	이후/NNG
생애	생애/NNG
두	두/MMN
번째	번/NNB+째/XSN
LPGA	LPGA/SL
우승이다.	우승/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.246.6.1
박희영보다 앞서 LPGA투어에서 18홀 61타를 기록한 선수는 10명밖에 되지 않는다.

박희영보다	박희영/NNP+보다/JKB
앞서	앞서/MAG
LPGA투어에서	LPGA/SL+투어/NNG+에서/JKB
18홀	18/SN+홀/NNG
61타를	61/SN+타/NNG+를/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
선수는	선수/NNG+는/JX
10명밖에	10/SN+명/NNB+밖에/JX
되지	되/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000037.246.6.2
박희영은 18번홀(파5)에서 이글을 노리고 칩샷을 날렸지만 공이 홀을 돌고 나오면서 버디로 만족해야 했다.

박희영은	박희영/NNP+은/JX
18번홀(파5)에서	18/SN+번/NNB+홀/NNG+(/SS+파/NNG+5/SN+)/SS+에서/JKB
이글을	이글/NNG+을/JKO
노리고	노리/VV+고/EC
칩샷을	칩샷/NNG+을/JKO
날렸지만	날리/VV+었/EP+지만/EC
공이	공/NNG+이/JKS
홀을	홀/NNG+을/JKO
돌고	돌/VV+고/EC
나오면서	나오/VV+면서/EC
버디로	버디/NNG+로/JKB
만족해야	만족/NNG+하/XSA+아야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.246.6.3
만약 이글에 성공했다면 박희영은 역대 LPGA투어 최소 타수 2위 기록(60타)과 타이기록을 세울 수 있었다.

만약	만약/MAG
이글에	이글/NNG+에/JKB
성공했다면	성공/NNG+하/XSV+았/EP+다면/EC
박희영은	박희영/NNP+은/JX
역대	역대/NNG
LPGA투어	LPGA/SL+투어/NNG
최소	최소/NNG
타수	타수/NNG
2위	2/SN+위/NNB
기록(60타)과	기록/NNG+(/SS+60/SN+타/NNG+)/SS+과/JKB
타이기록을	타이기록/NNG+을/JKO
세울	세우/VV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000037.246.6.4
LPGA 역대 최소타는 2001년 스탠더드 레지스터 대회에서 안니카 소렌스탐(스웨덴)이 기록한 59타다.

LPGA	LPGA/SL
역대	역대/NNG
최소타는	최소타/NNG+는/JX
2001년	2001/SN+년/NNB
스탠더드	스탠더드/NNG
레지스터	레지스터/NNG
대회에서	대회/NNG+에서/JKB
안니카	안니카/NNP
소렌스탐(스웨덴)이	소렌스탐/NNP+(/SS+스웨덴/NNP+)/SS+이/JKS
기록한	기록/NNG+하/XSV+ㄴ/ETM
59타다.	59/SN+타/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.246.7.1
한편 4개 대회 연속 우승을 노리던 박인비는 이날 버디 5개를 잡았지만 보기도 2개를 기록하면서 3타를 줄이는 데 그쳤다.

한편	한편/MAG
4개	4/SN+개/NNB
대회	대회/NNG
연속	연속/NNG
우승을	우승/NNG+을/JKO
노리던	노리/VV+던/ETM
박인비는	박인비/NNP+는/JX
이날	이날/NNG
버디	버디/NNG
5개를	5/SN+개/NNB+를/JKO
잡았지만	잡/VV+았/EP+지만/EC
보기도	보기/NNG+도/JX
2개를	2/SN+개/NNB+를/JKO
기록하면서	기록/NNG+하/XSV+면서/EC
3타를	3/SN+타/NNG+를/JKO
줄이는	줄이/VV+는/ETM
데	데/NNB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.246.7.2
중간 순위에서도 박희영에게 7타 뒤진 공동 9위로 순위가 한 계단 내려가 우승 전망이 불투명해졌다.

중간	중간/NNG
순위에서도	순위/NNG+에서/JKB+도/JX
박희영에게	박희영/NNP+에게/JKB
7타	7/SN+타/NNG
뒤진	뒤지/VV+ㄴ/ETM
공동	공동/NNG
9위로	9/SN+위/NNB+로/JKB
순위가	순위/NNG+가/JKS
한	한/MMN
계단	계단/NNG
내려가	내려가/VV+아/EC
우승	우승/NNG
전망이	전망/NNG+이/JKS
불투명해졌다.	불/XPN+투명/NNG+하/XSA+아/EC+지/VX+었/EP+다/EF+./SF


