# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.214
metadata : {}


# id : NWRW1800000053.214.1.1
‘손’ 묶이고 ‘이’도 빠진 슈틸리케

‘손’	‘/SS+손/NNG+’/SS
묶이고	묶이/VV+고/EC
‘이’도	‘/SS+이/NNG+’/SS+도/JX
빠진	빠지/VV+ㄴ/ETM
슈틸리케	슈틸리케/NNP


# id : NWRW1800000053.214.2.1
손흥민 대타 낙점한 이재성도 부상… 23일 월드컵 최종예선 중국전 고심

손흥민	손흥민/NNP
대타	대타/NNG
낙점한	낙점/NNG+하/XSV+ㄴ/ETM
이재성도	이재성/NNP+도/JX
부상…	부상/NNG+…/SE
23일	23/SN+일/NNB
월드컵	월드컵/NNG
최종예선	최종/NNG+예선/NNG
중국전	중국전/NNG
고심	고심/NNG


# id : NWRW1800000053.214.3.1
이재성(25·전북)도 뛰지 못한다.

이재성(25·전북)도	이재성/NNP+(/SS+25/SN+·/SP+전북/NNP+)/SS+도/JX
뛰지	뛰/VV+지/EC
못한다.	못하/VX+ㄴ다/EF+./SF


# id : NWRW1800000053.214.3.2
손흥민(25·토트넘)에 이은 핵심 선수의 공백이다.

손흥민(25·토트넘)에	손흥민/NNP+(/SS+25/SN+·/SP+토트넘/NNP+)/SS+에/JKB
이은	잇/VV+은/ETM
핵심	핵심/NNG
선수의	선수/NNG+의/JKG
공백이다.	공백/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.214.4.1
23일 중국과 2018 러시아 월드컵 아시아지역 최종예선 6차전 방문경기를 앞둔 울리 슈틸리케 축구대표팀 감독(사진)의 고민이 깊어지고 있다.

23일	23/SN+일/NNB
중국과	중국/NNP+과/JKB
2018	2018/SN
러시아	러시아/NNP
월드컵	월드컵/NNG
아시아지역	아시아지역/NNP
최종예선	최종/NNG+예선/NNG
6차전	6/SN+차전/NNB
방문경기를	방문/NNG+경기/NNG+를/JKO
앞둔	앞두/VV+ㄴ/ETM
울리	울리/NNP
슈틸리케	슈틸리케/NNP
축구대표팀	축구/NNG+대표/NNG+팀/NNG
감독(사진)의	감독/NNG+(/SS+사진/NNG+)/SS+의/JKG
고민이	고민/NNG+이/JKS
깊어지고	깊어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.214.5.1
이재성은 K리그 클래식팀 개막전을 이틀 앞둔 3일 구단에서 연습 경기를 하다 왼쪽 정강이뼈에 실금이 가는 부상을 당했다.

이재성은	이재성/NNP+은/JX
K리그	K/SL+리그/NNG
