# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.200
metadata : {}


# id : NWRW1800000041.200.1.1
[휴지통]새벽 버스서 깜빡 잠… 아차! 2700만원 든 손가방

[휴지통]새벽	[/SS+휴지통/NNG+]/SS+새벽/NNG
버스서	버스/NNG+서/JKB
깜빡	깜빡/MAG
잠…	잠/NNG+…/SE
아차!	아차/IC+!/SF
2700만원	2700/SN+만/NR+원/NNB
든	들/VV+ㄴ/ETM
손가방	손가방/NNG


# id : NWRW1800000041.200.2.1
60대 여성 파출소 찾아 “살려주오” 경찰 2명 버스 추적… 가방 찾아줘

60대	60/SN+대/NNB
여성	여성/NNG
파출소	파출소/NNG
찾아	찾/VV+아/EC
“살려주오”	“/SS+살리/VV+어/EC+주/VX+오/EF+”/SS
경찰	경찰/NNG
2명	2/SN+명/NNB
버스	버스/NNG
추적…	추적/NNG+…/SE
가방	가방/NNG
찾아줘	찾/VV+아/EC+주/VX+어/EF


# id : NWRW1800000041.200.3.1
“나 좀 살려주세요!”

“나	“/SS+나/NP
좀	좀/MAG
살려주세요!”	살리/VV+어/EC+주/VX+시/EP+어요/EF+!/SF+”/SS


# id : NWRW1800000041.200.4.1
21일 오전 5시 40분경 서울 영등포구 영등포역전파출소에 한 60대 여성이 허둥대며 들어왔다.

21일	21/SN+일/NNB
오전	오전/NNG
5시	5/SN+시/NNB
40분경	40/SN+분/NNB+경/XSN
서울	서울/NNP
영등포구	영등포구/NNP
영등포역전파출소에	영등포역전파출소/NNP+에/JKB
한	한/MMN
60대	60/SN+대/NNB
여성이	여성/NNG+이/JKS
허둥대며	허둥대/VV+며/EC
들어왔다.	들어오/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.200.4.2
근무하던 김재근 경위(56)와 김지훈 경사(32)는 덜덜 떨며 “살려 달라”고 외치는 김모 씨(67)를 안심시켰다.

근무하던	근무/NNG+하/XSV+던/ETM
김재근	김재근/NNP
경위(56)와	경위/NNG+(/SS+56/SN+)/SS+와/JC
김지훈	김지훈/NNP
경사(32)는	경사/NNG+(/SS+32/SN+)/SS+는/JX
덜덜	덜덜/MAG
떨며	떨/VV+며/EC
“살려	“/SS+살리/VV+어/EC
달라”고	달/VX+라/EF+”/SS+고/JKQ
외치는	외치/VV+는/ETM
김모	김/NNP+모/NP
씨(67)를	씨/NNB+(/SS+67/SN+)/SS+를/JKO
안심시켰다.	안심/NNG+시키/XSV+었/EP+다/EF+./SF


