# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.43
metadata : {}


# id : NWRW1800000038.43.1.1
아베의 폭주… '총리 야스쿠니 참배 합법화' '日王, 국가원수 격상' 추진

아베의	아베/NNP+의/JKG
폭주…	폭주/NNG+…/SE
'총리	'/SS+총리/NNG
야스쿠니	야스쿠니/NNP
참배	참배/NNG
합법화'	합법/NNG+화/XSN+'/SS
'日王,	'/SS+日王/SH+,/SP
국가원수	국가/NNG+원수/NNG
격상'	격상/NNG+'/SS
추진	추진/NNG


# id : NWRW1800000038.43.2.1
자민당 헌법 개정안에 포함… 시대착오적 案件 논란

자민당	자민당/NNP
헌법	헌법/NNG
개정안에	개정안/NNG+에/JKB
포함…	포함/NNG+…/SE
시대착오적	시대착오/NNG+적/XSN
案件	案件/SH
논란	논란/NNG


# id : NWRW1800000038.43.3.1
일본 참의원 선거 최대 쟁점으로 떠오른 개헌과 관련, 자민당의 헌법 개정안에 군대 보유를 금지한 헌법 9조의 변경 외에도 총리의 야스쿠니(靖國)신사 참배 합법화 등 시대착오적 내용이 상당수 포함됐다는 비판이 나오고 있다.

일본	일본/NNP
참의원	참의원/NNG
선거	선거/NNG
최대	최대/NNG
쟁점으로	쟁점/NNG+으로/JKB
떠오른	떠오르/VV+ㄴ/ETM
개헌과	개헌/NNG+과/JKB
관련,	관련/NNG+,/SP
자민당의	자민당/NNP+의/JKG
헌법	헌법/NNG
개정안에	개정안/NNG+에/JKB
군대	군대/NNG
보유를	보유/NNG+를/JKO
금지한	금지/NNG+하/XSV+ㄴ/ETM
9조의	9/SN+조/NNB+의/JKG
변경	변경/NNG
외에도	외/NNB+에/JKB+도/JX
총리의	총리/NNG+의/JKG
야스쿠니(靖國)신사	야스쿠니/NNP+(/SS+靖國/SH+)/SS+신사/NNG
참배	참배/NNG
합법화	합법/NNG+화/XSN
등	등/NNB
시대착오적	시대착오/NNG+적/XSN
내용이	내용/NNG+이/JKS
상당수	상당수/NNG
포함됐다는	포함/NNG+되/XSV+었/EP+다는/ETM
비판이	비판/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.43.3.2
현 헌법은 '일왕을 국민 통합의 상징'으로 규정했지만, 개정안은 '일본국의 원수'로 바꾸었다.

현	현/MMD
헌법은	헌법/NNG+은/JX
'일왕을	'/SS+일왕/NNG+을/JKO
국민	국민/NNG
통합의	통합/NNG+의/JKG
상징'으로	상징/NNG+'/SS+으로/JKB
규정했지만,	규정/NNG+하/XSV+았/EP+지만/EC+,/SP
개정안은	개정안/NNG+은/JX
'일본국의	'/SS+일본국/NNP+의/JKG
원수'로	원수/NNG+'/SS+로/JKB
바꾸었다.	바꾸/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.43.4.1
또 현 헌법은 일왕에 대해 헌법 준수 의무가 있다고 명시했지만, 개정안은 이 부분이 삭제됐다.

또	또/MAG
현	현/MMD
헌법은	헌법/NNG+은/JX
일왕에	일왕/NNG+에/JKB
대해	대하/VV+아/EC
헌법	헌법/NNG
준수	준수/NNG
의무가	의무/NNG+가/JKS
있다고	있/VA+다고/EC
명시했지만,	명시/NNG+하/XSV+았/EP+지만/EC+,/SP
개정안은	개정안/NNG+은/JX
이	이/MMD
부분이	부분/NNG+이/JKS
삭제됐다.	삭제/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.43.5.1
일왕의 업무에 대해 현 헌법은 외국 대사·공사 접수 등으로 제한한 데 반해, 개정안은 '내각의 진언(進言)이 필요하다'고 규정, 업무 범위를 확대했다.

일왕의	일왕/NNG+의/JKG
업무에	업무/NNG+에/JKB
대해	대하/VV+아/EC
현	현/MMD
헌법은	헌법/NNG+은/JX
외국	외국/NNG
대사·공사	대사/NNG+·/SP+공사/NNG
접수	접수/NNG
등으로	등/NNB+으로/JKB
제한한	제한/NNG+하/XSV+ㄴ/ETM
데	데/NNB
반해,	반하/VV+아/EC+,/SP
개정안은	개정안/NNG+은/JX
'내각의	'/SS+내각/NNG+의/JKG
진언(進言)이	진언/NNG+(/SS+進言/SH+)/SS+이/JKS
필요하다'고	필요/NNG+하/XSA+다/EF+'/SS+고/JKQ
규정,	규정/NNG+,/SP
업무	업무/NNG
범위를	범위/NNG+를/JKO
확대했다.	확대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.43.5.2
내각의 보고까지 받게 하자는 것이다.

내각의	내각/NNG+의/JKG
보고까지	보고/NNG+까지/JX
받게	받/VV+게/EC
하자는	하/VX+자는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.43.5.3
개정안에서도 일왕이 실질 권한을 갖는 것은 아니다.

개정안에서도	개정안/NNG+에서/JKB+도/JX
일왕이	일왕/NNG+이/JKS
실질	실질/NNG
권한을	권한/NNG+을/JKO
갖는	갖/VV+는/ETM
것은	것/NNB+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000038.43.5.4
하지만 공명당 오구치 요시노리(大口善德) 의원은 아사히(朝日)신문 인터뷰에서 "국정에 관한 권한을 일왕에게 부여하는 듯한 인상을 줘 국민 주권에 역행할 수 있다"고 우려했다.

하지만	하지만/MAJ
공명당	공명당/NNP
오구치	오구치/NNP
요시노리(大口善德)	요시노리/NNP+(/SS+大口善德/SH+)/SS
의원은	의원/NNG+은/JX
아사히(朝日)신문	아사히/NNP+(/SS+朝日/SH+)/SS+신문/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
"국정에	"/SS+국정/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
권한을	권한/NNG+을/JKO
일왕에게	일왕/NNG+에게/JKB
부여하는	부여/NNG+하/XSV+는/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
인상을	인상/NNG+을/JKO
줘	주/VV+어/EC
국민	국민/NNG
주권에	주권/NNG+에/JKB
역행할	역행/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
우려했다.	우려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.43.6.1
헌법 개정안에는 총리의 야스쿠니신사 참배를 합법화하는 내용도 포함돼 있다.

헌법	헌법/NNG
개정안에는	개정안/NNG+에/JKB+는/JX
총리의	총리/NNG+의/JKG
야스쿠니신사	야스쿠니신사/NNP
참배를	참배/NNG+를/JKO
합법화하는	합법/NNG+화/XSN+하/XSV+는/ETM
내용도	내용/NNG+도/JX
포함돼	포함/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.43.6.2
현 헌법은 '국가와 국가 기관이 어떤 종교 활동도 해서는 안 된다'고 규정하고 있다.

현	현/MMD
헌법은	헌법/NNG+은/JX
'국가와	'/SS+국가/NNG+와/JC
국가	국가/NNG
기관이	기관/NNG+이/JKS
어떤	어떤/MMD
종교	종교/NNG
활동도	활동/NNG+도/JX
해서는	하/VV+아서/EC+는/JX
안	안/MAG
된다'고	되/VV+ㄴ다/EF+'/SS+고/JKQ
규정하고	규정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.43.6.3
