# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.346
metadata : {}


# id : NWRW1800000026.346.1.1
[인천·부천] 인천시 지난해 세금 2000억원 못 거둬;440억원은 결손처리… 과태료도 50억원 받지 못해

[인천·부천]	[/SS+인천/NNP+·/SP+부천/NNP+]/SS
인천시	인천시/NNP
지난해	지난해/NNG
세금	세금/NNG
2000억원	2000/SN+억/NR+원/NNB
못	못/MAG
거둬;440억원은	거두/VV+어/EF+;/SW+440/SN+억/NR+원/NNB+은/JX
결손처리…	결손/NNG+처리/NNG+…/SE
과태료도	과태료/NNG+도/JX
50억원	50/SN+억/NR+원/NNB
받지	받/VV+지/EC
못해	못하/VX+아/EF


# id : NWRW1800000026.346.2.1
인천시가 세금을 물리고도 끝내 받지 못해 포기하는 경우가 적지 않은 것으로 밝혀졌다.

인천시가	인천시/NNP+가/JKS
세금을	세금/NNG+을/JKO
물리고도	물리/VV+고/EC+도/JX
끝내	끝내/MAG
받지	받/VV+지/EC
못해	못하/VX+아/EC
포기하는	포기/NNG+하/XSV+는/ETM
경우가	경우/NNG+가/JKS
적지	적/VA+지/EC
않은	않/VX+은/ETM
것으로	것/NNB+으로/JKB
밝혀졌다.	밝혀지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.346.3.1
인천시가 국회에 낸 국정감사 자료에 따르면 시는 지난해 취득세와 등록세 등 모두 2조5655억1900만원의 지방세를 부과했다.

인천시가	인천시/NNP+가/JKS
국회에	국회/NNG+에/JKB
낸	내/VV+ㄴ/ETM
국정감사	국정/NNG+감사/NNG
자료에	자료/NNG+에/JKB
따르면	따르/VV+면/EC
시는	시/NNG+는/JX
지난해	지난해/NNG
취득세와	취득세/NNG+와/JC
등록세	등록세/NNG
등	등/NNB
모두	모두/MAG
2조5655억1900만원의	2/SN+조/NR+5655/SN+억/NR+1900/SN+만/NR+원/NNB+의/JKG
지방세를	지방세/NNG+를/JKO
부과했다.	부과/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.346.3.2
하지만 이 중 제때 받은 것은 92%인 2조3600억9100만원에 그쳤고, 6.3%인 1614억6900만원은 납부 기한이 지났으나 아직 받지 못한 체납 상태이다.

하지만	하지만/MAJ
이	이/MMD
중	중/NNB
제때	제때/NNG
받은	받/VV+은/ETM
것은	것/NNB+은/JX
92%인	92/SN+%/SW+이/VCP+ㄴ/ETM
2조3600억9100만원에	2/SN+조/NR+3600/SN+억/NR+9100/SN+만/NR+원/NNB+에/JKB
그쳤고,	그치/VV+었/EP+고/EC+,/SP
6.3%인	6/SN+./SP+3/SN+%/SW+이/VCP+ㄴ/ETM
1614억6900만원은	1614/SN+억/NR+6900/SN+만/NR+원/NNB+은/JX
납부	납부/NNG
기한이	기한/NNG+이/JKS
지났으나	지나/VV+았/EP+으나/EC
아직	아직/MAG
받지	받/VV+지/EC
못한	못하/VX+ㄴ/ETM
체납	체납/NNG
상태이다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.346.3.3
체납액 외에 439억5800만원(1.7%)은 어떤 방법으로도 받을 수 없다고 판단해 받는 것을 포기(결손처분)했다.

체납액	체납액/NNG
외에	외/NNB+에/JKB
439억5800만원(1.7%)은	439/SN+억/NR+5800/SN+만/NR+원/NNB+(/SS+1/SN+./SP+7/SN+%/SW+)/SS+은/JX
어떤	어떤/MMD
방법으로도	방법/NNG+으로/JKB+도/JX
받을	받/VV+을/ETM
수	수/NNB
없다고	없/VA+다고/EC
판단해	판단/NNG+하/XSV+아/EC
받는	받/VV+는/ETM
것을	것/NNB+을/JKO
포기(결손처분)했다.	포기/NNG+(/SS+결손/NNG+처분/NNG+)/SS+하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.346.4.1
이같은 결손처분 비율은 2005년에 전체 세금 부과액의 6.5%나 됐으나 2006년 4.7%, 2007년 2.3%, 2008년 1.4%로 계속 줄어드는 추세였다.

이같은	이/NP+같/VA+은/ETM
결손처분	결손/NNG+처분/NNG
비율은	비율/NNG+은/JX
2005년에	2005/SN+년/NNB+에/JKB
전체	전체/NNG
세금	세금/NNG
부과액의	부과액/NNG+의/JKG
6.5%나	6/SN+./SP+5/SN+%/SW+나/JX
됐으나	되/VV+었/EP+으나/EC
2006년	2006/SN+년/NNB
4.7%,	4/SN+./SP+7/SN+%/SW+,/SP
2007년	2007/SN+년/NNB
2.3%,	2/SN+./SP+3/SN+%/SW+,/SP
2008년	2008/SN+년/NNB
1.4%로	1/SN+./SP+4/SN+%/SW+로/JKB
계속	계속/MAG
줄어드는	줄어들/VV+는/ETM
추세였다.	추세/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.346.4.2
하지만 지난해에 다시 1.7%로 늘어났다.

하지만	하지만/MAJ
지난해에	지난해/NNG+에/JKB
다시	다시/MAG
1.7%로	1/SN+./SP+7/SN+%/SW+로/JKB
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.346.5.1
이에 대해 자료를 요구한 한나라당 유정현 의원은 "당연히 내야 할 세금을 내지 않는 사람들 때문에 선량한 납세자들이 그만큼의 부담을 더 지고 손해를 보아야 한다는 것은 큰 문제인 만큼 체납 세금이나 결손처리될 세금을 정당하게 받아낼 수 있는 방안을 찾아야 한다"고 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
자료를	자료/NNG+를/JKO
요구한	요구/NNG+하/XSV+ㄴ/ETM
한나라당	한나라당/NNP
유정현	유정현/NNP
의원은	의원/NNG+은/JX
"당연히	"/SS+당연히/MAG
내야	내/VV+어야/EC
할	하/VX+ㄹ/ETM
세금을	세금/NNG+을/JKO
내지	내/VV+지/EC
않는	않/VX+는/ETM
사람들	사람/NNG+들/XSN
때문에	때문/NNB+에/JKB
선량한	선량/NNG+하/XSA+ㄴ/ETM
납세자들이	납세자/NNG+들/XSN+이/JKS
그만큼의	그만큼/NNG+의/JKG
부담을	부담/NNG+을/JKO
더	더/MAG
지고	지/VV+고/EC
손해를	손해/NNG+를/JKO
보아야	보/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
것은	것/NNB+은/JX
큰	크/VA+ㄴ/ETM
문제인	문제/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
체납	체납/NNG
세금이나	세금/NNG+이나/JC
결손처리될	결손/NNG+처리/NNG+되/XSV+ㄹ/ETM
정당하게	정당하/VA+게/EC
받아낼	받/VV+아/EC+내/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
방안을	방안/NNG+을/JKO
찾아야	찾/VV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.346.6.1
한편 시는 불법 주·정차 행위에 대해 물리고 있는 과태료도 상당 부분 제때 받지 못하는 것으로 나타났다.

한편	한편/MAG
시는	시/NNG+는/JX
불법	불법/NNG
주·정차	주·정차/NNG
행위에	행위/NNG+에/JKB
대해	대하/VV+아/EC
물리고	물리/VV+고/EC
있는	있/VX+는/ETM
과태료도	과태료/NNG+도/JX
상당	상당/NNG
부분	부분/NNG
제때	제때/NNG
받지	받/VV+지/EC
못하는	못하/VX+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.346.7.1
같은 국정감사 자료에 따르면 시가 올 들어 지난 9월 말까지 불법 주·정차 행위에 대해 물린 과태료는 모두 31만4350건에 122억6900만원이나 제때 거둔 것은 55.2%인 67억6900만원에 불과하다.

같은	같/VA+은/ETM
국정감사	국정/NNG+감사/NNG
자료에	자료/NNG+에/JKB
따르면	따르/VV+면/EC
시가	시/NNG+가/JKS
올	올/NNG
들어	들/VV+어/EC
지난	지나/VV+ㄴ/ETM
9월	9/SN+월/NNB
말까지	말/NNB+까지/JX
불법	불법/NNG
주·정차	주·정차/NNG
행위에	행위/NNG+에/JKB
대해	대하/VV+아/EC
물린	물리/VV+ㄴ/ETM
과태료는	과태료/NNG+는/JX
모두	모두/MAG
31만4350건에	31/SN+만/NR+4350/SN+건/NNB+에/JKB
122억6900만원이나	122/SN+억/NR+6900/SN+만/NR+원/NNB+이/VCP+나/EC
제때	제때/NNG
거둔	거두/VV+ㄴ/ETM
것은	것/NNB+은/JX
55.2%인	55/SN+./SP+2/SN+%/SW+이/VCP+ㄴ/ETM
67억6900만원에	67/SN+억/NR+6900/SN+만/NR+원/NNB+에/JKB
불과하다.	불과/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000026.346.7.2
그나마 이는 이전보다 나아진 것으로 2007년에는 제때 받은 액수가 전체의 34%, 2008년에는 44.2%, 지난해에는 50.6%였다.

그나마	그나마/MAG
이는	이/NP+는/JX
이전보다	이전/NNG+보다/JKB
나아진	나아지/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
2007년에는	2007/SN+년/NNB+에/JKB+는/JX
제때	제때/NNG
받은	받/VV+은/ETM
액수가	액수/NNG+가/JKS
전체의	전체/NNG+의/JKG
34%,	34/SN+%/SW+,/SP
2008년에는	2008/SN+년/NNB+에/JKB+는/JX
44.2%,	44/SN+./SP+2/SN+%/SW+,/SP
지난해에는	지난해/NNG+에/JKB+는/JX
50.6%였다.	50/SN+./SP+6/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.346.8.1
시는 이에 대해 "불법 주·정차 과태료를 제때 내지 않았다고 차를 압수하거나 운행을 막을 수는 없지만 차 주인이 지방세를 내지 않는 등 다른 체납과 연결이 되면 차를 압수하며, 그렇지 않더라도 차를 팔거나 폐차할 때 이를 내야만 처리해주기 때문에 큰 문제는 없다"고 말했다.

시는	시/NNG+는/JX
이에	이/NP+에/JKB
대해	대하/VV+아/EC
"불법	"/SS+불법/NNG
주·정차	주·정차/NNG
과태료를	과태료/NNG+를/JKO
제때	제때/NNG
내지	내/VV+지/EC
않았다고	않/VX+았/EP+다고/EC
차를	차/NNG+를/JKO
압수하거나	압수/NNG+하/XSV+거나/EC
운행을	운행/NNG+을/JKO
막을	막/VV+을/ETM
수는	수/NNB+는/JX
없지만	없/VA+지만/EC
차	차/NNG
주인이	주인/NNG+이/JKS
지방세를	지방세/NNG+를/JKO
않는	않/VX+는/ETM
등	등/NNB
다른	다른/MMD
체납과	체납/NNG+과/JKB
연결이	연결/NNG+이/JKS
되면	되/VV+면/EC
압수하며,	압수/NNG+하/XSV+며/EC+,/SP
그렇지	그렇/VA+지/EC
않더라도	않/VX+더라도/EC
팔거나	팔/VV+거나/EC
폐차할	폐차/NNG+하/XSV+ㄹ/ETM
때	때/NNG
이를	이/NP+를/JKO
내야만	내/VV+어야/EC+만/JX
처리해주기	처리/NNG+하/XSV+아/EC+주/VX+기/ETN
때문에	때문/NNB+에/JKB
큰	크/VA+ㄴ/ETM
문제는	문제/NNG+는/JX
없다"고	없/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


