# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.198
metadata : {}


# id : NWRW1800000044.198.1.1
르노삼성·한국지엠·쌍용차 ‘먹튀 논란’ 가실까

르노삼성·한국지엠·쌍용차	르노삼성/NNP+·/SP+한국지엠/NNP+·/SP+쌍용차/NNP
‘먹튀	‘/SS+먹튀/NNG
논란’	논란/NNG+’/SS
가실까	가시/VV+ㄹ까/EF


# id : NWRW1800000044.198.2.1
[한겨레] 르노삼성, 큐엠3의 한국 생산 검토

[한겨레]	[/SS+한겨레/NNP+]/SS
르노삼성,	르노삼성/NNP+,/SP
큐엠3의	큐엠3/NNG+의/JKG
한국	한국/NNP
생산	생산/NNG
검토	검토/NNG


# id : NWRW1800000044.198.3.1
한국지엠, 부평 디자인센터 확장

한국지엠,	한국지엠/NNP+,/SP
부평	부평/NNP
디자인센터	디자인/NNG+센터/NNG
확장	확장/NNG


# id : NWRW1800000044.198.4.1
쌍용차, 실적 개선…해고문제 남아

쌍용차,	쌍용차/NNP+,/SP
실적	실적/NNG
개선…해고문제	개선/NNG+…/SE+해고/NNG+문제/NNG
남아	남/VV+아/EF


# id : NWRW1800000044.198.5.1
‘한국 철수설’에서 자유롭지 않은 르노삼성자동차·한국지엠(GM)·쌍용자동차 등 외국계 완성차 3사의 행보가 엇갈리고 있다.

‘한국	‘/SS+한국/NNP
철수설’에서	철수설/NNG+’/SS+에서/JKB
자유롭지	자유/NNG+롭/XSA+지/EC
않은	않/VX+은/ETM
르노삼성자동차·한국지엠(GM)·쌍용자동차	르노삼성자동차/NNP+·/SP+한국지엠/NNP+(/SS+GM/SL+)/SS+·/SP+쌍용자동차/NNP
등	등/NNB
외국계	외국/NNG+계/XSN
완성차	완성차/NNG
3사의	3사/NNG+의/JKG
행보가	행보/NNG+가/JKS
엇갈리고	엇갈리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.198.5.2
